,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,P Nissanka,HH Pandya,BKG Mendis,"{'by': 'Sri Lanka', 'umpire': 'Nitin Menon', 'batter': 'P Nissanka', 'decision': 'upheld'}",0,0,0,0,228,0,1,0,-,1.0,0,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
1,P Nissanka,HH Pandya,BKG Mendis,,1,0,1,1,227,1,2,0,-,2.0,0,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
2,BKG Mendis,HH Pandya,P Nissanka,,0,0,0,1,227,0,1,0,-,3.0,0,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
3,BKG Mendis,HH Pandya,P Nissanka,,0,1,1,2,226,0,2,0,wides,3.0,0,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
4,BKG Mendis,HH Pandya,P Nissanka,,4,0,4,6,222,4,3,0,-,4.0,0,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
5,BKG Mendis,HH Pandya,P Nissanka,,0,0,0,6,222,4,4,0,-,5.0,0,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
6,BKG Mendis,HH Pandya,P Nissanka,,0,0,0,6,222,4,5,0,-,6.0,0,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
7,P Nissanka,Arshdeep Singh,BKG Mendis,,4,0,4,10,218,5,3,0,-,1.0,1,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
8,P Nissanka,Arshdeep Singh,BKG Mendis,,0,1,1,11,217,5,4,0,wides,1.0,1,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
9,P Nissanka,Arshdeep Singh,BKG Mendis,,0,1,1,12,216,5,5,0,wides,1.0,1,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
10,P Nissanka,Arshdeep Singh,BKG Mendis,,0,0,0,12,216,5,6,0,-,2.0,1,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
11,P Nissanka,Arshdeep Singh,BKG Mendis,,4,0,4,16,212,9,7,0,-,3.0,1,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
12,P Nissanka,Arshdeep Singh,BKG Mendis,,0,0,0,16,212,9,8,0,-,4.0,1,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
13,P Nissanka,Arshdeep Singh,BKG Mendis,,0,1,1,17,211,9,9,0,wides,4.0,1,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
14,P Nissanka,Arshdeep Singh,BKG Mendis,,0,0,0,17,211,9,10,0,-,5.0,1,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
15,P Nissanka,Arshdeep Singh,BKG Mendis,,0,0,0,17,211,9,11,0,-,6.0,1,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
16,BKG Mendis,HH Pandya,P Nissanka,,0,0,0,17,211,4,6,0,-,1.0,2,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
17,BKG Mendis,HH Pandya,P Nissanka,,6,0,6,23,205,10,7,0,-,2.0,2,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
18,BKG Mendis,HH Pandya,P Nissanka,,6,0,6,29,199,16,8,0,-,3.0,2,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
19,BKG Mendis,HH Pandya,P Nissanka,,0,1,1,30,198,16,9,0,wides,3.0,2,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
20,BKG Mendis,HH Pandya,P Nissanka,,0,0,0,30,198,16,10,0,-,4.0,2,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
21,BKG Mendis,HH Pandya,P Nissanka,,1,0,1,31,197,17,11,0,-,5.0,2,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
22,P Nissanka,HH Pandya,BKG Mendis,,0,0,0,31,197,9,12,0,-,6.0,2,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
23,BKG Mendis,Shivam Mavi,P Nissanka,,4,0,4,35,193,21,12,0,-,1.0,3,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
24,BKG Mendis,Shivam Mavi,P Nissanka,,0,0,0,35,193,21,13,0,-,2.0,3,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
25,BKG Mendis,Shivam Mavi,P Nissanka,,0,0,0,35,193,21,14,0,-,3.0,3,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
26,BKG Mendis,Shivam Mavi,P Nissanka,,1,0,1,36,192,22,15,0,-,4.0,3,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
27,P Nissanka,Shivam Mavi,BKG Mendis,,0,0,0,36,192,9,13,0,-,5.0,3,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
28,P Nissanka,Shivam Mavi,BKG Mendis,,1,0,1,37,191,10,14,0,-,6.0,3,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
29,P Nissanka,AR Patel,BKG Mendis,,1,0,1,38,190,11,15,0,-,1.0,4,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
30,BKG Mendis,AR Patel,P Nissanka,,1,0,1,39,189,23,16,0,-,2.0,4,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
31,P Nissanka,AR Patel,BKG Mendis,,4,0,4,43,185,15,16,0,-,3.0,4,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
32,P Nissanka,AR Patel,BKG Mendis,,0,1,1,44,184,15,17,0,legbyes,4.0,4,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
33,BKG Mendis,AR Patel,P Nissanka,,0,0,0,44,184,23,17,1,-,5.0,4,caught,BKG Mendis,Umran Malik,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
34,WIA Fernando,AR Patel,P Nissanka,,0,0,0,44,184,0,1,1,-,6.0,4,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
35,P Nissanka,Arshdeep Singh,WIA Fernando,,0,0,0,44,184,15,18,1,-,1.0,5,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
36,P Nissanka,Arshdeep Singh,WIA Fernando,,0,0,0,44,184,15,19,1,-,2.0,5,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
37,P Nissanka,Arshdeep Singh,WIA Fernando,,0,0,0,44,184,15,20,2,-,3.0,5,caught,P Nissanka,Shivam Mavi,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
38,DM de Silva,Arshdeep Singh,WIA Fernando,,1,0,1,45,183,1,1,2,-,4.0,5,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
39,WIA Fernando,Arshdeep Singh,DM de Silva,,1,0,1,46,182,1,2,2,-,5.0,5,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
40,DM de Silva,Arshdeep Singh,WIA Fernando,,0,1,1,47,181,1,2,2,wides,5.0,5,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
41,DM de Silva,Arshdeep Singh,WIA Fernando,,4,0,4,51,177,5,3,2,-,6.0,5,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
42,WIA Fernando,HH Pandya,DM de Silva,,0,0,0,51,177,1,3,3,-,1.0,6,caught,WIA Fernando,Arshdeep Singh,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
43,KIC Asalanka,HH Pandya,DM de Silva,,0,0,0,51,177,0,1,3,-,2.0,6,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
44,KIC Asalanka,HH Pandya,DM de Silva,,4,0,4,55,173,4,2,3,-,3.0,6,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
45,KIC Asalanka,HH Pandya,DM de Silva,,1,0,1,56,172,5,3,3,-,4.0,6,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
46,DM de Silva,HH Pandya,KIC Asalanka,,1,0,1,57,171,6,4,3,-,5.0,6,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
47,KIC Asalanka,HH Pandya,DM de Silva,,1,0,1,58,170,6,4,3,-,6.0,6,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
48,KIC Asalanka,Umran Malik,DM de Silva,,0,0,0,58,170,6,5,3,-,1.0,7,0,,,bat,India,2,"Saurashtra Cricket Association Stadium, Rajkot",2023,01,India_Sri Lanka_2023-01-07,India,Sri Lanka,India,False,137
