,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,Liton Das,F Hand,Rony Talukdar,4,0,4,4,198,4,1,0,1,1,0,,,-,,bat,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Bangladesh,Ireland,124
1,Liton Das,F Hand,Rony Talukdar,0,0,0,4,198,4,2,0,2,1,0,,,-,,bat,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Bangladesh,Ireland,124
2,Liton Das,F Hand,Rony Talukdar,1,0,1,5,197,5,3,0,3,1,0,,,-,,bat,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Bangladesh,Ireland,124
3,Rony Talukdar,F Hand,Liton Das,4,0,4,9,193,4,1,0,4,1,0,,,-,,bat,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Bangladesh,Ireland,124
4,Rony Talukdar,F Hand,Liton Das,0,0,0,9,193,4,2,0,5,1,0,,,-,,bat,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Bangladesh,Ireland,124
5,Rony Talukdar,F Hand,Liton Das,0,0,0,9,193,4,3,0,6,1,0,,,-,,bat,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Bangladesh,Ireland,124
6,Liton Das,MR Adair,Rony Talukdar,0,0,0,9,193,5,4,1,1,2,caught,Liton Das,GH Dockrell,-,,bat,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Bangladesh,Ireland,124
7,Nazmul Hossain Shanto,MR Adair,Rony Talukdar,0,0,0,9,193,0,1,1,2,2,0,,,-,,bat,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Bangladesh,Ireland,124
8,Nazmul Hossain Shanto,MR Adair,Rony Talukdar,0,0,0,9,193,0,2,1,3,2,0,,,-,,bat,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Bangladesh,Ireland,124
9,Nazmul Hossain Shanto,MR Adair,Rony Talukdar,0,0,0,9,193,0,3,1,4,2,0,,,-,,bat,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Bangladesh,Ireland,124
10,Nazmul Hossain Shanto,MR Adair,Rony Talukdar,1,0,1,10,192,1,4,1,5,2,0,,,-,,bat,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Bangladesh,Ireland,124
11,Rony Talukdar,MR Adair,Nazmul Hossain Shanto,4,0,4,14,188,8,4,1,6,2,0,,,-,,bat,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Bangladesh,Ireland,124
12,Nazmul Hossain Shanto,HT Tector,Rony Talukdar,2,0,2,16,186,3,5,1,1,3,0,,,-,,bat,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Bangladesh,Ireland,124
13,Nazmul Hossain Shanto,HT Tector,Rony Talukdar,1,0,1,17,185,4,6,1,2,3,0,,,-,,bat,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Bangladesh,Ireland,124
14,Rony Talukdar,HT Tector,Nazmul Hossain Shanto,0,0,0,17,185,8,5,1,3,3,0,,,-,,bat,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Bangladesh,Ireland,124
15,Rony Talukdar,HT Tector,Nazmul Hossain Shanto,1,0,1,18,184,9,6,1,4,3,0,,,-,,bat,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Bangladesh,Ireland,124
16,Nazmul Hossain Shanto,HT Tector,Rony Talukdar,0,0,0,18,184,4,7,1,5,3,0,,,-,,bat,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Bangladesh,Ireland,124
17,Nazmul Hossain Shanto,HT Tector,Rony Talukdar,0,0,0,18,184,4,8,2,6,3,caught,Nazmul Hossain Shanto,C Campher,-,,bat,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Bangladesh,Ireland,124
18,Rony Talukdar,C Campher,Shakib Al Hasan,1,0,1,19,183,10,7,2,1,4,0,,,-,,bat,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Bangladesh,Ireland,124
19,Shakib Al Hasan,C Campher,Rony Talukdar,1,0,1,20,182,1,1,2,2,4,0,,,-,,bat,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Bangladesh,Ireland,124
20,Rony Talukdar,C Campher,Shakib Al Hasan,4,0,4,24,178,14,8,2,3,4,0,,,-,,bat,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-31,Ireland,Bangladesh,Ireland,124
