,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,MJ Lumb,TA Boult,AD Hales,0,0,0,0,139,0,1,0,1,0,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
1,MJ Lumb,TA Boult,AD Hales,4,0,4,4,135,4,2,0,2,0,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
2,MJ Lumb,TA Boult,AD Hales,1,0,1,5,134,5,3,0,3,0,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
3,AD Hales,TA Boult,MJ Lumb,2,0,2,7,132,2,1,0,4,0,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
4,AD Hales,TA Boult,MJ Lumb,4,0,4,11,128,6,2,0,5,0,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
5,AD Hales,TA Boult,MJ Lumb,0,0,0,11,128,6,3,0,6,0,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
6,MJ Lumb,MJ McClenaghan,AD Hales,0,0,0,11,128,5,4,0,1,1,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
7,MJ Lumb,MJ McClenaghan,AD Hales,0,1,1,12,127,5,5,0,2,1,legbyes,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
8,AD Hales,MJ McClenaghan,MJ Lumb,0,0,0,12,127,6,4,0,3,1,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
9,AD Hales,MJ McClenaghan,MJ Lumb,0,0,0,12,127,6,5,0,4,1,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
10,AD Hales,MJ McClenaghan,MJ Lumb,0,0,0,12,127,6,6,0,5,1,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
11,AD Hales,MJ McClenaghan,MJ Lumb,0,0,0,12,127,6,7,0,6,1,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
12,MJ Lumb,IG Butler,AD Hales,1,0,1,13,126,6,6,0,1,2,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
13,AD Hales,IG Butler,MJ Lumb,1,0,1,14,125,7,8,0,2,2,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
14,MJ Lumb,IG Butler,AD Hales,1,0,1,15,124,7,7,0,3,2,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
15,AD Hales,IG Butler,MJ Lumb,0,0,0,15,124,7,9,0,4,2,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
16,AD Hales,IG Butler,MJ Lumb,0,0,0,15,124,7,10,0,5,2,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
17,AD Hales,IG Butler,MJ Lumb,4,0,4,19,120,11,11,0,6,2,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
18,MJ Lumb,MJ McClenaghan,AD Hales,6,0,6,25,114,13,8,0,1,3,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
19,MJ Lumb,MJ McClenaghan,AD Hales,6,0,6,31,108,19,9,0,2,3,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
20,MJ Lumb,MJ McClenaghan,AD Hales,1,0,1,32,107,20,10,0,3,3,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
21,AD Hales,MJ McClenaghan,MJ Lumb,1,0,1,33,106,12,12,0,4,3,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
22,MJ Lumb,MJ McClenaghan,AD Hales,1,0,1,34,105,21,11,0,5,3,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
23,AD Hales,MJ McClenaghan,MJ Lumb,0,0,0,34,105,12,13,0,6,3,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
24,MJ Lumb,IG Butler,AD Hales,1,0,1,35,104,22,12,0,1,4,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
25,AD Hales,IG Butler,MJ Lumb,0,4,4,39,100,12,14,0,2,4,legbyes,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
26,AD Hales,IG Butler,MJ Lumb,4,0,4,43,96,16,15,0,3,4,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
27,AD Hales,IG Butler,MJ Lumb,4,0,4,47,92,20,16,0,4,4,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
28,AD Hales,IG Butler,MJ Lumb,0,5,5,52,87,20,17,0,5,4,wides,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
29,AD Hales,IG Butler,MJ Lumb,4,0,4,56,83,24,18,0,6,4,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
30,AD Hales,IG Butler,MJ Lumb,1,0,1,57,82,25,19,0,7,4,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
31,AD Hales,NL McCullum,MJ Lumb,1,0,1,58,81,26,20,0,1,5,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
32,MJ Lumb,NL McCullum,AD Hales,0,0,0,58,81,22,13,0,2,5,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
33,MJ Lumb,NL McCullum,AD Hales,0,0,0,58,81,22,14,0,3,5,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
34,MJ Lumb,NL McCullum,AD Hales,1,0,1,59,80,23,15,0,4,5,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
35,AD Hales,NL McCullum,MJ Lumb,1,0,1,60,79,27,21,0,5,5,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
36,MJ Lumb,NL McCullum,AD Hales,0,0,0,60,79,23,16,0,6,5,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
37,AD Hales,TA Boult,MJ Lumb,6,0,6,66,73,33,22,0,1,6,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
38,AD Hales,TA Boult,MJ Lumb,1,0,1,67,72,34,23,0,2,6,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
39,MJ Lumb,TA Boult,AD Hales,1,0,1,68,71,24,17,0,3,6,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
40,AD Hales,TA Boult,MJ Lumb,1,0,1,69,70,35,24,0,4,6,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
41,MJ Lumb,TA Boult,AD Hales,0,0,0,69,70,24,18,0,5,6,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
42,MJ Lumb,TA Boult,AD Hales,0,0,0,69,70,24,19,0,6,6,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
43,AD Hales,NL McCullum,MJ Lumb,0,0,0,69,70,35,25,0,1,7,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
44,AD Hales,NL McCullum,MJ Lumb,1,0,1,70,69,36,26,0,2,7,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
45,MJ Lumb,NL McCullum,AD Hales,0,0,0,70,69,24,20,0,3,7,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
46,MJ Lumb,NL McCullum,AD Hales,1,0,1,71,68,25,21,0,4,7,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
47,AD Hales,NL McCullum,MJ Lumb,1,0,1,72,67,37,27,0,5,7,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
48,MJ Lumb,NL McCullum,AD Hales,6,0,6,78,61,31,22,0,6,7,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
49,AD Hales,JEC Franklin,MJ Lumb,1,0,1,79,60,38,28,0,1,8,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
50,MJ Lumb,JEC Franklin,AD Hales,1,0,1,80,59,32,23,0,2,8,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
51,AD Hales,JEC Franklin,MJ Lumb,2,0,2,82,57,40,29,0,3,8,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
52,AD Hales,JEC Franklin,MJ Lumb,1,0,1,83,56,41,30,0,4,8,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
53,MJ Lumb,JEC Franklin,AD Hales,1,0,1,84,55,33,24,0,5,8,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
54,AD Hales,JEC Franklin,MJ Lumb,1,0,1,85,54,42,31,0,6,8,-,0,field,England,2,Westpac Stadium,2013,02,New Zealand_England_2013-02-15,England,England,New Zealand,True,143
