,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,JJ Roy,AJ Hosein,T Banton,4,0,4,4,175,4,1,0,-,1.0,0,,,0,,bat,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,West Indies_England_2022-01-30,West Indies,England,West Indies,False,162
1,JJ Roy,AJ Hosein,T Banton,4,0,4,8,171,8,2,0,-,2.0,0,,,0,,bat,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,West Indies_England_2022-01-30,West Indies,England,West Indies,False,162
2,JJ Roy,AJ Hosein,T Banton,0,0,0,8,171,8,3,0,-,3.0,0,,,0,,bat,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,West Indies_England_2022-01-30,West Indies,England,West Indies,False,162
3,JJ Roy,AJ Hosein,T Banton,0,0,0,8,171,8,4,0,-,4.0,0,,,0,,bat,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,West Indies_England_2022-01-30,West Indies,England,West Indies,False,162
4,JJ Roy,AJ Hosein,T Banton,0,0,0,8,171,8,5,1,-,5.0,caught,JJ Roy,N Pooran,0,,bat,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,West Indies_England_2022-01-30,West Indies,England,West Indies,False,162
5,JM Vince,AJ Hosein,T Banton,2,0,2,10,169,2,1,1,-,6.0,0,,,0,,bat,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,West Indies_England_2022-01-30,West Indies,England,West Indies,False,162
6,T Banton,JO Holder,JM Vince,4,0,4,14,165,4,1,1,-,1.0,0,,,1,,bat,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,West Indies_England_2022-01-30,West Indies,England,West Indies,False,162
7,T Banton,JO Holder,JM Vince,1,0,1,15,164,5,2,1,-,2.0,0,,,1,,bat,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,West Indies_England_2022-01-30,West Indies,England,West Indies,False,162
8,JM Vince,JO Holder,T Banton,2,0,2,17,162,4,2,1,-,3.0,0,,,1,,bat,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,West Indies_England_2022-01-30,West Indies,England,West Indies,False,162
9,JM Vince,JO Holder,T Banton,6,0,6,23,156,10,3,1,-,4.0,0,,,1,,bat,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,West Indies_England_2022-01-30,West Indies,England,West Indies,False,162
10,JM Vince,JO Holder,T Banton,0,0,0,23,156,10,4,1,-,5.0,0,,,1,,bat,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,West Indies_England_2022-01-30,West Indies,England,West Indies,False,162
11,JM Vince,JO Holder,T Banton,4,0,4,27,152,14,5,1,-,6.0,0,,,1,,bat,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,West Indies_England_2022-01-30,West Indies,England,West Indies,False,162
12,T Banton,SS Cottrell,JM Vince,0,0,0,27,152,5,3,1,-,1.0,0,,,2,,bat,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,West Indies_England_2022-01-30,West Indies,England,West Indies,False,162
13,T Banton,SS Cottrell,JM Vince,0,0,0,27,152,5,4,1,-,2.0,0,,,2,,bat,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,West Indies_England_2022-01-30,West Indies,England,West Indies,False,162
14,T Banton,SS Cottrell,JM Vince,0,0,0,27,152,5,5,1,-,3.0,0,,,2,,bat,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,West Indies_England_2022-01-30,West Indies,England,West Indies,False,162
15,T Banton,SS Cottrell,JM Vince,0,0,0,27,152,5,6,1,-,4.0,0,,,2,,bat,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,West Indies_England_2022-01-30,West Indies,England,West Indies,False,162
16,T Banton,SS Cottrell,JM Vince,4,0,4,31,148,9,7,1,-,5.0,0,,,2,,bat,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,West Indies_England_2022-01-30,West Indies,England,West Indies,False,162
17,T Banton,SS Cottrell,JM Vince,1,0,1,32,147,10,8,1,-,6.0,0,,,2,,bat,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,West Indies_England_2022-01-30,West Indies,England,West Indies,False,162
18,T Banton,OF Smith,JM Vince,0,1,1,33,146,10,9,1,wides,0.0,0,,,3,,bat,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,West Indies_England_2022-01-30,West Indies,England,West Indies,False,162
19,T Banton,OF Smith,JM Vince,6,0,6,39,140,16,10,1,-,1.0,0,,,3,,bat,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,West Indies_England_2022-01-30,West Indies,England,West Indies,False,162
20,T Banton,OF Smith,JM Vince,0,1,1,40,139,16,11,1,wides,1.0,0,,,3,,bat,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,West Indies_England_2022-01-30,West Indies,England,West Indies,False,162
21,T Banton,OF Smith,JM Vince,0,0,0,40,139,16,12,1,-,2.0,0,,,3,,bat,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,West Indies_England_2022-01-30,West Indies,England,West Indies,False,162
22,T Banton,OF Smith,JM Vince,0,0,0,40,139,16,13,1,-,3.0,0,,,3,,bat,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,West Indies_England_2022-01-30,West Indies,England,West Indies,False,162
23,T Banton,OF Smith,JM Vince,0,0,0,40,139,16,14,2,-,4.0,caught,T Banton,JO Holder,3,,bat,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,West Indies_England_2022-01-30,West Indies,England,West Indies,False,162
24,MM Ali,OF Smith,JM Vince,0,0,0,40,139,0,1,2,-,5.0,0,,,3,,bat,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,West Indies_England_2022-01-30,West Indies,England,West Indies,False,162
25,MM Ali,OF Smith,JM Vince,1,0,1,41,138,1,2,2,-,6.0,0,,,3,,bat,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,West Indies_England_2022-01-30,West Indies,England,West Indies,False,162
26,MM Ali,SS Cottrell,JM Vince,0,1,1,42,137,1,3,2,legbyes,1.0,0,,,4,,bat,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,West Indies_England_2022-01-30,West Indies,England,West Indies,False,162
27,JM Vince,SS Cottrell,MM Ali,2,0,2,44,135,16,6,2,-,2.0,0,,,4,,bat,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,West Indies_England_2022-01-30,West Indies,England,West Indies,False,162
28,JM Vince,SS Cottrell,MM Ali,0,0,0,44,135,16,7,2,-,3.0,0,,,4,,bat,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,West Indies_England_2022-01-30,West Indies,England,West Indies,False,162
