,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,Mehedi Hasan Miraz,D Madushanka,Sabbir Rahman,0,4,4,4,123,0,1,0,1,legbyes,0,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
1,Mehedi Hasan Miraz,D Madushanka,Sabbir Rahman,0,0,0,4,123,0,2,0,2,-,0,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
2,Mehedi Hasan Miraz,D Madushanka,Sabbir Rahman,0,0,0,4,123,0,3,0,3,-,0,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
3,Mehedi Hasan Miraz,D Madushanka,Sabbir Rahman,0,0,0,4,123,0,4,0,4,-,0,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
4,Mehedi Hasan Miraz,D Madushanka,Sabbir Rahman,3,0,3,7,120,3,5,0,5,-,0,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
5,Sabbir Rahman,D Madushanka,Mehedi Hasan Miraz,4,0,4,11,116,4,1,0,6,-,0,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
6,Mehedi Hasan Miraz,M Theekshana,Sabbir Rahman,0,0,0,11,116,3,6,0,1,-,1,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
7,Mehedi Hasan Miraz,M Theekshana,Sabbir Rahman,2,0,2,13,114,5,7,0,2,-,1,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
8,Mehedi Hasan Miraz,M Theekshana,Sabbir Rahman,1,0,1,14,113,6,8,0,3,-,1,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
9,Sabbir Rahman,M Theekshana,Mehedi Hasan Miraz,0,0,0,14,113,4,2,0,4,-,1,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
10,Sabbir Rahman,M Theekshana,Mehedi Hasan Miraz,0,0,0,14,113,4,3,0,5,-,1,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
11,Sabbir Rahman,M Theekshana,Mehedi Hasan Miraz,0,0,0,14,113,4,4,0,6,-,1,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
12,Mehedi Hasan Miraz,AM Fernando,Sabbir Rahman,2,0,2,16,111,8,9,0,1,-,2,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
13,Mehedi Hasan Miraz,AM Fernando,Sabbir Rahman,1,0,1,17,110,9,10,0,2,-,2,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
14,Sabbir Rahman,AM Fernando,Mehedi Hasan Miraz,1,0,1,18,109,5,5,0,3,-,2,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
15,Mehedi Hasan Miraz,AM Fernando,Sabbir Rahman,1,0,1,19,108,10,11,0,4,-,2,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
16,Sabbir Rahman,AM Fernando,Mehedi Hasan Miraz,0,0,0,19,108,5,6,1,5,-,2,caught,Sabbir Rahman,BKG Mendis,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
17,Shakib Al Hasan,AM Fernando,Mehedi Hasan Miraz,0,0,0,19,108,0,1,1,6,-,2,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
18,Mehedi Hasan Miraz,M Theekshana,Shakib Al Hasan,1,0,1,20,107,11,12,1,1,-,3,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
19,Shakib Al Hasan,M Theekshana,Mehedi Hasan Miraz,1,0,1,21,106,1,2,1,2,-,3,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
20,Mehedi Hasan Miraz,M Theekshana,Shakib Al Hasan,6,0,6,27,100,17,13,1,3,-,3,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
21,Mehedi Hasan Miraz,M Theekshana,Shakib Al Hasan,1,0,1,28,99,18,14,1,4,-,3,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
22,Shakib Al Hasan,M Theekshana,Mehedi Hasan Miraz,0,0,0,28,99,1,3,1,5,-,3,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
23,Shakib Al Hasan,M Theekshana,Mehedi Hasan Miraz,1,0,1,29,98,2,4,1,6,-,3,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
24,Shakib Al Hasan,AM Fernando,Mehedi Hasan Miraz,1,0,1,30,97,3,5,1,1,-,4,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
25,Mehedi Hasan Miraz,AM Fernando,Shakib Al Hasan,0,0,0,30,97,18,15,1,2,-,4,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
26,Mehedi Hasan Miraz,AM Fernando,Shakib Al Hasan,6,0,6,36,91,24,16,1,3,-,4,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
27,Mehedi Hasan Miraz,AM Fernando,Shakib Al Hasan,4,0,4,40,87,28,17,1,4,-,4,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
28,Mehedi Hasan Miraz,AM Fernando,Shakib Al Hasan,0,4,4,44,83,28,18,1,5,byes,4,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
29,Mehedi Hasan Miraz,AM Fernando,Shakib Al Hasan,3,0,3,47,80,31,19,1,6,-,4,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
30,Mehedi Hasan Miraz,D Madushanka,Shakib Al Hasan,1,0,1,48,79,32,20,1,1,-,5,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
31,Shakib Al Hasan,D Madushanka,Mehedi Hasan Miraz,1,0,1,49,78,4,6,1,2,-,5,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
32,Mehedi Hasan Miraz,D Madushanka,Shakib Al Hasan,4,0,4,53,74,36,21,1,3,-,5,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
33,Mehedi Hasan Miraz,D Madushanka,Shakib Al Hasan,0,0,0,53,74,36,22,1,4,-,5,0,,,,field,Sri Lanka,1,Dubai International Cricket Stadium,2022,09,Bangladesh_Sri Lanka_2022-09-01,Sri Lanka,Bangladesh,Sri Lanka,183
