,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,RR Hendricks,B Kumar,JT Smuts,0,0,0,0,188,0,1,0,1,0,0,,,-,field,South Africa,2,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,South Africa,India,True,189
1,RR Hendricks,B Kumar,JT Smuts,0,0,0,0,188,0,2,0,2,0,0,,,-,field,South Africa,2,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,South Africa,India,True,189
2,RR Hendricks,B Kumar,JT Smuts,0,0,0,0,188,0,3,0,3,0,0,,,-,field,South Africa,2,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,South Africa,India,True,189
3,RR Hendricks,B Kumar,JT Smuts,0,0,0,0,188,0,4,0,4,0,0,,,-,field,South Africa,2,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,South Africa,India,True,189
4,RR Hendricks,B Kumar,JT Smuts,1,0,1,1,187,1,5,0,5,0,0,,,-,field,South Africa,2,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,South Africa,India,True,189
5,JT Smuts,B Kumar,RR Hendricks,0,0,0,1,187,0,1,0,6,0,0,,,-,field,South Africa,2,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,South Africa,India,True,189
6,RR Hendricks,SN Thakur,JT Smuts,1,0,1,2,186,2,6,0,1,1,0,,,-,field,South Africa,2,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,South Africa,India,True,189
7,JT Smuts,SN Thakur,RR Hendricks,0,0,0,2,186,0,2,0,2,1,0,,,-,field,South Africa,2,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,South Africa,India,True,189
8,JT Smuts,SN Thakur,RR Hendricks,1,0,1,3,185,1,3,0,3,1,0,,,-,field,South Africa,2,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,South Africa,India,True,189
9,RR Hendricks,SN Thakur,JT Smuts,1,0,1,4,184,3,7,0,4,1,0,,,-,field,South Africa,2,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,South Africa,India,True,189
10,JT Smuts,SN Thakur,RR Hendricks,0,0,0,4,184,1,4,0,5,1,0,,,-,field,South Africa,2,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,South Africa,India,True,189
11,JT Smuts,SN Thakur,RR Hendricks,0,0,0,4,184,1,5,0,6,1,0,,,-,field,South Africa,2,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,South Africa,India,True,189
12,RR Hendricks,B Kumar,JT Smuts,4,0,4,8,180,7,8,0,1,2,0,,,-,field,South Africa,2,SuperSport Park,2018,02,India_South Africa_2018-02-21,South Africa,South Africa,India,True,189
