,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,JJ Roy,K Rabada,JC Buttler,0,1,1,1,206,0,1,0,1,wides,0,0,,,,field,England,2,"Sophia Gardens, Cardiff",2022,07,South Africa_England_2022-07-28,South Africa,England,South Africa,False,149
1,JJ Roy,K Rabada,JC Buttler,4,0,4,5,202,4,2,0,2,-,0,0,,,,field,England,2,"Sophia Gardens, Cardiff",2022,07,South Africa_England_2022-07-28,South Africa,England,South Africa,False,149
2,JJ Roy,K Rabada,JC Buttler,0,0,0,5,202,4,3,0,3,-,0,0,,,,field,England,2,"Sophia Gardens, Cardiff",2022,07,South Africa_England_2022-07-28,South Africa,England,South Africa,False,149
3,JJ Roy,K Rabada,JC Buttler,1,0,1,6,201,5,4,0,4,-,0,0,,,,field,England,2,"Sophia Gardens, Cardiff",2022,07,South Africa_England_2022-07-28,South Africa,England,South Africa,False,149
4,JC Buttler,K Rabada,JJ Roy,0,0,0,6,201,0,1,0,5,-,0,0,,,,field,England,2,"Sophia Gardens, Cardiff",2022,07,South Africa_England_2022-07-28,South Africa,England,South Africa,False,149
5,JC Buttler,K Rabada,JJ Roy,0,0,0,6,201,0,2,0,6,-,0,0,,,,field,England,2,"Sophia Gardens, Cardiff",2022,07,South Africa_England_2022-07-28,South Africa,England,South Africa,False,149
6,JC Buttler,K Rabada,JJ Roy,0,0,0,6,201,0,3,0,7,-,0,0,,,,field,England,2,"Sophia Gardens, Cardiff",2022,07,South Africa_England_2022-07-28,South Africa,England,South Africa,False,149
7,JJ Roy,L Ngidi,JC Buttler,0,0,0,6,201,5,5,0,1,-,1,0,,,,field,England,2,"Sophia Gardens, Cardiff",2022,07,South Africa_England_2022-07-28,South Africa,England,South Africa,False,149
8,JJ Roy,L Ngidi,JC Buttler,1,0,1,7,200,6,6,0,2,-,1,0,,,,field,England,2,"Sophia Gardens, Cardiff",2022,07,South Africa_England_2022-07-28,South Africa,England,South Africa,False,149
9,JC Buttler,L Ngidi,JJ Roy,0,0,0,7,200,0,4,0,3,-,1,0,,,,field,England,2,"Sophia Gardens, Cardiff",2022,07,South Africa_England_2022-07-28,South Africa,England,South Africa,False,149
10,JC Buttler,L Ngidi,JJ Roy,2,0,2,9,198,2,5,0,4,-,1,0,,,,field,England,2,"Sophia Gardens, Cardiff",2022,07,South Africa_England_2022-07-28,South Africa,England,South Africa,False,149
