,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,V Sibanda,Mashrafe Mortaza,H Masakadza,0,0,0,0,187,0,1,0,1,0,,,1,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
1,V Sibanda,Mashrafe Mortaza,H Masakadza,0,0,0,0,187,0,2,0,2,0,,,1,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
2,V Sibanda,Mashrafe Mortaza,H Masakadza,0,0,0,0,187,0,3,0,3,0,,,1,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
3,V Sibanda,Mashrafe Mortaza,H Masakadza,4,0,4,4,183,4,4,0,4,0,,,1,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
4,V Sibanda,Mashrafe Mortaza,H Masakadza,0,0,0,4,183,4,5,1,5,caught,V Sibanda,Shakib Al Hasan,1,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
5,R Mutumbami,Mashrafe Mortaza,H Masakadza,2,0,2,6,181,2,1,1,6,0,,,1,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
6,H Masakadza,Abu Hider,R Mutumbami,0,1,1,7,180,0,1,1,1,0,,,2,wides,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
7,H Masakadza,Abu Hider,R Mutumbami,1,0,1,8,179,1,2,1,2,0,,,2,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
8,R Mutumbami,Abu Hider,H Masakadza,0,0,0,8,179,2,2,1,3,0,,,2,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
9,R Mutumbami,Abu Hider,H Masakadza,4,0,4,12,175,6,3,1,4,0,,,2,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
10,R Mutumbami,Abu Hider,H Masakadza,4,0,4,16,171,10,4,1,5,0,,,2,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
11,R Mutumbami,Abu Hider,H Masakadza,1,0,1,17,170,11,5,1,6,0,,,2,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
12,H Masakadza,Abu Hider,R Mutumbami,0,0,0,17,170,1,3,1,7,0,,,2,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
13,R Mutumbami,Mashrafe Mortaza,H Masakadza,0,0,0,17,170,11,6,1,1,0,,,3,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
14,R Mutumbami,Mashrafe Mortaza,H Masakadza,0,0,0,17,170,11,7,1,2,0,,,3,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
15,R Mutumbami,Mashrafe Mortaza,H Masakadza,1,0,1,18,169,12,8,1,3,0,,,3,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
16,H Masakadza,Mashrafe Mortaza,R Mutumbami,4,0,4,22,165,5,4,1,4,0,,,3,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
17,H Masakadza,Mashrafe Mortaza,R Mutumbami,4,0,4,26,161,9,5,1,5,0,,,3,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
18,H Masakadza,Mashrafe Mortaza,R Mutumbami,1,0,1,27,160,10,6,1,6,0,,,3,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
19,H Masakadza,Arafat Sunny,R Mutumbami,0,0,0,27,160,10,7,1,1,0,,,4,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
20,H Masakadza,Arafat Sunny,R Mutumbami,0,0,0,27,160,10,8,1,2,0,,,4,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
21,H Masakadza,Arafat Sunny,R Mutumbami,4,0,4,31,156,14,9,1,3,0,,,4,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
22,H Masakadza,Arafat Sunny,R Mutumbami,6,0,6,37,150,20,10,1,4,0,,,4,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
23,H Masakadza,Arafat Sunny,R Mutumbami,0,0,0,37,150,20,11,1,5,0,,,4,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
24,H Masakadza,Arafat Sunny,R Mutumbami,1,0,1,38,149,21,12,1,6,0,,,4,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
25,H Masakadza,Taskin Ahmed,R Mutumbami,0,0,0,38,149,21,13,1,1,0,,,5,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
26,H Masakadza,Taskin Ahmed,R Mutumbami,6,0,6,44,143,27,14,1,2,0,,,5,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
27,H Masakadza,Taskin Ahmed,R Mutumbami,4,0,4,48,139,31,15,1,3,0,,,5,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
28,H Masakadza,Taskin Ahmed,R Mutumbami,1,0,1,49,138,32,16,1,4,0,,,5,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
29,R Mutumbami,Taskin Ahmed,H Masakadza,1,0,1,50,137,13,9,1,5,0,,,5,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
30,H Masakadza,Taskin Ahmed,R Mutumbami,2,0,2,52,135,34,17,1,6,0,,,5,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
31,R Mutumbami,Shakib Al Hasan,H Masakadza,4,0,4,56,131,17,10,1,1,0,,,6,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
32,R Mutumbami,Shakib Al Hasan,H Masakadza,0,0,0,56,131,17,11,1,2,0,,,6,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
33,R Mutumbami,Shakib Al Hasan,H Masakadza,0,0,0,56,131,17,12,1,3,0,,,6,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
34,R Mutumbami,Shakib Al Hasan,H Masakadza,2,0,2,58,129,19,13,1,4,0,,,6,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
35,R Mutumbami,Shakib Al Hasan,H Masakadza,0,1,1,59,128,19,14,1,5,0,,,6,wides,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
36,R Mutumbami,Shakib Al Hasan,H Masakadza,1,0,1,60,127,20,15,1,6,0,,,6,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
37,H Masakadza,Shakib Al Hasan,R Mutumbami,2,0,2,62,125,36,18,1,7,0,,,6,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
38,R Mutumbami,Arafat Sunny,H Masakadza,0,0,0,62,125,20,16,1,1,0,,,7,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
39,R Mutumbami,Arafat Sunny,H Masakadza,1,0,1,63,124,21,17,1,2,0,,,7,-,bat,Zimbabwe,1,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Zimbabwe,Bangladesh,180
