,batter,bowler,non_striker,replacements,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
19,AJ Finch,Washington Sundar,DJM Short,,1,0,1,31,130,15,13,0,2,-,4,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
20,DJM Short,Washington Sundar,AJ Finch,,0,0,0,31,130,14,8,0,3,-,4,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
21,DJM Short,Washington Sundar,AJ Finch,,1,0,1,32,129,15,9,0,4,-,4,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
22,AJ Finch,Washington Sundar,DJM Short,,0,0,0,32,129,15,14,0,5,-,4,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
23,AJ Finch,Washington Sundar,DJM Short,,1,0,1,33,128,16,15,0,6,-,4,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
24,AJ Finch,Mohammed Shami,DJM Short,,4,0,4,37,124,20,16,0,1,-,5,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
25,AJ Finch,Mohammed Shami,DJM Short,,0,0,0,37,124,20,17,0,2,-,5,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
26,AJ Finch,Mohammed Shami,DJM Short,,6,0,6,43,118,26,18,0,3,-,5,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
27,AJ Finch,Mohammed Shami,DJM Short,,1,0,1,44,117,27,19,0,4,-,5,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
28,DJM Short,Mohammed Shami,AJ Finch,,0,0,0,44,117,15,10,0,5,-,5,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
29,DJM Short,Mohammed Shami,AJ Finch,,1,0,1,45,116,16,11,0,6,-,5,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
30,DJM Short,T Natarajan,AJ Finch,,1,0,1,46,115,17,12,0,1,-,6,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
31,AJ Finch,T Natarajan,DJM Short,,1,0,1,47,114,28,20,0,2,-,6,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
32,DJM Short,T Natarajan,AJ Finch,,0,0,0,47,114,17,13,0,3,-,6,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
33,DJM Short,T Natarajan,AJ Finch,,1,0,1,48,113,18,14,0,4,-,6,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
34,AJ Finch,T Natarajan,DJM Short,,4,0,4,52,109,32,21,0,5,-,6,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
35,AJ Finch,T Natarajan,DJM Short,,1,0,1,53,108,33,22,0,6,-,6,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
36,AJ Finch,DL Chahar,DJM Short,,0,0,0,53,108,33,23,0,1,-,7,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
37,AJ Finch,DL Chahar,DJM Short,,1,0,1,54,107,34,24,0,2,-,7,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
38,DJM Short,DL Chahar,AJ Finch,,0,0,0,54,107,18,15,0,3,-,7,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
39,DJM Short,DL Chahar,AJ Finch,,0,0,0,54,107,18,16,0,4,-,7,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
40,DJM Short,DL Chahar,AJ Finch,,0,0,0,54,107,18,17,0,5,-,7,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
41,DJM Short,DL Chahar,AJ Finch,,0,0,0,54,107,18,18,0,6,-,7,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
42,AJ Finch,YS Chahal,DJM Short,,1,0,1,55,106,35,25,0,1,-,8,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
43,DJM Short,YS Chahal,AJ Finch,,0,0,0,55,106,18,19,0,2,-,8,0,,,,field,Australia,2,Manuka Oval,2020,12,India_Australia_2020-12-04,India,Australia,India,150
