,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,CH Gayle,M Theekshana,E Lewis,0,0,0,0,0,1,1,1,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
1,CH Gayle,M Theekshana,E Lewis,0,0,0,0,0,2,2,1,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
2,CH Gayle,M Theekshana,E Lewis,1,0,1,1,1,3,3,1,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
3,E Lewis,M Theekshana,CH Gayle,0,0,0,1,0,1,4,1,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
4,E Lewis,M Theekshana,CH Gayle,0,0,0,1,0,2,5,1,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
5,E Lewis,M Theekshana,CH Gayle,0,0,0,1,0,3,6,1,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
6,CH Gayle,B Fernando,E Lewis,0,0,0,1,1,4,1,2,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
7,CH Gayle,B Fernando,E Lewis,0,0,0,1,1,5,2,2,caught,CH Gayle,PWH de Silva,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
8,N Pooran,B Fernando,E Lewis,1,0,1,2,1,1,3,2,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
9,E Lewis,B Fernando,N Pooran,4,0,4,6,4,4,4,2,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
10,E Lewis,B Fernando,N Pooran,4,0,4,10,8,5,5,2,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
11,E Lewis,B Fernando,N Pooran,0,0,0,10,8,6,6,2,bowled,E Lewis,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
12,N Pooran,M Theekshana,RL Chase,0,0,0,10,1,2,1,3,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
13,N Pooran,M Theekshana,RL Chase,4,0,4,14,5,3,2,3,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
14,N Pooran,M Theekshana,RL Chase,0,0,0,14,5,4,3,3,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
15,N Pooran,M Theekshana,RL Chase,2,0,2,16,7,5,4,3,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
16,N Pooran,M Theekshana,RL Chase,3,0,3,19,10,6,5,3,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
17,RL Chase,M Theekshana,N Pooran,0,0,0,19,0,1,6,3,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
18,N Pooran,B Fernando,RL Chase,4,0,4,23,14,7,1,4,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
19,N Pooran,B Fernando,RL Chase,6,0,6,29,20,8,2,4,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
20,N Pooran,B Fernando,RL Chase,0,1,1,30,20,9,3,4,0,,,noballs,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
21,N Pooran,B Fernando,RL Chase,4,0,4,34,24,10,4,4,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
22,N Pooran,B Fernando,RL Chase,0,0,0,34,24,11,5,4,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
23,N Pooran,B Fernando,RL Chase,0,0,0,34,24,12,6,4,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
24,N Pooran,B Fernando,RL Chase,0,0,0,34,24,13,7,4,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
25,RL Chase,PVD Chameera,N Pooran,0,0,0,34,0,2,1,5,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
26,RL Chase,PVD Chameera,N Pooran,4,0,4,38,4,3,2,5,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
27,RL Chase,PVD Chameera,N Pooran,0,0,0,38,4,4,3,5,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
28,RL Chase,PVD Chameera,N Pooran,1,0,1,39,5,5,4,5,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
29,N Pooran,PVD Chameera,RL Chase,0,0,0,39,24,14,5,5,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
30,N Pooran,PVD Chameera,RL Chase,4,0,4,43,28,15,6,5,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
31,RL Chase,C Karunaratne,N Pooran,0,0,0,43,5,6,1,6,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
32,RL Chase,C Karunaratne,N Pooran,4,0,4,47,9,7,2,6,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
33,RL Chase,C Karunaratne,N Pooran,0,0,0,47,9,8,3,6,caught,RL Chase,PBB Rajapaksa,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
34,SO Hetmyer,C Karunaratne,N Pooran,0,0,0,47,0,1,4,6,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
35,SO Hetmyer,C Karunaratne,N Pooran,1,0,1,48,1,2,5,6,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
36,N Pooran,C Karunaratne,SO Hetmyer,4,0,4,52,32,16,6,6,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
37,SO Hetmyer,MD Shanaka,N Pooran,1,0,1,53,2,3,1,7,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
38,N Pooran,MD Shanaka,SO Hetmyer,0,0,0,53,32,17,2,7,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
39,N Pooran,MD Shanaka,SO Hetmyer,1,0,1,54,33,18,3,7,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
40,SO Hetmyer,MD Shanaka,N Pooran,0,0,0,54,2,4,4,7,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
41,SO Hetmyer,MD Shanaka,N Pooran,1,0,1,55,3,5,5,7,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
42,N Pooran,MD Shanaka,SO Hetmyer,1,0,1,56,34,19,6,7,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
43,N Pooran,M Theekshana,SO Hetmyer,0,0,0,56,34,20,1,8,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
44,N Pooran,M Theekshana,SO Hetmyer,1,0,1,57,35,21,2,8,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
45,SO Hetmyer,M Theekshana,N Pooran,0,0,0,57,3,6,3,8,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
46,SO Hetmyer,M Theekshana,N Pooran,1,0,1,58,4,7,4,8,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
47,N Pooran,M Theekshana,SO Hetmyer,1,0,1,59,36,22,5,8,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
48,SO Hetmyer,M Theekshana,N Pooran,0,0,0,59,4,8,6,8,0,,,-,"{'by': 'Sri Lanka', 'umpire': 'L Rusere', 'batter': 'SO Hetmyer', 'decision': 'struck down', 'umpires_call': True}",field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
49,N Pooran,C Karunaratne,SO Hetmyer,0,0,0,59,36,23,1,9,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
50,N Pooran,C Karunaratne,SO Hetmyer,0,0,0,59,36,24,2,9,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
51,N Pooran,C Karunaratne,SO Hetmyer,1,0,1,60,37,25,3,9,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
52,SO Hetmyer,C Karunaratne,N Pooran,1,0,1,61,5,9,4,9,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
53,N Pooran,C Karunaratne,SO Hetmyer,1,0,1,62,38,26,5,9,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
54,SO Hetmyer,C Karunaratne,N Pooran,1,0,1,63,6,10,6,9,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
55,SO Hetmyer,M Theekshana,N Pooran,0,1,1,64,6,11,1,10,0,,,legbyes,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
56,N Pooran,M Theekshana,SO Hetmyer,0,0,0,64,38,27,2,10,0,,,-,,field,West Indies,2,"Zayed Cricket Stadium, Abu Dhabi",2021-11-04,Sri Lanka,West Indies,Sri Lanka
