,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,YBK Jaiswal,R Mondol,RD Gaikwad,0,0,0,0,96,0,1,0,1,0,,,1,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
1,YBK Jaiswal,R Mondol,RD Gaikwad,0,0,0,0,96,0,2,0,2,0,,,1,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
2,YBK Jaiswal,R Mondol,RD Gaikwad,0,0,0,0,96,0,3,0,3,0,,,1,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
3,YBK Jaiswal,R Mondol,RD Gaikwad,0,0,0,0,96,0,4,1,4,caught,YBK Jaiswal,Mrittunjoy Chowdhury,1,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
4,Tilak Varma,R Mondol,RD Gaikwad,1,0,1,1,95,1,1,1,5,0,,,1,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
5,RD Gaikwad,R Mondol,Tilak Varma,4,0,4,5,91,4,1,1,6,0,,,1,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
6,Tilak Varma,Saif Hassan,RD Gaikwad,1,0,1,6,90,2,2,1,1,0,,,2,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
7,RD Gaikwad,Saif Hassan,Tilak Varma,1,0,1,7,89,5,2,1,2,0,,,2,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
8,Tilak Varma,Saif Hassan,RD Gaikwad,6,0,6,13,83,8,3,1,3,0,,,2,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
9,Tilak Varma,Saif Hassan,RD Gaikwad,0,0,0,13,83,8,4,1,4,0,,,2,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
10,Tilak Varma,Saif Hassan,RD Gaikwad,0,0,0,13,83,8,5,1,5,0,,,2,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
11,Tilak Varma,Saif Hassan,RD Gaikwad,2,0,2,15,81,10,6,1,6,0,,,2,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
12,RD Gaikwad,R Mondol,Tilak Varma,6,0,6,21,75,11,3,1,1,0,,,3,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
13,RD Gaikwad,R Mondol,Tilak Varma,6,0,6,27,69,17,4,1,2,0,,,3,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
14,RD Gaikwad,R Mondol,Tilak Varma,0,1,1,28,68,17,5,1,3,0,,,3,wides,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
15,RD Gaikwad,R Mondol,Tilak Varma,4,0,4,32,64,21,6,1,4,0,,,3,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
16,RD Gaikwad,R Mondol,Tilak Varma,4,0,4,36,60,25,7,1,5,0,,,3,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
17,RD Gaikwad,R Mondol,Tilak Varma,0,0,0,36,60,25,8,1,6,0,,,3,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
18,RD Gaikwad,R Mondol,Tilak Varma,0,0,0,36,60,25,9,1,7,0,,,3,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
19,Tilak Varma,Mrittunjoy Chowdhury,RD Gaikwad,0,0,0,36,60,10,7,1,1,0,,,4,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
20,Tilak Varma,Mrittunjoy Chowdhury,RD Gaikwad,0,1,1,37,59,10,8,1,2,0,,,4,wides,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
21,Tilak Varma,Mrittunjoy Chowdhury,RD Gaikwad,6,0,6,43,53,16,9,1,3,0,,,4,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
22,Tilak Varma,Mrittunjoy Chowdhury,RD Gaikwad,6,0,6,49,47,22,10,1,4,0,,,4,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
23,Tilak Varma,Mrittunjoy Chowdhury,RD Gaikwad,1,0,1,50,46,23,11,1,5,0,,,4,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
24,RD Gaikwad,Mrittunjoy Chowdhury,Tilak Varma,0,0,0,50,46,25,10,1,6,0,,,4,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
25,RD Gaikwad,Mrittunjoy Chowdhury,Tilak Varma,0,0,0,50,46,25,11,1,7,0,,,4,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
26,Tilak Varma,Rakibul Hasan,RD Gaikwad,6,0,6,56,40,29,12,1,1,0,,,5,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
27,Tilak Varma,Rakibul Hasan,RD Gaikwad,4,0,4,60,36,33,13,1,2,0,,,5,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
28,Tilak Varma,Rakibul Hasan,RD Gaikwad,1,0,1,61,35,34,14,1,3,0,,,5,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
29,RD Gaikwad,Rakibul Hasan,Tilak Varma,0,0,0,61,35,25,12,1,4,0,,,5,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
30,RD Gaikwad,Rakibul Hasan,Tilak Varma,0,0,0,61,35,25,13,1,5,0,,,5,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
31,RD Gaikwad,Rakibul Hasan,Tilak Varma,6,0,6,67,29,31,14,1,6,0,,,5,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
32,Tilak Varma,Afif Hossain,RD Gaikwad,1,0,1,68,28,35,15,1,1,0,,,6,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
33,RD Gaikwad,Afif Hossain,Tilak Varma,0,0,0,68,28,31,15,1,2,0,,,6,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
34,RD Gaikwad,Afif Hossain,Tilak Varma,0,0,0,68,28,31,16,1,3,0,,,6,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
35,RD Gaikwad,Afif Hossain,Tilak Varma,0,0,0,68,28,31,17,1,4,0,,,6,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
36,RD Gaikwad,Afif Hossain,Tilak Varma,0,0,0,68,28,31,18,1,5,0,,,6,-,field,India,2,Zhejiang University of Technology Cricket Field,2023,10,Bangladesh_India_2023-10-06,India,India,Bangladesh
