,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,RG Sharma,AJ Hosein,Ishan Kishan,1,0,1,1,156,1,1,0,1,-,1,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
1,Ishan Kishan,AJ Hosein,RG Sharma,0,0,0,1,156,0,1,0,2,-,1,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
2,Ishan Kishan,AJ Hosein,RG Sharma,0,0,0,1,156,0,2,0,3,-,1,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
3,Ishan Kishan,AJ Hosein,RG Sharma,0,5,5,6,151,0,3,0,4,byesnoballs,1,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
4,Ishan Kishan,AJ Hosein,RG Sharma,1,1,2,8,149,1,4,0,5,noballs,1,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
5,RG Sharma,AJ Hosein,Ishan Kishan,1,0,1,9,148,2,2,0,6,-,1,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
6,Ishan Kishan,AJ Hosein,RG Sharma,1,0,1,10,147,2,5,0,7,-,1,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
7,RG Sharma,AJ Hosein,Ishan Kishan,0,0,0,10,147,2,3,0,8,-,1,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
8,Ishan Kishan,SS Cottrell,RG Sharma,0,0,0,10,147,2,6,0,1,-,2,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
9,Ishan Kishan,SS Cottrell,RG Sharma,0,0,0,10,147,2,7,0,2,-,2,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
10,Ishan Kishan,SS Cottrell,RG Sharma,0,0,0,10,147,2,8,0,3,-,2,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
11,Ishan Kishan,SS Cottrell,RG Sharma,0,0,0,10,147,2,9,0,4,-,2,"{'by': 'West Indies', 'umpire': 'Nitin Menon', 'batter': 'Ishan Kishan', 'decision': 'struck down'}",0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
12,Ishan Kishan,SS Cottrell,RG Sharma,0,0,0,10,147,2,10,1,5,-,2,,caught,Ishan Kishan,KR Mayers,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
13,RG Sharma,SS Cottrell,V Kohli,0,0,0,10,147,2,4,1,6,-,2,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
14,V Kohli,AJ Hosein,RG Sharma,0,0,0,10,147,0,1,1,1,-,3,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
15,V Kohli,AJ Hosein,RG Sharma,4,0,4,14,143,4,2,1,2,-,3,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
16,V Kohli,AJ Hosein,RG Sharma,0,0,0,14,143,4,3,1,3,-,3,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
17,V Kohli,AJ Hosein,RG Sharma,0,0,0,14,143,4,4,1,4,-,3,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
18,V Kohli,AJ Hosein,RG Sharma,0,0,0,14,143,4,5,1,5,-,3,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
19,V Kohli,AJ Hosein,RG Sharma,4,0,4,18,139,8,6,1,6,-,3,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
20,RG Sharma,SS Cottrell,V Kohli,0,0,0,18,139,2,5,1,1,-,4,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
21,RG Sharma,SS Cottrell,V Kohli,0,0,0,18,139,2,6,1,2,-,4,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
22,RG Sharma,SS Cottrell,V Kohli,0,0,0,18,139,2,7,1,3,-,4,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
23,RG Sharma,SS Cottrell,V Kohli,0,1,1,19,138,2,8,1,4,wides,4,,0,,,field,West Indies,1,"Eden Gardens, Kolkata",2022,02,India_West Indies_2022-02-18,India,India,West Indies,186
