,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
27,RR Rossouw,DJ Willey,RR Hendricks,,1,0,1,31,176,15,12,1,4,0,,,4,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
28,RR Hendricks,DJ Willey,RR Rossouw,,4,0,4,35,172,20,14,1,5,0,,,4,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
29,RR Hendricks,DJ Willey,RR Rossouw,,0,1,1,36,171,20,15,1,6,0,,,4,legbyes,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
30,RR Hendricks,CJ Jordan,RR Rossouw,,1,0,1,37,170,21,16,1,1,0,,,5,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
31,RR Rossouw,CJ Jordan,RR Hendricks,,4,0,4,41,166,19,13,1,2,0,,,5,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
32,RR Rossouw,CJ Jordan,RR Hendricks,,4,0,4,45,162,23,14,1,3,0,,,5,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
33,RR Rossouw,CJ Jordan,RR Hendricks,,0,0,0,45,162,23,15,1,4,0,,,5,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
34,RR Rossouw,CJ Jordan,RR Hendricks,,4,0,4,49,158,27,16,1,5,0,,,5,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
35,RR Rossouw,CJ Jordan,RR Hendricks,,4,0,4,53,154,31,17,1,6,0,,,5,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
36,RR Hendricks,MM Ali,RR Rossouw,,1,0,1,54,153,22,17,1,1,0,,,6,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
37,RR Rossouw,MM Ali,RR Hendricks,,0,1,1,55,152,31,18,1,2,0,,,6,wides,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
38,RR Rossouw,MM Ali,RR Hendricks,,0,0,0,55,152,31,19,2,3,bowled,RR Rossouw,,6,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
39,AK Markram,MM Ali,RR Hendricks,,1,0,1,56,151,1,1,2,4,0,,,6,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
40,RR Hendricks,MM Ali,AK Markram,,0,0,0,56,151,22,18,2,5,0,,,6,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
41,RR Hendricks,MM Ali,AK Markram,,1,0,1,57,150,23,19,2,6,0,,,6,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
42,AK Markram,MM Ali,RR Hendricks,,0,0,0,57,150,1,2,2,7,0,,,6,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
43,RR Hendricks,AU Rashid,AK Markram,,2,0,2,59,148,25,20,2,1,0,,,7,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
44,RR Hendricks,AU Rashid,AK Markram,,2,0,2,61,146,27,21,2,2,0,,,7,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
45,RR Hendricks,AU Rashid,AK Markram,,1,0,1,62,145,28,22,2,3,0,,,7,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
