,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,A Balbirnie,TL Chatara,GR Adair,0,0,0,0,193,0,1,0,1,1,0,,,-,field,Zimbabwe,1,Harare Sports Club,2023,01,Ireland_Zimbabwe_2023-01-12,Zimbabwe,Ireland,Zimbabwe,114
1,A Balbirnie,TL Chatara,GR Adair,1,0,1,1,192,1,2,0,2,1,0,,,-,field,Zimbabwe,1,Harare Sports Club,2023,01,Ireland_Zimbabwe_2023-01-12,Zimbabwe,Ireland,Zimbabwe,114
2,GR Adair,TL Chatara,A Balbirnie,0,0,0,1,192,0,1,0,3,1,0,,,-,field,Zimbabwe,1,Harare Sports Club,2023,01,Ireland_Zimbabwe_2023-01-12,Zimbabwe,Ireland,Zimbabwe,114
3,GR Adair,TL Chatara,A Balbirnie,1,0,1,2,191,1,2,0,4,1,0,,,-,field,Zimbabwe,1,Harare Sports Club,2023,01,Ireland_Zimbabwe_2023-01-12,Zimbabwe,Ireland,Zimbabwe,114
4,A Balbirnie,TL Chatara,GR Adair,0,0,0,2,191,1,3,0,5,1,0,,,-,field,Zimbabwe,1,Harare Sports Club,2023,01,Ireland_Zimbabwe_2023-01-12,Zimbabwe,Ireland,Zimbabwe,114
5,A Balbirnie,TL Chatara,GR Adair,0,0,0,2,191,1,4,0,6,1,0,,,-,field,Zimbabwe,1,Harare Sports Club,2023,01,Ireland_Zimbabwe_2023-01-12,Zimbabwe,Ireland,Zimbabwe,114
6,GR Adair,R Ngarava,A Balbirnie,0,0,0,2,191,1,3,0,1,2,0,,,-,field,Zimbabwe,1,Harare Sports Club,2023,01,Ireland_Zimbabwe_2023-01-12,Zimbabwe,Ireland,Zimbabwe,114
7,GR Adair,R Ngarava,A Balbirnie,4,0,4,6,187,5,4,0,2,2,0,,,-,field,Zimbabwe,1,Harare Sports Club,2023,01,Ireland_Zimbabwe_2023-01-12,Zimbabwe,Ireland,Zimbabwe,114
8,GR Adair,R Ngarava,A Balbirnie,0,0,0,6,187,5,5,0,3,2,0,,,-,field,Zimbabwe,1,Harare Sports Club,2023,01,Ireland_Zimbabwe_2023-01-12,Zimbabwe,Ireland,Zimbabwe,114
9,GR Adair,R Ngarava,A Balbirnie,0,0,0,6,187,5,6,1,4,2,bowled,GR Adair,,-,field,Zimbabwe,1,Harare Sports Club,2023,01,Ireland_Zimbabwe_2023-01-12,Zimbabwe,Ireland,Zimbabwe,114
