,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extras,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,UT Khawaja,A Nehra,SR Watson,1,0,1,1,1,1,1,1,0,,,,-,bat,Australia,1,Sydney Cricket Ground,2016-01-31,Australia,India
1,SR Watson,A Nehra,UT Khawaja,0,0,0,1,0,1,2,1,0,,,,-,bat,Australia,1,Sydney Cricket Ground,2016-01-31,Australia,India
2,SR Watson,A Nehra,UT Khawaja,0,0,0,1,0,2,3,1,0,,,,-,bat,Australia,1,Sydney Cricket Ground,2016-01-31,Australia,India
3,SR Watson,A Nehra,UT Khawaja,0,0,0,1,0,3,4,1,0,,,,-,bat,Australia,1,Sydney Cricket Ground,2016-01-31,Australia,India
4,SR Watson,A Nehra,UT Khawaja,0,0,0,1,0,4,5,1,0,,,,-,bat,Australia,1,Sydney Cricket Ground,2016-01-31,Australia,India
5,SR Watson,A Nehra,UT Khawaja,0,0,0,1,0,5,6,1,0,,,,-,bat,Australia,1,Sydney Cricket Ground,2016-01-31,Australia,India
6,UT Khawaja,JJ Bumrah,SR Watson,3,0,3,4,4,2,1,2,0,,,,-,bat,Australia,1,Sydney Cricket Ground,2016-01-31,Australia,India
7,SR Watson,JJ Bumrah,UT Khawaja,0,0,0,4,0,6,2,2,0,,,,-,bat,Australia,1,Sydney Cricket Ground,2016-01-31,Australia,India
8,SR Watson,JJ Bumrah,UT Khawaja,1,0,1,5,1,7,3,2,0,,,,-,bat,Australia,1,Sydney Cricket Ground,2016-01-31,Australia,India
9,UT Khawaja,JJ Bumrah,SR Watson,4,0,4,9,8,3,4,2,0,,,,-,bat,Australia,1,Sydney Cricket Ground,2016-01-31,Australia,India
10,UT Khawaja,JJ Bumrah,SR Watson,4,0,4,13,12,4,5,2,0,,,,-,bat,Australia,1,Sydney Cricket Ground,2016-01-31,Australia,India
11,UT Khawaja,JJ Bumrah,SR Watson,2,0,2,15,14,5,6,2,0,,,,-,bat,Australia,1,Sydney Cricket Ground,2016-01-31,Australia,India
12,SR Watson,A Nehra,UT Khawaja,1,0,1,16,2,8,1,3,0,,,,-,bat,Australia,1,Sydney Cricket Ground,2016-01-31,Australia,India
13,UT Khawaja,A Nehra,SR Watson,0,0,0,16,14,6,2,3,caught,UT Khawaja,MS Dhoni,,-,bat,Australia,1,Sydney Cricket Ground,2016-01-31,Australia,India
