,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
22,Mohammad Rizwan,TG Southee,Mohammad Hafeez,0,0,0,23,130,14,14,2,5,4,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
23,Mohammad Rizwan,TG Southee,Mohammad Hafeez,4,0,4,27,126,18,15,2,6,4,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
24,Mohammad Hafeez,KA Jamieson,Mohammad Rizwan,0,0,0,27,126,1,4,2,1,5,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
25,Mohammad Hafeez,KA Jamieson,Mohammad Rizwan,1,0,1,28,125,2,5,2,2,5,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
26,Mohammad Rizwan,KA Jamieson,Mohammad Hafeez,0,0,0,28,125,18,16,2,3,5,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
27,Mohammad Rizwan,KA Jamieson,Mohammad Hafeez,2,0,2,30,123,20,17,2,4,5,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
28,Mohammad Rizwan,KA Jamieson,Mohammad Hafeez,1,0,1,31,122,21,18,2,5,5,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
29,Mohammad Hafeez,KA Jamieson,Mohammad Rizwan,0,0,0,31,122,2,6,2,6,5,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
30,Mohammad Rizwan,TG Southee,Mohammad Hafeez,1,0,1,32,121,22,19,2,1,6,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
31,Mohammad Hafeez,TG Southee,Mohammad Rizwan,0,0,0,32,121,2,7,2,2,6,0,,,-,bat,Pakistan,1,Seddon Park,2020,12,Pakistan_New Zealand_2020-12-20,New Zealand,Pakistan,New Zealand,163
