,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
40,Rahmanullah Gurbaz,PWH de Silva,Hazratullah,4,0,4,78,34,20,4,7,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
41,Rahmanullah Gurbaz,PWH de Silva,Hazratullah,4,0,4,82,38,21,5,7,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
42,Rahmanullah Gurbaz,PWH de Silva,Hazratullah,0,0,0,82,38,22,6,7,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
43,Hazratullah,A Dananjaya,Rahmanullah Gurbaz,6,0,6,88,45,22,1,8,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
44,Hazratullah,A Dananjaya,Rahmanullah Gurbaz,0,0,0,88,45,23,2,8,-,"{'by': 'Sri Lanka', 'umpire': 'RR Wimalasiri', 'batter': 'Hazratullah', 'decision': 'upheld', 'type': 'wicket'}",lbw,Hazratullah,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
45,Ibrahim Zadran,A Dananjaya,Rahmanullah Gurbaz,4,0,4,92,4,1,3,8,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
46,Ibrahim Zadran,A Dananjaya,Rahmanullah Gurbaz,2,0,2,94,6,2,4,8,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
47,Ibrahim Zadran,A Dananjaya,Rahmanullah Gurbaz,1,0,1,95,7,3,5,8,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
48,Rahmanullah Gurbaz,A Dananjaya,Ibrahim Zadran,2,0,2,97,40,23,6,8,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
49,Ibrahim Zadran,PWH de Silva,Rahmanullah Gurbaz,0,0,0,97,7,4,1,9,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
50,Ibrahim Zadran,PWH de Silva,Rahmanullah Gurbaz,1,0,1,98,8,5,2,9,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
51,Rahmanullah Gurbaz,PWH de Silva,Ibrahim Zadran,4,0,4,102,44,24,3,9,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
52,Rahmanullah Gurbaz,PWH de Silva,Ibrahim Zadran,2,0,2,104,46,25,4,9,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
53,Rahmanullah Gurbaz,PWH de Silva,Ibrahim Zadran,2,0,2,106,48,26,5,9,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
54,Rahmanullah Gurbaz,PWH de Silva,Ibrahim Zadran,1,0,1,107,49,27,6,9,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
55,Rahmanullah Gurbaz,MD Shanaka,Ibrahim Zadran,1,0,1,108,50,28,1,10,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
56,Ibrahim Zadran,MD Shanaka,Rahmanullah Gurbaz,1,0,1,109,9,6,2,10,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
57,Rahmanullah Gurbaz,MD Shanaka,Ibrahim Zadran,2,0,2,111,52,29,3,10,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
58,Rahmanullah Gurbaz,MD Shanaka,Ibrahim Zadran,1,0,1,112,53,30,4,10,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
59,Ibrahim Zadran,MD Shanaka,Rahmanullah Gurbaz,1,0,1,113,10,7,5,10,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
60,Rahmanullah Gurbaz,MD Shanaka,Ibrahim Zadran,0,0,0,113,53,31,6,10,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
61,Ibrahim Zadran,A Dananjaya,Rahmanullah Gurbaz,0,0,0,113,10,8,1,11,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
62,Ibrahim Zadran,A Dananjaya,Rahmanullah Gurbaz,0,0,0,113,10,9,2,11,-,,caught,Ibrahim Zadran,PWH de Silva,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
63,Azmatullah Omarzai,A Dananjaya,Rahmanullah Gurbaz,2,0,2,115,2,1,3,11,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
64,Azmatullah Omarzai,A Dananjaya,Rahmanullah Gurbaz,1,0,1,116,3,2,4,11,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
65,Rahmanullah Gurbaz,A Dananjaya,Azmatullah Omarzai,1,0,1,117,54,32,5,11,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
66,Azmatullah Omarzai,A Dananjaya,Rahmanullah Gurbaz,1,0,1,118,4,3,6,11,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
67,Azmatullah Omarzai,MD Shanaka,Rahmanullah Gurbaz,1,0,1,119,5,4,1,12,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
68,Rahmanullah Gurbaz,MD Shanaka,Azmatullah Omarzai,2,0,2,121,56,33,2,12,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
69,Rahmanullah Gurbaz,MD Shanaka,Azmatullah Omarzai,2,0,2,123,58,34,3,12,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
70,Rahmanullah Gurbaz,MD Shanaka,Azmatullah Omarzai,2,0,2,125,60,35,4,12,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
71,Rahmanullah Gurbaz,MD Shanaka,Azmatullah Omarzai,1,0,1,126,61,36,5,12,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
72,Azmatullah Omarzai,MD Shanaka,Rahmanullah Gurbaz,2,0,2,128,7,5,6,12,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
73,Rahmanullah Gurbaz,A Dananjaya,Azmatullah Omarzai,0,0,0,128,61,37,1,13,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
74,Rahmanullah Gurbaz,A Dananjaya,Azmatullah Omarzai,1,0,1,129,62,38,2,13,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
