,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,Mohammad Rizwan,WD Parnell,Babar Azam,0,0,0,0,184,0,1,0,1,0,,,0,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
1,Mohammad Rizwan,WD Parnell,Babar Azam,4,0,4,4,180,4,2,0,2,0,,,0,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
2,Mohammad Rizwan,WD Parnell,Babar Azam,0,0,0,4,180,4,3,0,3,0,,,0,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
3,Mohammad Rizwan,WD Parnell,Babar Azam,0,0,0,4,180,4,4,1,4,bowled,Mohammad Rizwan,,0,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
4,Mohammad Haris,WD Parnell,Babar Azam,0,0,0,4,180,0,1,1,5,0,,,0,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
5,Mohammad Haris,WD Parnell,Babar Azam,0,0,0,4,180,0,2,1,6,0,,,0,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
6,Babar Azam,K Rabada,Mohammad Haris,0,0,0,4,180,0,1,1,1,0,,,1,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
7,Babar Azam,K Rabada,Mohammad Haris,0,0,0,4,180,0,2,1,2,0,,,1,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
8,Babar Azam,K Rabada,Mohammad Haris,1,0,1,5,179,1,3,1,3,0,,,1,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
9,Mohammad Haris,K Rabada,Babar Azam,6,0,6,11,173,6,3,1,4,0,,,1,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
10,Mohammad Haris,K Rabada,Babar Azam,6,0,6,17,167,12,4,1,5,0,,,1,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
11,Mohammad Haris,K Rabada,Babar Azam,4,0,4,21,163,16,5,1,6,0,,,1,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
12,Babar Azam,WD Parnell,Mohammad Haris,0,0,0,21,163,1,4,1,1,0,,,2,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
13,Babar Azam,WD Parnell,Mohammad Haris,0,0,0,21,163,1,5,1,2,0,,,2,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
14,Babar Azam,WD Parnell,Mohammad Haris,0,0,0,21,163,1,6,1,3,0,,,2,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
15,Babar Azam,WD Parnell,Mohammad Haris,1,0,1,22,162,2,7,1,4,0,,,2,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
16,Mohammad Haris,WD Parnell,Babar Azam,4,0,4,26,158,20,6,1,5,0,,,2,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
17,Mohammad Haris,WD Parnell,Babar Azam,1,0,1,27,157,21,7,1,6,0,,,2,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
18,Mohammad Haris,L Ngidi,Babar Azam,1,0,1,28,156,22,8,1,1,0,,,3,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
19,Babar Azam,L Ngidi,Mohammad Haris,0,0,0,28,156,2,8,1,2,0,,,3,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
20,Babar Azam,L Ngidi,Mohammad Haris,0,0,0,28,156,2,9,1,3,0,,,3,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
21,Babar Azam,L Ngidi,Mohammad Haris,2,0,2,30,154,4,10,1,4,0,,,3,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
22,Babar Azam,L Ngidi,Mohammad Haris,0,0,0,30,154,4,11,1,5,0,,,3,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
23,Babar Azam,L Ngidi,Mohammad Haris,1,0,1,31,153,5,12,1,6,0,,,3,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
24,Babar Azam,A Nortje,Mohammad Haris,1,0,1,32,152,6,13,1,1,0,,,4,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
25,Mohammad Haris,A Nortje,Babar Azam,0,0,0,32,152,22,9,1,2,0,,,4,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
26,Mohammad Haris,A Nortje,Babar Azam,6,0,6,38,146,28,10,1,3,0,,,4,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
27,Mohammad Haris,A Nortje,Babar Azam,0,0,0,38,146,28,11,2,4,lbw,Mohammad Haris,,4,"{'by': 'Pakistan', 'umpire': 'CB Gaffaney', 'batter': 'Mohammad Haris', 'decision': 'struck down'}",-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
28,Shan Masood,A Nortje,Babar Azam,0,0,0,38,146,0,1,2,5,0,,,4,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
29,Shan Masood,A Nortje,Babar Azam,2,0,2,40,144,2,2,2,6,0,,,4,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
30,Babar Azam,L Ngidi,Shan Masood,0,0,0,40,144,6,14,2,1,0,,,5,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
31,Babar Azam,L Ngidi,Shan Masood,0,0,0,40,144,6,15,3,2,caught,Babar Azam,K Rabada,5,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
32,Iftikhar Ahmed,L Ngidi,Shan Masood,0,0,0,40,144,0,1,3,3,0,,,5,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
33,Iftikhar Ahmed,L Ngidi,Shan Masood,1,0,1,41,143,1,2,3,4,0,,,5,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
34,Shan Masood,L Ngidi,Iftikhar Ahmed,0,1,1,42,142,2,3,3,5,0,,,5,,wides,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
35,Shan Masood,L Ngidi,Iftikhar Ahmed,0,0,0,42,142,2,4,3,6,0,,,5,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
36,Shan Masood,L Ngidi,Iftikhar Ahmed,0,0,0,42,142,2,5,3,7,0,,,5,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
37,Iftikhar Ahmed,A Nortje,Shan Masood,1,0,1,43,141,2,3,3,1,0,,,6,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
38,Shan Masood,A Nortje,Iftikhar Ahmed,0,0,0,43,141,2,6,3,2,0,,,6,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
39,Shan Masood,A Nortje,Iftikhar Ahmed,0,0,0,43,141,2,7,4,3,caught,Shan Masood,T Bavuma,6,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
40,Mohammad Nawaz,A Nortje,Iftikhar Ahmed,0,0,0,43,141,0,1,4,4,0,,,6,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
41,Mohammad Nawaz,A Nortje,Iftikhar Ahmed,0,0,0,43,141,0,2,4,5,0,,,6,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
42,Mohammad Nawaz,A Nortje,Iftikhar Ahmed,0,0,0,43,141,0,3,4,6,0,,,6,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
43,Iftikhar Ahmed,K Rabada,Mohammad Nawaz,1,0,1,44,140,3,4,4,1,0,,,7,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
44,Mohammad Nawaz,K Rabada,Iftikhar Ahmed,0,0,0,44,140,0,4,4,2,0,,,7,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
45,Mohammad Nawaz,K Rabada,Iftikhar Ahmed,4,0,4,48,136,4,5,4,3,0,,,7,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
46,Mohammad Nawaz,K Rabada,Iftikhar Ahmed,1,0,1,49,135,5,6,4,4,0,,,7,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
47,Iftikhar Ahmed,K Rabada,Mohammad Nawaz,1,0,1,50,134,4,5,4,5,0,,,7,,-,bat,Pakistan,1,Sydney Cricket Ground,2022,11,Pakistan_South Africa_2022-11-03,Pakistan,Pakistan,South Africa,185
