,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,E Lewis,GF Linde,LMP Simmons,0,0,0,0,167,0,1,0,1,1,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
1,E Lewis,GF Linde,LMP Simmons,1,0,1,1,166,1,2,0,2,1,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
2,LMP Simmons,GF Linde,E Lewis,1,0,1,2,165,1,1,0,3,1,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
3,E Lewis,GF Linde,LMP Simmons,2,0,2,4,163,3,3,0,4,1,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
4,E Lewis,GF Linde,LMP Simmons,6,0,6,10,157,9,4,0,5,1,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
5,E Lewis,GF Linde,LMP Simmons,1,0,1,11,156,10,5,0,6,1,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
6,E Lewis,AK Markram,LMP Simmons,0,0,0,11,156,10,6,0,1,2,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
7,E Lewis,AK Markram,LMP Simmons,0,1,1,12,155,10,7,0,2,2,wides,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
8,E Lewis,AK Markram,LMP Simmons,0,5,5,17,150,10,8,0,3,2,wides,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
9,E Lewis,AK Markram,LMP Simmons,1,0,1,18,149,11,9,0,4,2,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
10,LMP Simmons,AK Markram,E Lewis,2,0,2,20,147,3,2,0,5,2,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
11,LMP Simmons,AK Markram,E Lewis,0,0,0,20,147,3,3,0,6,2,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
12,LMP Simmons,AK Markram,E Lewis,0,0,0,20,147,3,4,0,7,2,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
13,LMP Simmons,AK Markram,E Lewis,0,0,0,20,147,3,5,0,8,2,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
14,E Lewis,A Nortje,LMP Simmons,1,0,1,21,146,12,10,0,1,3,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
15,LMP Simmons,A Nortje,E Lewis,4,0,4,25,142,7,6,0,2,3,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
16,LMP Simmons,A Nortje,E Lewis,2,0,2,27,140,9,7,0,3,3,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
17,LMP Simmons,A Nortje,E Lewis,1,0,1,28,139,10,8,0,4,3,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
18,E Lewis,A Nortje,LMP Simmons,0,0,0,28,139,12,11,0,5,3,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
19,E Lewis,A Nortje,LMP Simmons,0,0,0,28,139,12,12,0,6,3,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
20,LMP Simmons,L Ngidi,E Lewis,1,0,1,29,138,11,9,0,1,4,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
21,E Lewis,L Ngidi,LMP Simmons,2,0,2,31,136,14,13,0,2,4,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
22,E Lewis,L Ngidi,LMP Simmons,4,0,4,35,132,18,14,0,3,4,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
23,E Lewis,L Ngidi,LMP Simmons,1,0,1,36,131,19,15,0,4,4,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
24,LMP Simmons,L Ngidi,E Lewis,0,0,0,36,131,11,10,0,5,4,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
25,LMP Simmons,L Ngidi,E Lewis,0,0,0,36,131,11,11,0,6,4,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
26,E Lewis,K Rabada,LMP Simmons,0,0,0,36,131,19,16,0,1,5,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
27,E Lewis,K Rabada,LMP Simmons,1,0,1,37,130,20,17,0,2,5,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
28,LMP Simmons,K Rabada,E Lewis,0,0,0,37,130,11,12,0,3,5,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
29,LMP Simmons,K Rabada,E Lewis,6,0,6,43,124,17,13,0,4,5,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
30,LMP Simmons,K Rabada,E Lewis,3,0,3,46,121,20,14,0,5,5,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
31,E Lewis,K Rabada,LMP Simmons,1,0,1,47,120,21,18,0,6,5,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
32,E Lewis,A Nortje,LMP Simmons,1,0,1,48,119,22,19,0,1,6,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-29,South Africa,West Indies,South Africa
