,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,AD Hales,GJ Maxwell,MJ Lumb,1,0,1,1,1,1,1,1,-,0,,,bat,Australia,2,Bellerive Oval,2014-01-29,England,Australia
1,MJ Lumb,GJ Maxwell,AD Hales,4,0,4,5,4,1,2,1,-,0,,,bat,Australia,2,Bellerive Oval,2014-01-29,England,Australia
2,MJ Lumb,GJ Maxwell,AD Hales,0,0,0,5,4,2,3,1,-,0,,,bat,Australia,2,Bellerive Oval,2014-01-29,England,Australia
3,MJ Lumb,GJ Maxwell,AD Hales,1,0,1,6,5,3,4,1,-,0,,,bat,Australia,2,Bellerive Oval,2014-01-29,England,Australia
4,AD Hales,GJ Maxwell,MJ Lumb,4,0,4,10,5,2,5,1,-,0,,,bat,Australia,2,Bellerive Oval,2014-01-29,England,Australia
5,AD Hales,GJ Maxwell,MJ Lumb,0,0,0,10,5,3,6,1,-,0,,,bat,Australia,2,Bellerive Oval,2014-01-29,England,Australia
6,MJ Lumb,NM Coulter-Nile,AD Hales,4,0,4,14,9,4,1,2,-,0,,,bat,Australia,2,Bellerive Oval,2014-01-29,England,Australia
7,MJ Lumb,NM Coulter-Nile,AD Hales,0,0,0,14,9,5,2,2,-,0,,,bat,Australia,2,Bellerive Oval,2014-01-29,England,Australia
8,MJ Lumb,NM Coulter-Nile,AD Hales,0,0,0,14,9,6,3,2,-,caught,MJ Lumb,CA Lynn,bat,Australia,2,Bellerive Oval,2014-01-29,England,Australia
9,LJ Wright,NM Coulter-Nile,AD Hales,0,1,1,15,0,1,4,2,legbyes,0,,,bat,Australia,2,Bellerive Oval,2014-01-29,England,Australia
10,AD Hales,NM Coulter-Nile,LJ Wright,4,0,4,19,9,4,5,2,-,0,,,bat,Australia,2,Bellerive Oval,2014-01-29,England,Australia
11,AD Hales,NM Coulter-Nile,LJ Wright,4,0,4,23,13,5,6,2,-,0,,,bat,Australia,2,Bellerive Oval,2014-01-29,England,Australia
12,LJ Wright,JR Hazlewood,AD Hales,0,0,0,23,0,2,1,3,-,0,,,bat,Australia,2,Bellerive Oval,2014-01-29,England,Australia
13,LJ Wright,JR Hazlewood,AD Hales,0,1,1,24,0,3,2,3,wides,0,,,bat,Australia,2,Bellerive Oval,2014-01-29,England,Australia
14,LJ Wright,JR Hazlewood,AD Hales,0,0,0,24,0,4,3,3,-,0,,,bat,Australia,2,Bellerive Oval,2014-01-29,England,Australia
15,LJ Wright,JR Hazlewood,AD Hales,4,0,4,28,4,5,4,3,-,0,,,bat,Australia,2,Bellerive Oval,2014-01-29,England,Australia
16,LJ Wright,JR Hazlewood,AD Hales,0,0,0,28,4,6,5,3,-,0,,,bat,Australia,2,Bellerive Oval,2014-01-29,England,Australia
17,LJ Wright,JR Hazlewood,AD Hales,0,0,0,28,4,7,6,3,-,0,,,bat,Australia,2,Bellerive Oval,2014-01-29,England,Australia
18,LJ Wright,JR Hazlewood,AD Hales,1,0,1,29,5,8,7,3,-,0,,,bat,Australia,2,Bellerive Oval,2014-01-29,England,Australia
19,LJ Wright,NM Coulter-Nile,AD Hales,0,1,1,30,5,9,1,4,legbyes,0,,,bat,Australia,2,Bellerive Oval,2014-01-29,England,Australia
20,AD Hales,NM Coulter-Nile,LJ Wright,0,0,0,30,13,6,2,4,-,0,,,bat,Australia,2,Bellerive Oval,2014-01-29,England,Australia
21,AD Hales,NM Coulter-Nile,LJ Wright,4,0,4,34,17,7,3,4,-,0,,,bat,Australia,2,Bellerive Oval,2014-01-29,England,Australia
