,batter,bowler,non_striker,extras,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,TWM Latham,Shaheen Shah Afridi,CJ Bowes,,1,0,1,1,1,1,1,-,1,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
1,CJ Bowes,Shaheen Shah Afridi,TWM Latham,{'wides': 1},0,1,1,2,0,1,2,wides,1,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
2,CJ Bowes,Shaheen Shah Afridi,TWM Latham,,1,0,1,3,1,2,3,-,1,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
3,TWM Latham,Shaheen Shah Afridi,CJ Bowes,,0,0,0,3,1,2,4,-,1,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
4,TWM Latham,Shaheen Shah Afridi,CJ Bowes,{'wides': 1},0,1,1,4,1,3,5,wides,1,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
5,TWM Latham,Shaheen Shah Afridi,CJ Bowes,,1,0,1,5,2,4,6,-,1,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
6,CJ Bowes,Shaheen Shah Afridi,TWM Latham,,0,0,0,5,1,3,7,-,1,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
7,CJ Bowes,Shaheen Shah Afridi,TWM Latham,,0,0,0,5,1,4,8,-,1,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
8,TWM Latham,Zaman Khan,CJ Bowes,,1,0,1,6,3,5,1,-,2,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
9,CJ Bowes,Zaman Khan,TWM Latham,,0,0,0,6,1,5,2,-,2,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
10,CJ Bowes,Zaman Khan,TWM Latham,,0,0,0,6,1,6,3,-,2,"{'by': 'Pakistan', 'umpire': 'Ahsan Raza', 'batter': 'CJ Bowes', 'decision': 'upheld', 'type': 'wicket'}",lbw,CJ Bowes,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
11,WA Young,Zaman Khan,TWM Latham,,0,0,0,6,0,1,4,-,2,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
12,WA Young,Zaman Khan,TWM Latham,,0,0,0,6,0,2,5,-,2,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
13,WA Young,Zaman Khan,TWM Latham,,1,0,1,7,1,3,6,-,2,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
14,WA Young,Shaheen Shah Afridi,TWM Latham,,1,0,1,8,2,4,1,-,3,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
15,TWM Latham,Shaheen Shah Afridi,WA Young,,4,0,4,12,7,6,2,-,3,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
16,TWM Latham,Shaheen Shah Afridi,WA Young,,1,0,1,13,8,7,3,-,3,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
17,WA Young,Shaheen Shah Afridi,TWM Latham,,0,0,0,13,2,5,4,-,3,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
18,WA Young,Shaheen Shah Afridi,TWM Latham,,0,0,0,13,2,6,5,-,3,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
19,WA Young,Shaheen Shah Afridi,TWM Latham,,0,0,0,13,2,7,6,-,3,,bowled,WA Young,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
20,TWM Latham,Zaman Khan,DJ Mitchell,,0,0,0,13,8,8,1,-,4,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
21,TWM Latham,Zaman Khan,DJ Mitchell,,1,0,1,14,9,9,2,-,4,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
22,DJ Mitchell,Zaman Khan,TWM Latham,,1,0,1,15,1,1,3,-,4,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
23,TWM Latham,Zaman Khan,DJ Mitchell,,2,0,2,17,11,10,4,-,4,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
24,TWM Latham,Zaman Khan,DJ Mitchell,,0,0,0,17,11,11,5,-,4,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
25,TWM Latham,Zaman Khan,DJ Mitchell,,1,0,1,18,12,12,6,-,4,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
26,TWM Latham,Faheem Ashraf,DJ Mitchell,,1,0,1,19,13,13,1,-,5,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
27,DJ Mitchell,Faheem Ashraf,TWM Latham,,2,0,2,21,3,2,2,-,5,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
28,DJ Mitchell,Faheem Ashraf,TWM Latham,,4,0,4,25,7,3,3,-,5,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
29,DJ Mitchell,Faheem Ashraf,TWM Latham,,4,0,4,29,11,4,4,-,5,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
30,DJ Mitchell,Faheem Ashraf,TWM Latham,,0,0,0,29,11,5,5,-,5,,caught,DJ Mitchell,Haris Rauf,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
31,MS Chapman,Faheem Ashraf,TWM Latham,,0,0,0,29,0,1,6,-,5,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
32,TWM Latham,Haris Rauf,MS Chapman,,0,0,0,29,13,14,1,-,6,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
33,TWM Latham,Haris Rauf,MS Chapman,,0,0,0,29,13,15,2,-,6,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
34,TWM Latham,Haris Rauf,MS Chapman,,1,0,1,30,14,16,3,-,6,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
35,MS Chapman,Haris Rauf,TWM Latham,,0,0,0,30,0,2,4,-,6,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
36,MS Chapman,Haris Rauf,TWM Latham,,0,0,0,30,0,3,5,-,6,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
37,MS Chapman,Haris Rauf,TWM Latham,,0,0,0,30,0,4,6,-,6,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
38,TWM Latham,Iftikhar Ahmed,MS Chapman,,1,0,1,31,15,17,1,-,7,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
39,MS Chapman,Iftikhar Ahmed,TWM Latham,,0,0,0,31,0,5,2,-,7,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
40,MS Chapman,Iftikhar Ahmed,TWM Latham,,2,0,2,33,2,6,3,-,7,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
41,MS Chapman,Iftikhar Ahmed,TWM Latham,,0,0,0,33,2,7,4,-,7,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
42,MS Chapman,Iftikhar Ahmed,TWM Latham,,0,0,0,33,2,8,5,-,7,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
43,MS Chapman,Iftikhar Ahmed,TWM Latham,,1,0,1,34,3,9,6,-,7,,0,,,bat,Pakistan,2,"Gaddafi Stadium, Lahore",2023-04-14,New Zealand,Pakistan
