,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,Babar Azam,Shafiul Islam,Ahsan Ali,,0,0,0,0,141,0,1,0,1,-,0,,,0,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
1,Babar Azam,Shafiul Islam,Ahsan Ali,"{'by': 'Pakistan', 'umpire': 'Ahsan Raza', 'batter': 'Babar Azam', 'decision': 'struck down'}",0,0,0,0,141,0,2,1,2,-,caught,Babar Azam,Liton Das,0,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
2,Mohammad Hafeez,Shafiul Islam,Ahsan Ali,,0,0,0,0,141,0,1,1,3,-,0,,,0,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
3,Mohammad Hafeez,Shafiul Islam,Ahsan Ali,,4,0,4,4,137,4,2,1,4,-,0,,,0,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
4,Mohammad Hafeez,Shafiul Islam,Ahsan Ali,,0,1,1,5,136,4,3,1,5,wides,0,,,0,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
5,Mohammad Hafeez,Shafiul Islam,Ahsan Ali,,0,0,0,5,136,4,4,1,6,-,0,,,0,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
6,Mohammad Hafeez,Shafiul Islam,Ahsan Ali,,0,0,0,5,136,4,5,1,7,-,0,,,0,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
7,Ahsan Ali,Mustafizur Rahman,Mohammad Hafeez,,0,0,0,5,136,0,1,1,1,-,0,,,1,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
8,Ahsan Ali,Mustafizur Rahman,Mohammad Hafeez,,0,1,1,6,135,0,2,1,2,legbyes,0,,,1,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
9,Mohammad Hafeez,Mustafizur Rahman,Ahsan Ali,,4,0,4,10,131,8,6,1,3,-,0,,,1,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
10,Mohammad Hafeez,Mustafizur Rahman,Ahsan Ali,,0,0,0,10,131,8,7,1,4,-,0,,,1,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
11,Mohammad Hafeez,Mustafizur Rahman,Ahsan Ali,,4,0,4,14,127,12,8,1,5,-,0,,,1,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
12,Mohammad Hafeez,Mustafizur Rahman,Ahsan Ali,,1,0,1,15,126,13,9,1,6,-,0,,,1,bat,Bangladesh,2,Gaddafi Stadium,2020,01,Pakistan_Bangladesh_2020-01-24,Pakistan,Pakistan,Bangladesh,142
