,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,MW Short,AK Markram,TM Head,0,0,0,0,190,0,1,1,1,-,lbw,MW Short,,1,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
1,MR Marsh,AK Markram,TM Head,0,1,1,1,189,0,1,1,2,wides,0,,,1,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
2,MR Marsh,AK Markram,TM Head,0,0,0,1,189,0,2,1,3,-,0,,,1,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
3,MR Marsh,AK Markram,TM Head,0,0,0,1,189,0,3,1,4,-,0,,,1,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
4,MR Marsh,AK Markram,TM Head,0,0,0,1,189,0,4,1,5,-,0,,,1,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
5,MR Marsh,AK Markram,TM Head,1,0,1,2,188,1,5,1,6,-,0,,,1,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
6,TM Head,AK Markram,MR Marsh,1,0,1,3,187,1,1,1,7,-,0,,,1,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
7,TM Head,LB Williams,MR Marsh,1,0,1,4,186,2,2,1,1,-,0,,,2,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
8,MR Marsh,LB Williams,TM Head,0,0,0,4,186,1,6,1,2,-,0,,,2,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
9,MR Marsh,LB Williams,TM Head,4,0,4,8,182,5,7,1,3,-,0,,,2,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
10,MR Marsh,LB Williams,TM Head,4,0,4,12,178,9,8,1,4,-,0,,,2,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
11,MR Marsh,LB Williams,TM Head,4,0,4,16,174,13,9,1,5,-,0,,,2,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
12,MR Marsh,LB Williams,TM Head,0,0,0,16,174,13,10,1,6,-,0,,,2,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
13,TM Head,BC Fortuin,MR Marsh,6,0,6,22,168,8,3,1,1,-,0,,,3,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
14,TM Head,BC Fortuin,MR Marsh,0,0,0,22,168,8,4,1,2,-,0,,,3,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
15,TM Head,BC Fortuin,MR Marsh,0,0,0,22,168,8,5,1,3,-,0,,,3,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
16,TM Head,BC Fortuin,MR Marsh,1,0,1,23,167,9,6,1,4,-,0,,,3,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
17,MR Marsh,BC Fortuin,TM Head,1,0,1,24,166,14,11,1,5,-,0,,,3,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
18,TM Head,BC Fortuin,MR Marsh,1,0,1,25,165,10,7,1,6,-,0,,,3,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
19,TM Head,L Ngidi,MR Marsh,0,0,0,25,165,10,8,1,1,-,0,,,4,,bat,South Africa,2,"Kingsmead, Durban",2023,09,South Africa_Australia_2023-09-03,Australia,Australia,South Africa,191
