,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,PR Stirling,SS Cottrell,KJ O'Brien,1,0,1,1,,1,1,0,1,0,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
1,KJ O'Brien,SS Cottrell,PR Stirling,0,0,0,1,,0,1,0,2,0,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
2,KJ O'Brien,SS Cottrell,PR Stirling,0,0,0,1,,0,2,0,3,0,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
3,KJ O'Brien,SS Cottrell,PR Stirling,0,0,0,1,,0,3,0,4,0,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
4,KJ O'Brien,SS Cottrell,PR Stirling,0,0,0,1,,0,4,0,5,0,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
5,KJ O'Brien,SS Cottrell,PR Stirling,0,0,0,1,,0,5,0,6,0,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
6,PR Stirling,R Shepherd,KJ O'Brien,0,0,0,1,,1,2,0,1,1,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
7,PR Stirling,R Shepherd,KJ O'Brien,1,0,1,2,,2,3,0,2,1,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
8,KJ O'Brien,R Shepherd,PR Stirling,4,0,4,6,,4,6,0,3,1,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
9,KJ O'Brien,R Shepherd,PR Stirling,0,0,0,6,,4,7,1,4,1,caught,KJ O'Brien,SO Hetmyer,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
10,PR Stirling,R Shepherd,A Balbirnie,0,0,0,6,,2,4,1,5,1,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
11,PR Stirling,R Shepherd,A Balbirnie,6,0,6,12,,8,5,1,6,1,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
12,A Balbirnie,SS Cottrell,PR Stirling,0,0,0,12,,0,1,1,1,2,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
13,A Balbirnie,SS Cottrell,PR Stirling,1,0,1,13,,1,2,1,2,2,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
14,PR Stirling,SS Cottrell,A Balbirnie,0,0,0,13,,8,6,1,3,2,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
15,PR Stirling,SS Cottrell,A Balbirnie,0,0,0,13,,8,7,1,4,2,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
16,PR Stirling,SS Cottrell,A Balbirnie,0,1,1,14,,8,8,1,5,2,0,,,legbyes,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
17,A Balbirnie,SS Cottrell,PR Stirling,0,0,0,14,,1,3,1,6,2,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
18,PR Stirling,R Shepherd,A Balbirnie,0,0,0,14,,8,9,1,1,3,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
19,PR Stirling,R Shepherd,A Balbirnie,4,0,4,18,,12,10,1,2,3,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
20,PR Stirling,R Shepherd,A Balbirnie,4,0,4,22,,16,11,1,3,3,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
21,PR Stirling,R Shepherd,A Balbirnie,0,0,0,22,,16,12,1,4,3,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
22,PR Stirling,R Shepherd,A Balbirnie,0,0,0,22,,16,13,1,5,3,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
23,PR Stirling,R Shepherd,A Balbirnie,1,0,1,23,,17,14,1,6,3,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
24,PR Stirling,SS Cottrell,A Balbirnie,0,0,0,23,,17,15,2,1,4,caught,PR Stirling,SO Hetmyer,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
25,A Balbirnie,SS Cottrell,GJ Delany,0,0,0,23,,1,4,2,2,4,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
26,A Balbirnie,SS Cottrell,GJ Delany,0,0,0,23,,1,5,2,3,4,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
27,A Balbirnie,SS Cottrell,GJ Delany,4,0,4,27,,5,6,2,4,4,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
28,A Balbirnie,SS Cottrell,GJ Delany,0,0,0,27,,5,7,2,5,4,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
29,A Balbirnie,SS Cottrell,GJ Delany,1,0,1,28,,6,8,2,6,4,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
30,A Balbirnie,K Pierre,GJ Delany,1,0,1,29,,7,9,2,1,5,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
31,GJ Delany,K Pierre,A Balbirnie,1,0,1,30,,1,1,2,2,5,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
32,A Balbirnie,K Pierre,GJ Delany,4,0,4,34,,11,10,2,3,5,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
33,A Balbirnie,K Pierre,GJ Delany,4,0,4,38,,15,11,2,4,5,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
34,A Balbirnie,K Pierre,GJ Delany,2,0,2,40,,17,12,2,5,5,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
35,A Balbirnie,K Pierre,GJ Delany,0,0,0,40,,17,13,2,6,5,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
36,GJ Delany,HR Walsh,A Balbirnie,1,0,1,41,,2,2,2,1,6,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
37,A Balbirnie,HR Walsh,GJ Delany,1,0,1,42,,18,14,2,2,6,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
38,GJ Delany,HR Walsh,A Balbirnie,4,0,4,46,,6,3,2,3,6,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
39,GJ Delany,HR Walsh,A Balbirnie,1,0,1,47,,7,4,2,4,6,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
40,A Balbirnie,HR Walsh,GJ Delany,0,0,0,47,,18,15,2,5,6,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
41,A Balbirnie,HR Walsh,GJ Delany,0,0,0,47,,18,16,2,6,6,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
42,GJ Delany,K Pierre,A Balbirnie,1,0,1,48,,8,5,2,1,7,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
43,A Balbirnie,K Pierre,GJ Delany,1,0,1,49,,19,17,2,2,7,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
44,GJ Delany,K Pierre,A Balbirnie,0,0,0,49,,8,6,2,3,7,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
45,GJ Delany,K Pierre,A Balbirnie,0,0,0,49,,8,7,2,4,7,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
46,GJ Delany,K Pierre,A Balbirnie,6,0,6,55,,14,8,2,5,7,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
47,GJ Delany,K Pierre,A Balbirnie,1,0,1,56,,15,9,2,6,7,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
48,GJ Delany,DJ Bravo,A Balbirnie,1,0,1,57,,16,10,2,1,8,0,,,-,,field,West Indies,1,"Warner Park, St Kitts",2020,01,West Indies_Ireland_2020-01-18,no result,Ireland,West Indies,,147
