,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,BA King,HH Pandya,KR Mayers,0,0,0,0,152,0,1,1,1,caught,BA King,SA Yadav,1,,-,bat,India,2,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,West Indies,India,155
1,J Charles,HH Pandya,KR Mayers,2,0,2,2,150,2,1,1,2,0,,,1,,-,bat,India,2,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,West Indies,India,155
2,J Charles,HH Pandya,KR Mayers,0,0,0,2,150,2,2,1,3,0,,,1,,-,bat,India,2,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,West Indies,India,155
3,J Charles,HH Pandya,KR Mayers,0,0,0,2,150,2,3,2,4,caught,J Charles,Tilak Varma,1,,-,bat,India,2,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,West Indies,India,155
4,N Pooran,HH Pandya,KR Mayers,0,0,0,2,150,0,1,2,5,0,,,1,,-,bat,India,2,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,West Indies,India,155
5,N Pooran,HH Pandya,KR Mayers,0,0,0,2,150,0,2,2,6,0,,,1,,-,bat,India,2,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,West Indies,India,155
6,KR Mayers,Arshdeep Singh,N Pooran,1,0,1,3,149,1,1,2,1,0,,,2,,-,bat,India,2,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,West Indies,India,155
7,N Pooran,Arshdeep Singh,KR Mayers,0,0,0,3,149,0,3,2,2,0,,,2,"{'by': 'West Indies', 'umpire': 'N Duguid', 'batter': 'N Pooran', 'decision': 'upheld', 'type': 'wicket'}",-,bat,India,2,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,West Indies,India,155
8,N Pooran,Arshdeep Singh,KR Mayers,0,0,0,3,149,0,4,2,3,0,,,2,,-,bat,India,2,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,West Indies,India,155
9,N Pooran,Arshdeep Singh,KR Mayers,1,0,1,4,148,1,5,2,4,0,,,2,,-,bat,India,2,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,West Indies,India,155
10,KR Mayers,Arshdeep Singh,N Pooran,0,0,0,4,148,1,2,2,5,0,,,2,,-,bat,India,2,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,West Indies,India,155
11,KR Mayers,Arshdeep Singh,N Pooran,0,0,0,4,148,1,3,2,6,0,,,2,,-,bat,India,2,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,West Indies,India,155
12,N Pooran,HH Pandya,KR Mayers,6,0,6,10,142,7,6,2,1,0,,,3,,-,bat,India,2,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,West Indies,India,155
13,N Pooran,HH Pandya,KR Mayers,0,0,0,10,142,7,7,2,2,0,,,3,,-,bat,India,2,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,West Indies,India,155
14,N Pooran,HH Pandya,KR Mayers,2,0,2,12,140,9,8,2,3,0,,,3,,-,bat,India,2,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,West Indies,India,155
15,N Pooran,HH Pandya,KR Mayers,4,0,4,16,136,13,9,2,4,0,,,3,,-,bat,India,2,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,West Indies,India,155
16,N Pooran,HH Pandya,KR Mayers,1,0,1,17,135,14,10,2,5,0,,,3,,-,bat,India,2,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,West Indies,India,155
17,KR Mayers,HH Pandya,N Pooran,4,0,4,21,131,5,4,2,6,0,,,3,,-,bat,India,2,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,West Indies,India,155
18,N Pooran,Arshdeep Singh,KR Mayers,1,0,1,22,130,15,11,2,1,0,,,4,,-,bat,India,2,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,West Indies,India,155
19,KR Mayers,Arshdeep Singh,N Pooran,4,0,4,26,126,9,5,2,2,0,,,4,,-,bat,India,2,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,West Indies,India,155
20,KR Mayers,Arshdeep Singh,N Pooran,6,0,6,32,120,15,6,2,3,0,,,4,,-,bat,India,2,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,West Indies,India,155
21,KR Mayers,Arshdeep Singh,N Pooran,0,0,0,32,120,15,7,3,4,lbw,KR Mayers,,4,"{'by': 'West Indies', 'umpire': 'N Duguid', 'batter': 'KR Mayers', 'decision': 'struck down', 'type': 'wicket', 'umpires_call': True}",-,bat,India,2,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,West Indies,India,155
22,R Powell,Arshdeep Singh,N Pooran,0,0,0,32,120,0,1,3,5,0,,,4,,-,bat,India,2,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,West Indies,India,155
23,R Powell,Arshdeep Singh,N Pooran,1,0,1,33,119,1,2,3,6,0,,,4,,-,bat,India,2,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,West Indies,India,155
24,R Powell,Mukesh Kumar,N Pooran,1,0,1,34,118,2,3,3,1,0,,,5,,-,bat,India,2,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,West Indies,India,155
25,N Pooran,Mukesh Kumar,R Powell,0,0,0,34,118,15,12,3,2,0,,,5,,-,bat,India,2,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,West Indies,India,155
26,N Pooran,Mukesh Kumar,R Powell,0,0,0,34,118,15,13,3,3,0,,,5,,-,bat,India,2,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,West Indies,India,155
27,N Pooran,Mukesh Kumar,R Powell,4,0,4,38,114,19,14,3,4,0,,,5,,-,bat,India,2,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,West Indies,India,155
28,N Pooran,Mukesh Kumar,R Powell,4,0,4,42,110,23,15,3,5,0,,,5,,-,bat,India,2,"Providence Stadium, Guyana",2023,08,India_West Indies_2023-08-06,West Indies,West Indies,India,155
