,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,PD Salt,Nasum Ahmed,JC Buttler,1,0,1,1,233,1,1,0,1,-,1,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
1,JC Buttler,Nasum Ahmed,PD Salt,1,0,1,2,232,1,1,0,2,-,1,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
2,PD Salt,Nasum Ahmed,JC Buttler,0,2,2,4,230,1,2,0,3,byes,1,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
3,PD Salt,Nasum Ahmed,JC Buttler,1,0,1,5,229,2,3,0,4,-,1,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
4,JC Buttler,Nasum Ahmed,PD Salt,0,0,0,5,229,1,2,0,5,-,1,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
5,JC Buttler,Nasum Ahmed,PD Salt,4,0,4,9,225,5,3,0,6,-,1,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
6,PD Salt,Taskin Ahmed,JC Buttler,4,0,4,13,221,6,4,0,1,-,2,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
7,PD Salt,Taskin Ahmed,JC Buttler,0,2,2,15,219,6,5,0,2,legbyes,2,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
8,PD Salt,Taskin Ahmed,JC Buttler,1,0,1,16,218,7,6,0,3,-,2,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
9,JC Buttler,Taskin Ahmed,PD Salt,0,0,0,16,218,5,4,0,4,-,2,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
10,JC Buttler,Taskin Ahmed,PD Salt,1,0,1,17,217,6,5,0,5,-,2,,0,,,field,Bangladesh,1,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,England_Bangladesh_2023-03-09,Bangladesh,England,Bangladesh
