,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,BKG Mendis,AF Milne,KIC Asalanka,1,0,1,1,195,1,1,0,1,-,1,0,field,New Zealand,4,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,Sri Lanka,Sri Lanka,12
1,KIC Asalanka,AF Milne,BKG Mendis,6,0,6,7,189,6,1,0,2,-,1,0,field,New Zealand,4,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,Sri Lanka,Sri Lanka,12
2,KIC Asalanka,AF Milne,BKG Mendis,4,1,5,12,184,10,2,0,3,noballs,1,0,field,New Zealand,4,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,Sri Lanka,Sri Lanka,12
