,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,YBK Jaiswal,AJ Hosein,Shubman Gill,0,0,0,0,,0,1,0,1,0,,,0,-,,bat,India,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,India,West Indies,False,165
1,YBK Jaiswal,AJ Hosein,Shubman Gill,4,0,4,4,,4,2,0,2,0,,,0,-,,bat,India,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,India,West Indies,False,165
2,YBK Jaiswal,AJ Hosein,Shubman Gill,1,0,1,5,,5,3,0,3,0,,,0,-,,bat,India,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,India,West Indies,False,165
3,Shubman Gill,AJ Hosein,YBK Jaiswal,1,0,1,6,,1,1,0,4,0,,,0,-,,bat,India,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,India,West Indies,False,165
4,YBK Jaiswal,AJ Hosein,Shubman Gill,0,0,0,6,,5,4,1,5,caught and bowled,YBK Jaiswal,,0,-,,bat,India,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,India,West Indies,False,165
5,SA Yadav,AJ Hosein,Shubman Gill,0,0,0,6,,0,1,1,6,0,,,0,-,,bat,India,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,India,West Indies,False,165
6,Shubman Gill,KR Mayers,SA Yadav,1,0,1,7,,2,2,1,1,0,,,1,-,,bat,India,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,India,West Indies,False,165
7,SA Yadav,KR Mayers,Shubman Gill,1,0,1,8,,1,2,1,2,0,,,1,-,,bat,India,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,India,West Indies,False,165
8,Shubman Gill,KR Mayers,SA Yadav,1,0,1,9,,3,3,1,3,0,,,1,-,,bat,India,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,India,West Indies,False,165
9,SA Yadav,KR Mayers,Shubman Gill,1,0,1,10,,2,3,1,4,0,,,1,-,,bat,India,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,India,West Indies,False,165
10,Shubman Gill,KR Mayers,SA Yadav,0,0,0,10,,3,4,1,5,0,,,1,-,,bat,India,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,India,West Indies,False,165
11,Shubman Gill,KR Mayers,SA Yadav,0,0,0,10,,3,5,1,6,0,,,1,-,,bat,India,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,India,West Indies,False,165
12,SA Yadav,AJ Hosein,Shubman Gill,1,0,1,11,,3,4,1,1,0,,,2,-,,bat,India,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,India,West Indies,False,165
13,Shubman Gill,AJ Hosein,SA Yadav,2,0,2,13,,5,6,1,2,0,,,2,-,,bat,India,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,India,West Indies,False,165
14,Shubman Gill,AJ Hosein,SA Yadav,4,0,4,17,,9,7,1,3,0,,,2,-,,bat,India,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,India,West Indies,False,165
15,Shubman Gill,AJ Hosein,SA Yadav,0,0,0,17,,9,8,1,4,0,,,2,-,,bat,India,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,India,West Indies,False,165
16,Shubman Gill,AJ Hosein,SA Yadav,0,0,0,17,,9,9,2,5,lbw,Shubman Gill,,2,-,,bat,India,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,India,West Indies,False,165
17,Tilak Varma,AJ Hosein,SA Yadav,0,0,0,17,,0,1,2,6,0,,,2,-,,bat,India,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,India,West Indies,False,165
