,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
31,PR Stirling,LH Ferguson,A Balbirnie,1,0,1,38,25,21,2,6,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
32,A Balbirnie,LH Ferguson,PR Stirling,0,0,0,38,12,12,3,6,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
33,A Balbirnie,LH Ferguson,PR Stirling,0,0,0,38,12,13,4,6,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
34,A Balbirnie,LH Ferguson,PR Stirling,0,0,0,38,12,14,5,6,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
35,A Balbirnie,LH Ferguson,PR Stirling,1,0,1,39,13,15,6,6,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
36,A Balbirnie,MJ Santner,PR Stirling,1,0,1,40,14,16,1,7,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
37,PR Stirling,MJ Santner,A Balbirnie,4,0,4,44,29,22,2,7,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
38,PR Stirling,MJ Santner,A Balbirnie,6,0,6,50,35,23,3,7,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
39,PR Stirling,MJ Santner,A Balbirnie,1,0,1,51,36,24,4,7,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
40,A Balbirnie,MJ Santner,PR Stirling,0,0,0,51,14,17,5,7,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
41,A Balbirnie,MJ Santner,PR Stirling,1,0,1,52,15,18,6,7,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
42,A Balbirnie,IS Sodhi,PR Stirling,0,1,1,53,15,19,1,8,,wides,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
43,A Balbirnie,IS Sodhi,PR Stirling,6,0,6,59,21,20,2,8,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
44,A Balbirnie,IS Sodhi,PR Stirling,0,0,0,59,21,21,3,8,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
45,A Balbirnie,IS Sodhi,PR Stirling,2,0,2,61,23,22,4,8,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
46,A Balbirnie,IS Sodhi,PR Stirling,0,0,0,61,23,23,5,8,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
47,A Balbirnie,IS Sodhi,PR Stirling,6,0,6,67,29,24,6,8,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
48,A Balbirnie,IS Sodhi,PR Stirling,1,0,1,68,30,25,7,8,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
49,A Balbirnie,MJ Santner,PR Stirling,0,0,0,68,30,26,1,9,,-,bowled,A Balbirnie,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
