,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,JJ Roy,DW Steyn,JC Buttler,1,0,1,1,176,1,1,0,1,1,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
1,JC Buttler,DW Steyn,JJ Roy,1,0,1,2,175,1,1,0,2,1,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
2,JJ Roy,DW Steyn,JC Buttler,1,0,1,3,174,2,2,0,3,1,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
3,JC Buttler,DW Steyn,JJ Roy,4,0,4,7,170,5,2,0,4,1,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
4,JC Buttler,DW Steyn,JJ Roy,4,0,4,11,166,9,3,0,5,1,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
5,JC Buttler,DW Steyn,JJ Roy,0,0,0,11,166,9,4,0,6,1,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
6,JJ Roy,L Ngidi,JC Buttler,1,0,1,12,165,3,3,0,1,2,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
7,JC Buttler,L Ngidi,JJ Roy,0,0,0,12,165,9,5,0,2,2,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
8,JC Buttler,L Ngidi,JJ Roy,0,0,0,12,165,9,6,0,3,2,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
9,JC Buttler,L Ngidi,JJ Roy,0,0,0,12,165,9,7,0,4,2,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
10,JC Buttler,L Ngidi,JJ Roy,2,0,2,14,163,11,8,0,5,2,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
11,JC Buttler,L Ngidi,JJ Roy,4,0,4,18,159,15,9,0,6,2,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
12,JJ Roy,DW Steyn,JC Buttler,1,0,1,19,158,4,4,0,1,3,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
13,JC Buttler,DW Steyn,JJ Roy,0,0,0,19,158,15,10,1,2,3,caught,JC Buttler,DA Miller,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
14,JM Bairstow,DW Steyn,JJ Roy,0,0,0,19,158,0,1,1,3,3,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
15,JM Bairstow,DW Steyn,JJ Roy,0,0,0,19,158,0,2,1,4,3,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
16,JM Bairstow,DW Steyn,JJ Roy,0,0,0,19,158,0,3,1,5,3,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
17,JM Bairstow,DW Steyn,JJ Roy,4,0,4,23,154,4,4,1,6,3,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
18,JJ Roy,JT Smuts,JM Bairstow,0,0,0,23,154,4,5,1,1,4,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
19,JJ Roy,JT Smuts,JM Bairstow,6,0,6,29,148,10,6,1,2,4,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
20,JJ Roy,JT Smuts,JM Bairstow,4,0,4,33,144,14,7,1,3,4,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
21,JJ Roy,JT Smuts,JM Bairstow,6,0,6,39,138,20,8,1,4,4,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
22,JJ Roy,JT Smuts,JM Bairstow,4,0,4,43,134,24,9,1,5,4,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
23,JJ Roy,JT Smuts,JM Bairstow,2,0,2,45,132,26,10,1,6,4,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
24,JM Bairstow,DW Steyn,JJ Roy,4,0,4,49,128,8,5,1,1,5,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
25,JM Bairstow,DW Steyn,JJ Roy,4,0,4,53,124,12,6,1,2,5,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
26,JM Bairstow,DW Steyn,JJ Roy,0,0,0,53,124,12,7,1,3,5,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
27,JM Bairstow,DW Steyn,JJ Roy,0,0,0,53,124,12,8,1,4,5,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
28,JM Bairstow,DW Steyn,JJ Roy,1,0,1,54,123,13,9,1,5,5,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
29,JJ Roy,DW Steyn,JM Bairstow,1,0,1,55,122,27,11,1,6,5,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
30,JJ Roy,L Ngidi,JM Bairstow,6,0,6,61,116,33,12,1,1,6,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
31,JJ Roy,L Ngidi,JM Bairstow,0,0,0,61,116,33,13,1,2,6,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
32,JJ Roy,L Ngidi,JM Bairstow,4,0,4,65,112,37,14,1,3,6,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
33,JJ Roy,L Ngidi,JM Bairstow,1,0,1,66,111,38,15,1,4,6,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
34,JM Bairstow,L Ngidi,JJ Roy,1,0,1,67,110,14,10,1,5,6,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
35,JJ Roy,L Ngidi,JM Bairstow,1,0,1,68,109,39,16,1,6,6,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
36,JJ Roy,AL Phehlukwayo,JM Bairstow,1,0,1,69,108,40,17,1,1,7,0,,,-,,field,England,2,Buffalo Park,2020,02,South Africa_England_2020-02-12,South Africa,England,South Africa,176
