,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,JC Buttler,TA Boult,AD Hales,0,0,0,0,144,0,1,0,1,1,-,0,,,,bat,England,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,England_New Zealand_2022-11-01,England,England,New Zealand,179
1,JC Buttler,TA Boult,AD Hales,3,0,3,3,141,3,2,0,2,1,-,0,,,,bat,England,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,England_New Zealand_2022-11-01,England,England,New Zealand,179
2,AD Hales,TA Boult,JC Buttler,0,0,0,3,141,0,1,0,3,1,-,0,,,,bat,England,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,England_New Zealand_2022-11-01,England,England,New Zealand,179
3,AD Hales,TA Boult,JC Buttler,0,0,0,3,141,0,2,0,4,1,-,0,,,,bat,England,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,England_New Zealand_2022-11-01,England,England,New Zealand,179
4,AD Hales,TA Boult,JC Buttler,4,0,4,7,137,4,3,0,5,1,-,0,,,,bat,England,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,England_New Zealand_2022-11-01,England,England,New Zealand,179
5,AD Hales,TA Boult,JC Buttler,2,0,2,9,135,6,4,0,6,1,-,0,,,,bat,England,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,England_New Zealand_2022-11-01,England,England,New Zealand,179
6,JC Buttler,TG Southee,AD Hales,1,0,1,10,134,4,3,0,1,2,-,0,,,,bat,England,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,England_New Zealand_2022-11-01,England,England,New Zealand,179
7,AD Hales,TG Southee,JC Buttler,0,0,0,10,134,6,5,0,2,2,-,0,,,,bat,England,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,England_New Zealand_2022-11-01,England,England,New Zealand,179
8,AD Hales,TG Southee,JC Buttler,0,0,0,10,134,6,6,0,3,2,-,0,,,,bat,England,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,England_New Zealand_2022-11-01,England,England,New Zealand,179
9,AD Hales,TG Southee,JC Buttler,4,0,4,14,130,10,7,0,4,2,-,0,,,,bat,England,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,England_New Zealand_2022-11-01,England,England,New Zealand,179
10,AD Hales,TG Southee,JC Buttler,2,0,2,16,128,12,8,0,5,2,-,0,,,,bat,England,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,England_New Zealand_2022-11-01,England,England,New Zealand,179
11,AD Hales,TG Southee,JC Buttler,0,0,0,16,128,12,9,0,6,2,-,0,,,,bat,England,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,England_New Zealand_2022-11-01,England,England,New Zealand,179
12,JC Buttler,TA Boult,AD Hales,0,0,0,16,128,4,4,0,1,3,-,0,,,,bat,England,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,England_New Zealand_2022-11-01,England,England,New Zealand,179
13,JC Buttler,TA Boult,AD Hales,0,0,0,16,128,4,5,0,2,3,-,0,,,,bat,England,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,England_New Zealand_2022-11-01,England,England,New Zealand,179
14,JC Buttler,TA Boult,AD Hales,1,0,1,17,127,5,6,0,3,3,-,0,,,,bat,England,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,England_New Zealand_2022-11-01,England,England,New Zealand,179
15,AD Hales,TA Boult,JC Buttler,0,0,0,17,127,12,10,0,4,3,-,0,,,,bat,England,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,England_New Zealand_2022-11-01,England,England,New Zealand,179
16,AD Hales,TA Boult,JC Buttler,0,0,0,17,127,12,11,0,5,3,-,0,,,,bat,England,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,England_New Zealand_2022-11-01,England,England,New Zealand,179
17,AD Hales,TA Boult,JC Buttler,4,0,4,21,123,16,12,0,6,3,-,0,,,,bat,England,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,England_New Zealand_2022-11-01,England,England,New Zealand,179
18,JC Buttler,MJ Santner,AD Hales,1,0,1,22,122,6,7,0,1,4,-,0,,,,bat,England,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,England_New Zealand_2022-11-01,England,England,New Zealand,179
19,AD Hales,MJ Santner,JC Buttler,0,0,0,22,122,16,13,0,2,4,-,0,,,,bat,England,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,England_New Zealand_2022-11-01,England,England,New Zealand,179
20,AD Hales,MJ Santner,JC Buttler,0,0,0,22,122,16,14,0,3,4,-,0,,,,bat,England,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,England_New Zealand_2022-11-01,England,England,New Zealand,179
21,AD Hales,MJ Santner,JC Buttler,0,0,0,22,122,16,15,0,4,4,-,0,,,,bat,England,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,England_New Zealand_2022-11-01,England,England,New Zealand,179
22,AD Hales,MJ Santner,JC Buttler,0,1,1,23,121,16,16,0,5,4,legbyes,0,,,,bat,England,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,England_New Zealand_2022-11-01,England,England,New Zealand,179
23,JC Buttler,MJ Santner,AD Hales,2,0,2,25,119,8,8,0,6,4,-,0,,,,bat,England,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,England_New Zealand_2022-11-01,England,England,New Zealand,179
24,AD Hales,TG Southee,JC Buttler,6,0,6,31,113,22,17,0,1,5,-,0,,,,bat,England,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,England_New Zealand_2022-11-01,England,England,New Zealand,179
25,AD Hales,TG Southee,JC Buttler,0,0,0,31,113,22,18,0,2,5,-,0,,,,bat,England,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,England_New Zealand_2022-11-01,England,England,New Zealand,179
26,AD Hales,TG Southee,JC Buttler,4,0,4,35,109,26,19,0,3,5,-,0,,,,bat,England,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,England_New Zealand_2022-11-01,England,England,New Zealand,179
27,AD Hales,TG Southee,JC Buttler,4,0,4,39,105,30,20,0,4,5,-,0,,,,bat,England,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,England_New Zealand_2022-11-01,England,England,New Zealand,179
