,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extras,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,Mohammad Naim,JA Duffy,Liton Das,4,0,4,4,4,1,1,1,,-,0,,,,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-10,Bangladesh,New Zealand
1,Mohammad Naim,JA Duffy,Liton Das,0,0,0,4,4,2,2,1,,-,0,,,,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-10,Bangladesh,New Zealand
2,Mohammad Naim,JA Duffy,Liton Das,0,0,0,4,4,3,3,1,,-,0,,,,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-10,Bangladesh,New Zealand
3,Mohammad Naim,JA Duffy,Liton Das,1,0,1,5,5,4,4,1,,-,0,,,,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-10,Bangladesh,New Zealand
4,Liton Das,JA Duffy,Mohammad Naim,1,0,1,6,1,1,5,1,,-,0,,,,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-10,Bangladesh,New Zealand
5,Mohammad Naim,JA Duffy,Liton Das,2,0,2,8,7,5,6,1,,-,0,,,,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-10,Bangladesh,New Zealand
6,Liton Das,AY Patel,Mohammad Naim,0,0,0,8,1,2,1,2,,-,0,,,,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-10,Bangladesh,New Zealand
7,Liton Das,AY Patel,Mohammad Naim,0,0,0,8,1,3,2,2,,-,0,,,,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-10,Bangladesh,New Zealand
8,Liton Das,AY Patel,Mohammad Naim,0,0,0,8,1,4,3,2,,-,0,,,,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-10,Bangladesh,New Zealand
9,Liton Das,AY Patel,Mohammad Naim,0,0,0,8,1,5,4,2,,-,0,,,,bat,New Zealand,2,"Shere Bangla National Stadium, Mirpur",2021-09-10,Bangladesh,New Zealand
