,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
107,Mahedi Hasan,NLTC Perera,Mustafizur Rahman,0,0,0,123,87,4,5,7,4,17,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
108,Mahedi Hasan,NLTC Perera,Mustafizur Rahman,0,0,0,123,87,4,6,7,5,17,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
109,Mahedi Hasan,NLTC Perera,Mustafizur Rahman,2,0,2,125,85,6,7,7,6,17,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
110,Mahedi Hasan,NLTC Perera,Mustafizur Rahman,4,0,4,129,81,10,8,7,7,17,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
111,Mustafizur Rahman,MD Shanaka,Mahedi Hasan,1,0,1,130,80,7,8,7,1,18,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
112,Mahedi Hasan,MD Shanaka,Mustafizur Rahman,1,0,1,131,79,11,9,7,2,18,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
113,Mustafizur Rahman,MD Shanaka,Mahedi Hasan,1,0,1,132,78,8,9,7,3,18,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
114,Mahedi Hasan,MD Shanaka,Mustafizur Rahman,0,0,0,132,78,11,10,7,4,18,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
115,Mahedi Hasan,MD Shanaka,Mustafizur Rahman,0,0,0,132,78,11,11,8,5,18,caught,Mahedi Hasan,I Udana,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
116,Abu Jayed,MD Shanaka,Mustafizur Rahman,0,0,0,132,78,0,1,8,6,18,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
117,Mustafizur Rahman,MD Gunathilaka,Abu Jayed,0,0,0,132,78,8,10,9,1,19,bowled,Mustafizur Rahman,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
118,Nazmul Islam,MD Gunathilaka,Abu Jayed,1,0,1,133,77,1,1,9,2,19,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
119,Abu Jayed,MD Gunathilaka,Nazmul Islam,2,0,2,135,75,2,2,9,3,19,0,,,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
120,Abu Jayed,MD Gunathilaka,Nazmul Islam,0,0,0,135,75,2,3,10,4,19,stumped,Abu Jayed,LD Chandimal,-,,field,Bangladesh,2,Sylhet International Cricket Stadium,2018,02,Sri Lanka_Bangladesh_2018-02-18,Sri Lanka,Bangladesh,Sri Lanka
