,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,RW Chakabva,K Rabada,CR Ervine,1,0,1,1,,1,1,0,-,1.0,0,,0,,,bat,Zimbabwe,1,"Bellerive Oval, Hobart",2022,10,Zimbabwe_South Africa_2022-10-24,no result,Zimbabwe,South Africa,,79,Right hand Bat,Left hand Bat,Right arm Fast
1,CR Ervine,K Rabada,RW Chakabva,0,0,0,1,,0,1,0,-,2.0,0,,0,,,bat,Zimbabwe,1,"Bellerive Oval, Hobart",2022,10,Zimbabwe_South Africa_2022-10-24,no result,Zimbabwe,South Africa,,79,Left hand Bat,Right hand Bat,Right arm Fast
2,CR Ervine,K Rabada,RW Chakabva,1,0,1,2,,1,2,0,-,3.0,0,,0,,,bat,Zimbabwe,1,"Bellerive Oval, Hobart",2022,10,Zimbabwe_South Africa_2022-10-24,no result,Zimbabwe,South Africa,,79,Left hand Bat,Right hand Bat,Right arm Fast
3,RW Chakabva,K Rabada,CR Ervine,1,0,1,3,,2,2,0,-,4.0,0,,0,,,bat,Zimbabwe,1,"Bellerive Oval, Hobart",2022,10,Zimbabwe_South Africa_2022-10-24,no result,Zimbabwe,South Africa,,79,Right hand Bat,Left hand Bat,Right arm Fast
4,CR Ervine,K Rabada,RW Chakabva,0,1,1,4,,1,3,0,legbyes,5.0,0,,0,,,bat,Zimbabwe,1,"Bellerive Oval, Hobart",2022,10,Zimbabwe_South Africa_2022-10-24,no result,Zimbabwe,South Africa,,79,Left hand Bat,Right hand Bat,Right arm Fast
5,RW Chakabva,K Rabada,CR Ervine,0,0,0,4,,2,3,0,-,6.0,0,,0,,,bat,Zimbabwe,1,"Bellerive Oval, Hobart",2022,10,Zimbabwe_South Africa_2022-10-24,no result,Zimbabwe,South Africa,,79,Right hand Bat,Left hand Bat,Right arm Fast
6,CR Ervine,WD Parnell,RW Chakabva,0,0,0,4,,1,4,0,-,1.0,1,,0,,,bat,Zimbabwe,1,"Bellerive Oval, Hobart",2022,10,Zimbabwe_South Africa_2022-10-24,no result,Zimbabwe,South Africa,,79,Left hand Bat,Right hand Bat,Left arm Medium
7,CR Ervine,WD Parnell,RW Chakabva,1,0,1,5,,2,5,0,-,2.0,1,,0,,,bat,Zimbabwe,1,"Bellerive Oval, Hobart",2022,10,Zimbabwe_South Africa_2022-10-24,no result,Zimbabwe,South Africa,,79,Left hand Bat,Right hand Bat,Left arm Medium
8,RW Chakabva,WD Parnell,CR Ervine,0,0,0,5,,2,4,0,-,3.0,1,,0,,,bat,Zimbabwe,1,"Bellerive Oval, Hobart",2022,10,Zimbabwe_South Africa_2022-10-24,no result,Zimbabwe,South Africa,,79,Right hand Bat,Left hand Bat,Left arm Medium
9,RW Chakabva,WD Parnell,CR Ervine,0,0,0,5,,2,5,0,-,4.0,1,"{'by': 'Zimbabwe', 'umpire': 'Ahsan Raza', 'batter': 'RW Chakabva', 'decision': 'upheld'}",0,,,bat,Zimbabwe,1,"Bellerive Oval, Hobart",2022,10,Zimbabwe_South Africa_2022-10-24,no result,Zimbabwe,South Africa,,79,Right hand Bat,Left hand Bat,Left arm Medium
