,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,DA Warner,C Karunaratne,AJ Finch,0,0,0,0,,0,1,0,1,0,-,0,,,,bat,Australia,1,Pallekele International Cricket Stadium,2022,06,Australia_Sri Lanka_2022-06-11,Sri Lanka,Australia,Sri Lanka,False,176
1,DA Warner,C Karunaratne,AJ Finch,0,0,0,0,,0,2,0,2,0,-,0,,,,bat,Australia,1,Pallekele International Cricket Stadium,2022,06,Australia_Sri Lanka_2022-06-11,Sri Lanka,Australia,Sri Lanka,False,176
2,DA Warner,C Karunaratne,AJ Finch,1,0,1,1,,1,3,0,3,0,-,0,,,,bat,Australia,1,Pallekele International Cricket Stadium,2022,06,Australia_Sri Lanka_2022-06-11,Sri Lanka,Australia,Sri Lanka,False,176
3,AJ Finch,C Karunaratne,DA Warner,1,0,1,2,,1,1,0,4,0,-,0,,,,bat,Australia,1,Pallekele International Cricket Stadium,2022,06,Australia_Sri Lanka_2022-06-11,Sri Lanka,Australia,Sri Lanka,False,176
4,DA Warner,C Karunaratne,AJ Finch,1,0,1,3,,2,4,0,5,0,-,0,,,,bat,Australia,1,Pallekele International Cricket Stadium,2022,06,Australia_Sri Lanka_2022-06-11,Sri Lanka,Australia,Sri Lanka,False,176
5,AJ Finch,C Karunaratne,DA Warner,1,0,1,4,,2,2,0,6,0,-,0,,,,bat,Australia,1,Pallekele International Cricket Stadium,2022,06,Australia_Sri Lanka_2022-06-11,Sri Lanka,Australia,Sri Lanka,False,176
6,AJ Finch,PVD Chameera,DA Warner,0,0,0,4,,2,3,0,1,1,-,0,,,,bat,Australia,1,Pallekele International Cricket Stadium,2022,06,Australia_Sri Lanka_2022-06-11,Sri Lanka,Australia,Sri Lanka,False,176
7,AJ Finch,PVD Chameera,DA Warner,4,0,4,8,,6,4,0,2,1,-,0,,,,bat,Australia,1,Pallekele International Cricket Stadium,2022,06,Australia_Sri Lanka_2022-06-11,Sri Lanka,Australia,Sri Lanka,False,176
8,AJ Finch,PVD Chameera,DA Warner,0,0,0,8,,6,5,0,3,1,-,0,,,,bat,Australia,1,Pallekele International Cricket Stadium,2022,06,Australia_Sri Lanka_2022-06-11,Sri Lanka,Australia,Sri Lanka,False,176
9,AJ Finch,PVD Chameera,DA Warner,0,0,0,8,,6,6,0,4,1,-,0,,,,bat,Australia,1,Pallekele International Cricket Stadium,2022,06,Australia_Sri Lanka_2022-06-11,Sri Lanka,Australia,Sri Lanka,False,176
