,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,BA King,HH Pandya,KR Mayers,0,0,0,0,0,1,1,1,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
1,BA King,HH Pandya,KR Mayers,0,0,0,0,0,2,2,1,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
2,BA King,HH Pandya,KR Mayers,1,0,1,1,1,3,3,1,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
3,KR Mayers,HH Pandya,BA King,0,0,0,1,0,1,4,1,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
4,KR Mayers,HH Pandya,BA King,2,0,2,3,2,2,5,1,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
5,KR Mayers,HH Pandya,BA King,0,0,0,3,2,3,6,1,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
6,BA King,Arshdeep Singh,KR Mayers,0,0,0,3,1,4,1,2,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
7,BA King,Arshdeep Singh,KR Mayers,0,1,1,4,1,5,2,2,wides,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
8,BA King,Arshdeep Singh,KR Mayers,0,0,0,4,1,6,3,2,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
9,BA King,Arshdeep Singh,KR Mayers,0,0,0,4,1,7,4,2,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
10,BA King,Arshdeep Singh,KR Mayers,4,0,4,8,5,8,5,2,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
11,BA King,Arshdeep Singh,KR Mayers,1,0,1,9,6,9,6,2,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
12,KR Mayers,Arshdeep Singh,BA King,0,0,0,9,2,4,7,2,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
13,BA King,AR Patel,KR Mayers,4,0,4,13,10,10,1,3,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
14,BA King,AR Patel,KR Mayers,0,0,0,13,10,11,2,3,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
15,BA King,AR Patel,KR Mayers,1,0,1,14,11,12,3,3,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
16,KR Mayers,AR Patel,BA King,4,0,4,18,6,5,4,3,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
17,KR Mayers,AR Patel,BA King,1,0,1,19,7,6,5,3,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
18,BA King,AR Patel,KR Mayers,0,0,0,19,11,13,6,3,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
19,KR Mayers,YS Chahal,BA King,6,0,6,25,13,7,1,4,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
20,KR Mayers,YS Chahal,BA King,1,0,1,26,14,8,2,4,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
21,BA King,YS Chahal,KR Mayers,4,0,4,30,15,14,3,4,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
22,BA King,YS Chahal,KR Mayers,0,0,0,30,15,15,4,4,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
23,BA King,YS Chahal,KR Mayers,0,0,0,30,15,16,5,4,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
24,BA King,YS Chahal,KR Mayers,0,0,0,30,15,17,6,4,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
25,KR Mayers,AR Patel,BA King,0,0,0,30,14,9,1,5,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
26,KR Mayers,AR Patel,BA King,0,0,0,30,14,10,2,5,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
27,KR Mayers,AR Patel,BA King,1,0,1,31,15,11,3,5,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
28,BA King,AR Patel,KR Mayers,0,0,0,31,15,18,4,5,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
29,BA King,AR Patel,KR Mayers,0,0,0,31,15,19,5,5,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
30,BA King,AR Patel,KR Mayers,1,0,1,32,16,20,6,5,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
31,BA King,YS Chahal,KR Mayers,4,0,4,36,20,21,1,6,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
32,BA King,YS Chahal,KR Mayers,1,0,1,37,21,22,2,6,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
33,KR Mayers,YS Chahal,BA King,0,0,0,37,15,12,3,6,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
34,KR Mayers,YS Chahal,BA King,0,0,0,37,15,13,4,6,-,0,,,,bat,West Indies,1,"Providence Stadium, Guyana",2023-08-08,India,West Indies,India
