,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,Liton Das,AD Mathews,Soumya Sarkar,0,0,0,0,206,0,1,0,1,-,0,,,1,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-04,Sri Lanka,Bangladesh,Sri Lanka,203
1,Liton Das,AD Mathews,Soumya Sarkar,0,0,0,0,206,0,2,0,2,-,0,,,1,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-04,Sri Lanka,Bangladesh,Sri Lanka,203
2,Liton Das,AD Mathews,Soumya Sarkar,0,0,0,0,206,0,3,1,3,-,caught,Liton Das,BKG Mendis,1,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-04,Sri Lanka,Bangladesh,Sri Lanka,203
3,Nazmul Hossain Shanto,AD Mathews,Soumya Sarkar,0,0,0,0,206,0,1,1,4,-,0,,,1,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-04,Sri Lanka,Bangladesh,Sri Lanka,203
4,Nazmul Hossain Shanto,AD Mathews,Soumya Sarkar,0,1,1,1,205,0,2,1,5,wides,0,,,1,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-04,Sri Lanka,Bangladesh,Sri Lanka,203
5,Nazmul Hossain Shanto,AD Mathews,Soumya Sarkar,1,0,1,2,204,1,3,1,6,-,0,,,1,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-04,Sri Lanka,Bangladesh,Sri Lanka,203
6,Soumya Sarkar,AD Mathews,Nazmul Hossain Shanto,1,0,1,3,203,1,1,1,7,-,0,,,1,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-04,Sri Lanka,Bangladesh,Sri Lanka,203
7,Soumya Sarkar,B Fernando,Nazmul Hossain Shanto,4,0,4,7,199,5,2,1,1,-,0,,,2,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-04,Sri Lanka,Bangladesh,Sri Lanka,203
8,Soumya Sarkar,B Fernando,Nazmul Hossain Shanto,0,1,1,8,198,5,3,1,2,legbyes,0,,,2,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-04,Sri Lanka,Bangladesh,Sri Lanka,203
9,Nazmul Hossain Shanto,B Fernando,Soumya Sarkar,1,0,1,9,197,2,4,1,3,-,0,,,2,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-04,Sri Lanka,Bangladesh,Sri Lanka,203
