,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,MS Wade,SS Cottrell,AJ Finch,4,0,4,4,4,1,1,1,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
1,MS Wade,SS Cottrell,AJ Finch,0,0,0,4,4,2,2,1,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
2,MS Wade,SS Cottrell,AJ Finch,0,0,0,4,4,3,3,1,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
3,MS Wade,SS Cottrell,AJ Finch,4,0,4,8,8,4,4,1,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
4,MS Wade,SS Cottrell,AJ Finch,1,0,1,9,9,5,5,1,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
5,AJ Finch,SS Cottrell,MS Wade,1,0,1,10,1,1,6,1,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
6,AJ Finch,AD Russell,MS Wade,1,0,1,11,2,2,1,2,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
7,MS Wade,AD Russell,AJ Finch,1,0,1,12,10,6,2,2,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
8,AJ Finch,AD Russell,MS Wade,1,0,1,13,3,3,3,2,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
9,MS Wade,AD Russell,AJ Finch,4,0,4,17,14,7,4,2,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
10,MS Wade,AD Russell,AJ Finch,0,0,0,17,14,8,5,2,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
11,MS Wade,AD Russell,AJ Finch,1,0,1,18,15,9,6,2,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
12,MS Wade,SS Cottrell,AJ Finch,4,0,4,22,19,10,1,3,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
13,MS Wade,SS Cottrell,AJ Finch,1,0,1,23,20,11,2,3,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
14,AJ Finch,SS Cottrell,MS Wade,2,0,2,25,5,4,3,3,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
15,AJ Finch,SS Cottrell,MS Wade,0,0,0,25,5,5,4,3,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
16,AJ Finch,SS Cottrell,MS Wade,0,0,0,25,5,6,5,3,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
17,AJ Finch,SS Cottrell,MS Wade,1,0,1,26,6,7,6,3,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
18,AJ Finch,AD Russell,MS Wade,0,0,0,26,6,8,1,4,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
19,AJ Finch,AD Russell,MS Wade,0,0,0,26,6,9,2,4,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
20,AJ Finch,AD Russell,MS Wade,0,1,1,27,6,10,3,4,wides,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
21,AJ Finch,AD Russell,MS Wade,2,0,2,29,8,11,4,4,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
22,AJ Finch,AD Russell,MS Wade,1,0,1,30,9,12,5,4,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
23,MS Wade,AD Russell,AJ Finch,0,1,1,31,20,12,6,4,wides,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
24,MS Wade,AD Russell,AJ Finch,0,0,0,31,20,13,7,4,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
25,MS Wade,AD Russell,AJ Finch,1,0,1,32,21,14,8,4,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
26,MS Wade,OC McCoy,AJ Finch,1,0,1,33,22,15,1,5,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
27,AJ Finch,OC McCoy,MS Wade,1,0,1,34,10,13,2,5,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
28,MS Wade,OC McCoy,AJ Finch,1,0,1,35,23,16,3,5,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
29,AJ Finch,OC McCoy,MS Wade,4,0,4,39,14,14,4,5,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
30,AJ Finch,OC McCoy,MS Wade,1,0,1,40,15,15,5,5,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
31,MS Wade,OC McCoy,AJ Finch,0,1,1,41,23,17,6,5,wides,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
32,MS Wade,OC McCoy,AJ Finch,0,0,0,41,23,18,7,5,-,bowled,MS Wade,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
33,AJ Finch,DJ Bravo,MR Marsh,0,0,0,41,15,16,1,6,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
34,AJ Finch,DJ Bravo,MR Marsh,1,0,1,42,16,17,2,6,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
35,MR Marsh,DJ Bravo,AJ Finch,0,1,1,43,0,1,3,6,wides,0,,,"{'by': 'West Indies', 'umpire': 'JS Wilson', 'batter': 'MR Marsh', 'decision': 'struck down'}",bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
36,MR Marsh,DJ Bravo,AJ Finch,0,0,0,43,0,2,4,6,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
37,MR Marsh,DJ Bravo,AJ Finch,0,0,0,43,0,3,5,6,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
38,MR Marsh,DJ Bravo,AJ Finch,1,0,1,44,1,4,6,6,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
39,AJ Finch,DJ Bravo,MR Marsh,1,0,1,45,17,18,7,6,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
40,AJ Finch,FA Allen,MR Marsh,1,0,1,46,18,19,1,7,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
41,MR Marsh,FA Allen,AJ Finch,0,0,0,46,1,5,2,7,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
42,MR Marsh,FA Allen,AJ Finch,1,0,1,47,2,6,3,7,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
43,AJ Finch,FA Allen,MR Marsh,1,0,1,48,19,20,4,7,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
44,MR Marsh,FA Allen,AJ Finch,0,0,0,48,2,7,5,7,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
45,MR Marsh,FA Allen,AJ Finch,4,0,4,52,6,8,6,7,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
46,AJ Finch,HR Walsh,MR Marsh,1,0,1,53,20,21,1,8,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
47,MR Marsh,HR Walsh,AJ Finch,1,0,1,54,7,9,2,8,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
48,AJ Finch,HR Walsh,MR Marsh,1,0,1,55,21,22,3,8,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
49,MR Marsh,HR Walsh,AJ Finch,0,0,0,55,7,10,4,8,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
50,MR Marsh,HR Walsh,AJ Finch,1,0,1,56,8,11,5,8,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
51,AJ Finch,HR Walsh,MR Marsh,0,0,0,56,21,23,6,8,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
52,MR Marsh,FA Allen,AJ Finch,1,0,1,57,9,12,1,9,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
53,AJ Finch,FA Allen,MR Marsh,1,0,1,58,22,24,2,9,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
54,MR Marsh,FA Allen,AJ Finch,0,0,0,58,9,13,3,9,-,lbw,MR Marsh,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
55,AT Carey,FA Allen,AJ Finch,4,0,4,62,4,1,4,9,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
56,AT Carey,FA Allen,AJ Finch,1,0,1,63,5,2,5,9,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
57,AJ Finch,FA Allen,AT Carey,0,0,0,63,22,25,6,9,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
58,AT Carey,CH Gayle,AJ Finch,1,0,1,64,6,3,1,10,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
59,AJ Finch,CH Gayle,AT Carey,0,0,0,64,22,26,2,10,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
60,AJ Finch,CH Gayle,AT Carey,2,0,2,66,24,27,3,10,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
61,AJ Finch,CH Gayle,AT Carey,4,0,4,70,28,28,4,10,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
62,AJ Finch,CH Gayle,AT Carey,1,0,1,71,29,29,5,10,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
63,AT Carey,CH Gayle,AJ Finch,1,0,1,72,7,4,6,10,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
64,AT Carey,FA Allen,AJ Finch,4,0,4,76,11,5,1,11,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
65,AT Carey,FA Allen,AJ Finch,0,0,0,76,11,6,2,11,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
66,AT Carey,FA Allen,AJ Finch,1,0,1,77,12,7,3,11,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
67,AJ Finch,FA Allen,AT Carey,1,0,1,78,30,30,4,11,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
68,AT Carey,FA Allen,AJ Finch,1,0,1,79,13,8,5,11,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
69,AJ Finch,FA Allen,AT Carey,0,0,0,79,30,31,6,11,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
70,AT Carey,HR Walsh,AJ Finch,0,0,0,79,13,9,1,12,-,caught,AT Carey,LMP Simmons,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
71,MC Henriques,HR Walsh,AJ Finch,0,0,0,79,0,1,2,12,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
72,MC Henriques,HR Walsh,AJ Finch,0,0,0,79,0,2,3,12,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
73,MC Henriques,HR Walsh,AJ Finch,1,0,1,80,1,3,4,12,-,0,,,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
74,AJ Finch,HR Walsh,MC Henriques,0,0,0,80,30,32,5,12,-,caught,AJ Finch,FA Allen,,bat,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12,Australia,West Indies
