,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,V Sibanda,Shuvagata Hom,H Masakadza,0,0,0,0,167,0,1,0,1,1,-,0,,,,bat,Bangladesh,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-17,Bangladesh,Zimbabwe,Bangladesh
1,V Sibanda,Shuvagata Hom,H Masakadza,1,0,1,1,166,1,2,0,2,1,-,0,,,,bat,Bangladesh,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-17,Bangladesh,Zimbabwe,Bangladesh
2,H Masakadza,Shuvagata Hom,V Sibanda,0,0,0,1,166,0,1,0,3,1,-,0,,,,bat,Bangladesh,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-17,Bangladesh,Zimbabwe,Bangladesh
3,H Masakadza,Shuvagata Hom,V Sibanda,0,0,0,1,166,0,2,0,4,1,-,0,,,,bat,Bangladesh,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-17,Bangladesh,Zimbabwe,Bangladesh
4,H Masakadza,Shuvagata Hom,V Sibanda,6,0,6,7,160,6,3,0,5,1,-,0,,,,bat,Bangladesh,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-17,Bangladesh,Zimbabwe,Bangladesh
5,H Masakadza,Shuvagata Hom,V Sibanda,0,0,0,7,160,6,4,0,6,1,-,0,,,,bat,Bangladesh,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-17,Bangladesh,Zimbabwe,Bangladesh
6,V Sibanda,Shakib Al Hasan,H Masakadza,1,0,1,8,159,2,3,0,1,2,-,0,,,,bat,Bangladesh,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-17,Bangladesh,Zimbabwe,Bangladesh
7,H Masakadza,Shakib Al Hasan,V Sibanda,0,0,0,8,159,6,5,0,2,2,-,0,,,,bat,Bangladesh,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-17,Bangladesh,Zimbabwe,Bangladesh
8,H Masakadza,Shakib Al Hasan,V Sibanda,4,0,4,12,155,10,6,0,3,2,-,0,,,,bat,Bangladesh,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-17,Bangladesh,Zimbabwe,Bangladesh
9,H Masakadza,Shakib Al Hasan,V Sibanda,0,1,1,13,154,10,7,0,4,2,legbyes,0,,,,bat,Bangladesh,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-17,Bangladesh,Zimbabwe,Bangladesh
10,V Sibanda,Shakib Al Hasan,H Masakadza,1,0,1,14,153,3,4,0,5,2,-,0,,,,bat,Bangladesh,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-17,Bangladesh,Zimbabwe,Bangladesh
11,H Masakadza,Shakib Al Hasan,V Sibanda,6,0,6,20,147,16,8,0,6,2,-,0,,,,bat,Bangladesh,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-17,Bangladesh,Zimbabwe,Bangladesh
12,V Sibanda,Al-Amin Hossain,H Masakadza,1,0,1,21,146,4,5,0,1,3,-,0,,,,bat,Bangladesh,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-17,Bangladesh,Zimbabwe,Bangladesh
13,H Masakadza,Al-Amin Hossain,V Sibanda,4,0,4,25,142,20,9,0,2,3,-,0,,,,bat,Bangladesh,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-17,Bangladesh,Zimbabwe,Bangladesh
14,H Masakadza,Al-Amin Hossain,V Sibanda,0,0,0,25,142,20,10,0,3,3,-,0,,,,bat,Bangladesh,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-17,Bangladesh,Zimbabwe,Bangladesh
15,H Masakadza,Al-Amin Hossain,V Sibanda,0,0,0,25,142,20,11,0,4,3,-,0,,,,bat,Bangladesh,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-17,Bangladesh,Zimbabwe,Bangladesh
16,H Masakadza,Al-Amin Hossain,V Sibanda,0,0,0,25,142,20,12,0,5,3,-,0,,,,bat,Bangladesh,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-17,Bangladesh,Zimbabwe,Bangladesh
17,H Masakadza,Al-Amin Hossain,V Sibanda,4,0,4,29,138,24,13,0,6,3,-,0,,,,bat,Bangladesh,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-17,Bangladesh,Zimbabwe,Bangladesh
18,V Sibanda,Mustafizur Rahman,H Masakadza,0,0,0,29,138,4,6,0,1,4,-,0,,,,bat,Bangladesh,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-17,Bangladesh,Zimbabwe,Bangladesh
19,V Sibanda,Mustafizur Rahman,H Masakadza,0,0,0,29,138,4,7,0,2,4,-,0,,,,bat,Bangladesh,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-17,Bangladesh,Zimbabwe,Bangladesh
20,V Sibanda,Mustafizur Rahman,H Masakadza,0,0,0,29,138,4,8,0,3,4,-,0,,,,bat,Bangladesh,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-17,Bangladesh,Zimbabwe,Bangladesh
