,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
22,JC Buttler,M Theekshana,DJ Malan,1,0,1,27,,16,14,1,-,5.0,3,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Offbreak
23,DJ Malan,M Theekshana,JC Buttler,0,1,1,28,,2,4,1,wides,5.0,3,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Offbreak
24,DJ Malan,M Theekshana,JC Buttler,0,1,1,29,,2,5,1,wides,5.0,3,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Offbreak
25,DJ Malan,M Theekshana,JC Buttler,0,0,0,29,,2,6,1,-,6.0,3,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Offbreak
26,JC Buttler,PVD Chameera,DJ Malan,0,0,0,29,,16,15,1,-,1.0,4,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Fast
27,JC Buttler,PVD Chameera,DJ Malan,1,0,1,30,,17,16,1,-,2.0,4,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Fast
28,DJ Malan,PVD Chameera,JC Buttler,4,0,4,34,,6,7,1,-,3.0,4,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Fast
29,DJ Malan,PVD Chameera,JC Buttler,0,0,0,34,,6,8,1,-,4.0,4,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Fast
30,DJ Malan,PVD Chameera,JC Buttler,0,0,0,34,,6,9,1,-,5.0,4,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Fast
31,DJ Malan,PVD Chameera,JC Buttler,0,0,0,34,,6,10,2,-,6.0,4,bowled,DJ Malan,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Fast
32,JC Buttler,PWH de Silva,JM Bairstow,1,0,1,35,,18,17,2,-,1.0,5,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Right hand Bat,Right arm Legbreak
33,JM Bairstow,PWH de Silva,JC Buttler,0,0,0,35,,0,1,3,-,2.0,5,lbw,JM Bairstow,,"{'by': 'Sri Lanka', 'umpire': 'AT Holdstock', 'batter': 'JM Bairstow', 'decision': 'upheld'}",field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Right hand Bat,,Right arm Legbreak
34,EJG Morgan,PWH de Silva,JC Buttler,0,0,0,35,,0,1,3,-,3.0,5,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Legbreak
35,EJG Morgan,PWH de Silva,JC Buttler,1,0,1,36,,1,2,3,-,4.0,5,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Legbreak
36,JC Buttler,PWH de Silva,EJG Morgan,0,0,0,36,,18,18,3,-,5.0,5,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Legbreak
37,JC Buttler,PWH de Silva,EJG Morgan,0,0,0,36,,18,19,3,-,6.0,5,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Legbreak
38,EJG Morgan,CBRLS Kumara,JC Buttler,0,0,0,36,,1,3,3,-,1.0,6,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Fast
39,EJG Morgan,CBRLS Kumara,JC Buttler,0,0,0,36,,1,4,3,-,2.0,6,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Fast
40,EJG Morgan,CBRLS Kumara,JC Buttler,0,0,0,36,,1,5,3,-,3.0,6,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Fast
41,EJG Morgan,CBRLS Kumara,JC Buttler,0,0,0,36,,1,6,3,-,4.0,6,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Fast
42,EJG Morgan,CBRLS Kumara,JC Buttler,1,0,1,37,,2,7,3,-,5.0,6,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Fast
43,JC Buttler,CBRLS Kumara,EJG Morgan,0,0,0,37,,18,20,3,-,6.0,6,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Fast
44,EJG Morgan,M Theekshana,JC Buttler,1,0,1,38,,3,8,3,-,1.0,7,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Offbreak
