,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,MJ Lumb,S Badree,AD Hales,1,0,1,1,1,1,1,1,0,,,-,bat,England,1,"Kensington Oval, Bridgetown",2014-03-11,England,West Indies
1,AD Hales,S Badree,MJ Lumb,0,0,0,1,0,1,2,1,0,,,-,bat,England,1,"Kensington Oval, Bridgetown",2014-03-11,England,West Indies
2,AD Hales,S Badree,MJ Lumb,4,0,4,5,4,2,3,1,0,,,-,bat,England,1,"Kensington Oval, Bridgetown",2014-03-11,England,West Indies
3,AD Hales,S Badree,MJ Lumb,0,0,0,5,4,3,4,1,0,,,-,bat,England,1,"Kensington Oval, Bridgetown",2014-03-11,England,West Indies
4,AD Hales,S Badree,MJ Lumb,1,0,1,6,5,4,5,1,0,,,-,bat,England,1,"Kensington Oval, Bridgetown",2014-03-11,England,West Indies
5,MJ Lumb,S Badree,AD Hales,2,0,2,8,3,2,6,1,0,,,-,bat,England,1,"Kensington Oval, Bridgetown",2014-03-11,England,West Indies
6,AD Hales,K Santokie,MJ Lumb,0,0,0,8,5,5,1,2,0,,,-,bat,England,1,"Kensington Oval, Bridgetown",2014-03-11,England,West Indies
7,AD Hales,K Santokie,MJ Lumb,2,0,2,10,7,6,2,2,0,,,-,bat,England,1,"Kensington Oval, Bridgetown",2014-03-11,England,West Indies
8,AD Hales,K Santokie,MJ Lumb,1,0,1,11,8,7,3,2,0,,,-,bat,England,1,"Kensington Oval, Bridgetown",2014-03-11,England,West Indies
9,MJ Lumb,K Santokie,AD Hales,1,0,1,12,4,3,4,2,0,,,-,bat,England,1,"Kensington Oval, Bridgetown",2014-03-11,England,West Indies
10,AD Hales,K Santokie,MJ Lumb,1,0,1,13,9,8,5,2,0,,,-,bat,England,1,"Kensington Oval, Bridgetown",2014-03-11,England,West Indies
11,MJ Lumb,K Santokie,AD Hales,0,0,0,13,4,4,6,2,lbw,MJ Lumb,,-,bat,England,1,"Kensington Oval, Bridgetown",2014-03-11,England,West Indies
12,AD Hales,S Badree,MM Ali,0,0,0,13,9,9,1,3,0,,,-,bat,England,1,"Kensington Oval, Bridgetown",2014-03-11,England,West Indies
13,AD Hales,S Badree,MM Ali,1,0,1,14,10,10,2,3,0,,,-,bat,England,1,"Kensington Oval, Bridgetown",2014-03-11,England,West Indies
14,MM Ali,S Badree,AD Hales,0,0,0,14,0,1,3,3,0,,,-,bat,England,1,"Kensington Oval, Bridgetown",2014-03-11,England,West Indies
15,MM Ali,S Badree,AD Hales,0,0,0,14,0,2,4,3,0,,,-,bat,England,1,"Kensington Oval, Bridgetown",2014-03-11,England,West Indies
16,MM Ali,S Badree,AD Hales,0,0,0,14,0,3,5,3,0,,,-,bat,England,1,"Kensington Oval, Bridgetown",2014-03-11,England,West Indies
17,MM Ali,S Badree,AD Hales,1,0,1,15,1,4,6,3,0,,,-,bat,England,1,"Kensington Oval, Bridgetown",2014-03-11,England,West Indies
18,MM Ali,K Santokie,AD Hales,0,2,2,17,1,5,1,4,0,,,legbyes,bat,England,1,"Kensington Oval, Bridgetown",2014-03-11,England,West Indies
19,MM Ali,K Santokie,AD Hales,4,0,4,21,5,6,2,4,0,,,-,bat,England,1,"Kensington Oval, Bridgetown",2014-03-11,England,West Indies
20,MM Ali,K Santokie,AD Hales,0,0,0,21,5,7,3,4,lbw,MM Ali,,-,bat,England,1,"Kensington Oval, Bridgetown",2014-03-11,England,West Indies
21,EJG Morgan,K Santokie,AD Hales,0,0,0,21,0,1,4,4,0,,,-,bat,England,1,"Kensington Oval, Bridgetown",2014-03-11,England,West Indies
22,EJG Morgan,K Santokie,AD Hales,0,0,0,21,0,2,5,4,0,,,-,bat,England,1,"Kensington Oval, Bridgetown",2014-03-11,England,West Indies
23,EJG Morgan,K Santokie,AD Hales,2,0,2,23,2,3,6,4,0,,,-,bat,England,1,"Kensington Oval, Bridgetown",2014-03-11,England,West Indies
24,AD Hales,S Badree,EJG Morgan,0,1,1,24,10,11,1,5,0,,,legbyes,bat,England,1,"Kensington Oval, Bridgetown",2014-03-11,England,West Indies
