,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,WIA Fernando,Shoriful Islam,BKG Mendis,4,0,4,4,,4,1,0,-,1.0,0,,,0,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-04,Sri Lanka,Sri Lanka,Bangladesh,True,206
1,WIA Fernando,Shoriful Islam,BKG Mendis,0,0,0,4,,4,2,1,-,2.0,caught,WIA Fernando,Liton Das,0,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-04,Sri Lanka,Sri Lanka,Bangladesh,True,206
2,PHKD Mendis,Shoriful Islam,BKG Mendis,0,0,0,4,,0,1,1,-,3.0,0,,,0,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-04,Sri Lanka,Sri Lanka,Bangladesh,True,206
3,PHKD Mendis,Shoriful Islam,BKG Mendis,0,0,0,4,,0,2,1,-,4.0,0,,,0,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-04,Sri Lanka,Sri Lanka,Bangladesh,True,206
4,PHKD Mendis,Shoriful Islam,BKG Mendis,0,0,0,4,,0,3,1,-,5.0,0,,,0,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-04,Sri Lanka,Sri Lanka,Bangladesh,True,206
5,PHKD Mendis,Shoriful Islam,BKG Mendis,0,0,0,4,,0,4,1,-,6.0,0,,,0,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-04,Sri Lanka,Sri Lanka,Bangladesh,True,206
6,BKG Mendis,Taskin Ahmed,PHKD Mendis,0,0,0,4,,0,1,1,-,1.0,0,,,1,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-04,Sri Lanka,Sri Lanka,Bangladesh,True,206
7,BKG Mendis,Taskin Ahmed,PHKD Mendis,1,0,1,5,,1,2,1,-,2.0,0,,,1,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-04,Sri Lanka,Sri Lanka,Bangladesh,True,206
8,PHKD Mendis,Taskin Ahmed,BKG Mendis,0,1,1,6,,0,5,1,wides,2.0,0,,,1,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-04,Sri Lanka,Sri Lanka,Bangladesh,True,206
9,PHKD Mendis,Taskin Ahmed,BKG Mendis,1,0,1,7,,1,6,1,-,3.0,0,,,1,,field,Bangladesh,1,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-04,Sri Lanka,Sri Lanka,Bangladesh,True,206
