,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
20,Liton Das,AF Milne,Nazmul Hossain Shanto,1,0,1,24,184,11,10,0,2,4,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
21,Nazmul Hossain Shanto,AF Milne,Liton Das,0,0,0,24,184,11,12,1,3,4,-,,bowled,Nazmul Hossain Shanto,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
22,Soumya Sarkar,AF Milne,Liton Das,0,0,0,24,184,0,1,1,4,4,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
23,Soumya Sarkar,AF Milne,Liton Das,0,1,1,25,183,0,2,1,5,4,legbyes,"{'by': 'New Zealand', 'umpire': 'AG Wharf', 'batter': 'Soumya Sarkar', 'decision': 'struck down'}",0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
24,Liton Das,AF Milne,Soumya Sarkar,4,0,4,29,179,15,11,1,6,4,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
25,Soumya Sarkar,TG Southee,Liton Das,2,0,2,31,177,2,3,1,1,5,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
26,Soumya Sarkar,TG Southee,Liton Das,1,0,1,32,176,3,4,1,2,5,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
27,Liton Das,TG Southee,Soumya Sarkar,0,0,0,32,176,15,12,1,3,5,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
28,Liton Das,TG Southee,Soumya Sarkar,6,0,6,38,170,21,13,1,4,5,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
29,Liton Das,TG Southee,Soumya Sarkar,0,4,4,42,166,21,14,1,5,5,legbyes,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
30,Liton Das,TG Southee,Soumya Sarkar,1,0,1,43,165,22,15,1,6,5,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
31,Liton Das,MG Bracewell,Soumya Sarkar,1,0,1,44,164,23,16,1,1,6,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
32,Soumya Sarkar,MG Bracewell,Liton Das,3,0,3,47,161,6,5,1,2,6,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
33,Liton Das,MG Bracewell,Soumya Sarkar,0,0,0,47,161,23,17,2,3,6,-,,caught,Liton Das,MJ Guptill,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
34,Shakib Al Hasan,MG Bracewell,Soumya Sarkar,4,0,4,51,157,4,1,2,4,6,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
35,Shakib Al Hasan,MG Bracewell,Soumya Sarkar,1,0,1,52,156,5,2,2,5,6,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
36,Soumya Sarkar,MG Bracewell,Shakib Al Hasan,0,0,0,52,156,6,6,2,6,6,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
37,Shakib Al Hasan,IS Sodhi,Soumya Sarkar,4,0,4,56,152,9,3,2,1,7,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
38,Shakib Al Hasan,IS Sodhi,Soumya Sarkar,1,0,1,57,151,10,4,2,2,7,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
39,Soumya Sarkar,IS Sodhi,Shakib Al Hasan,1,0,1,58,150,7,7,2,3,7,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
40,Shakib Al Hasan,IS Sodhi,Soumya Sarkar,1,0,1,59,149,11,5,2,4,7,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
41,Soumya Sarkar,IS Sodhi,Shakib Al Hasan,0,0,0,59,149,7,8,2,5,7,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
42,Soumya Sarkar,IS Sodhi,Shakib Al Hasan,0,0,0,59,149,7,9,2,6,7,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
43,Shakib Al Hasan,MG Bracewell,Soumya Sarkar,4,0,4,63,145,15,6,2,1,8,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
44,Shakib Al Hasan,MG Bracewell,Soumya Sarkar,1,0,1,64,144,16,7,2,2,8,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
45,Soumya Sarkar,MG Bracewell,Shakib Al Hasan,4,0,4,68,140,11,10,2,3,8,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
