,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
100,Mosaddek Hossain,AF Milne,Shakib Al Hasan,1,0,1,137,71,1,1,6,3,17,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
101,Shakib Al Hasan,AF Milne,Mosaddek Hossain,4,0,4,141,67,62,39,6,4,17,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
102,Shakib Al Hasan,AF Milne,Mosaddek Hossain,4,0,4,145,63,66,40,6,5,17,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
103,Shakib Al Hasan,AF Milne,Mosaddek Hossain,1,0,1,146,62,67,41,6,6,17,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
104,Shakib Al Hasan,TA Boult,Mosaddek Hossain,1,0,1,147,61,68,42,6,1,18,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
105,Mosaddek Hossain,TA Boult,Shakib Al Hasan,1,0,1,148,60,2,2,6,2,18,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
106,Shakib Al Hasan,TA Boult,Mosaddek Hossain,1,0,1,149,59,69,43,6,3,18,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
107,Mosaddek Hossain,TA Boult,Shakib Al Hasan,1,0,1,150,58,3,3,6,4,18,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
108,Shakib Al Hasan,TA Boult,Mosaddek Hossain,1,0,1,151,57,70,44,6,5,18,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
109,Mosaddek Hossain,TA Boult,Shakib Al Hasan,1,0,1,152,56,4,4,6,6,18,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
110,Mosaddek Hossain,TG Southee,Shakib Al Hasan,1,0,1,153,55,5,5,6,1,19,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
111,Shakib Al Hasan,TG Southee,Mosaddek Hossain,0,0,0,153,55,70,45,7,2,19,-,,caught,Shakib Al Hasan,DP Conway,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
112,Mohammad Saifuddin,TG Southee,Mosaddek Hossain,0,0,0,153,55,0,1,7,3,19,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
113,Mohammad Saifuddin,TG Southee,Mosaddek Hossain,1,0,1,154,54,1,2,7,4,19,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
114,Mosaddek Hossain,TG Southee,Mohammad Saifuddin,1,0,1,155,53,6,6,7,5,19,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
115,Mohammad Saifuddin,TG Southee,Mosaddek Hossain,0,0,0,155,53,1,3,7,6,19,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
116,Mosaddek Hossain,TA Boult,Mohammad Saifuddin,1,0,1,156,52,7,7,7,1,20,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
117,Mohammad Saifuddin,TA Boult,Mosaddek Hossain,1,0,1,157,51,2,4,7,2,20,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
118,Mosaddek Hossain,TA Boult,Mohammad Saifuddin,1,0,1,158,50,8,8,7,3,20,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
119,Mohammad Saifuddin,TA Boult,Mosaddek Hossain,1,0,1,159,49,3,5,7,4,20,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
120,Mosaddek Hossain,TA Boult,Mohammad Saifuddin,0,0,0,159,49,8,9,7,5,20,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
121,Mosaddek Hossain,TA Boult,Mohammad Saifuddin,1,0,1,160,48,9,10,7,6,20,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
