,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,MJ Guptill,RAS Lakmal,KS Williamson,0,0,0,0,135,0,1,0,1,1,0,,,-,field,Sri Lanka,1,Bay Oval,2016,01,New Zealand_Sri Lanka_2016-01-07,New Zealand,New Zealand,Sri Lanka,182
1,MJ Guptill,RAS Lakmal,KS Williamson,4,0,4,4,131,4,2,0,2,1,0,,,-,field,Sri Lanka,1,Bay Oval,2016,01,New Zealand_Sri Lanka_2016-01-07,New Zealand,New Zealand,Sri Lanka,182
2,MJ Guptill,RAS Lakmal,KS Williamson,0,0,0,4,131,4,3,0,3,1,0,,,-,field,Sri Lanka,1,Bay Oval,2016,01,New Zealand_Sri Lanka_2016-01-07,New Zealand,New Zealand,Sri Lanka,182
3,MJ Guptill,RAS Lakmal,KS Williamson,4,0,4,8,127,8,4,0,4,1,0,,,-,field,Sri Lanka,1,Bay Oval,2016,01,New Zealand_Sri Lanka_2016-01-07,New Zealand,New Zealand,Sri Lanka,182
4,MJ Guptill,RAS Lakmal,KS Williamson,0,0,0,8,127,8,5,0,5,1,0,,,-,field,Sri Lanka,1,Bay Oval,2016,01,New Zealand_Sri Lanka_2016-01-07,New Zealand,New Zealand,Sri Lanka,182
5,MJ Guptill,RAS Lakmal,KS Williamson,6,0,6,14,121,14,6,0,6,1,0,,,-,field,Sri Lanka,1,Bay Oval,2016,01,New Zealand_Sri Lanka_2016-01-07,New Zealand,New Zealand,Sri Lanka,182
6,KS Williamson,NLTC Perera,MJ Guptill,1,0,1,15,120,1,1,0,1,2,0,,,-,field,Sri Lanka,1,Bay Oval,2016,01,New Zealand_Sri Lanka_2016-01-07,New Zealand,New Zealand,Sri Lanka,182
7,MJ Guptill,NLTC Perera,KS Williamson,4,0,4,19,116,18,7,0,2,2,0,,,-,field,Sri Lanka,1,Bay Oval,2016,01,New Zealand_Sri Lanka_2016-01-07,New Zealand,New Zealand,Sri Lanka,182
8,MJ Guptill,NLTC Perera,KS Williamson,1,0,1,20,115,19,8,0,3,2,0,,,-,field,Sri Lanka,1,Bay Oval,2016,01,New Zealand_Sri Lanka_2016-01-07,New Zealand,New Zealand,Sri Lanka,182
9,KS Williamson,NLTC Perera,MJ Guptill,0,0,0,20,115,1,2,0,4,2,0,,,-,field,Sri Lanka,1,Bay Oval,2016,01,New Zealand_Sri Lanka_2016-01-07,New Zealand,New Zealand,Sri Lanka,182
10,KS Williamson,NLTC Perera,MJ Guptill,1,0,1,21,114,2,3,0,5,2,0,,,-,field,Sri Lanka,1,Bay Oval,2016,01,New Zealand_Sri Lanka_2016-01-07,New Zealand,New Zealand,Sri Lanka,182
11,MJ Guptill,NLTC Perera,KS Williamson,6,0,6,27,108,25,9,0,6,2,0,,,-,field,Sri Lanka,1,Bay Oval,2016,01,New Zealand_Sri Lanka_2016-01-07,New Zealand,New Zealand,Sri Lanka,182
12,KS Williamson,KMDN Kulasekara,MJ Guptill,1,0,1,28,107,3,4,0,1,3,0,,,-,field,Sri Lanka,1,Bay Oval,2016,01,New Zealand_Sri Lanka_2016-01-07,New Zealand,New Zealand,Sri Lanka,182
13,MJ Guptill,KMDN Kulasekara,KS Williamson,6,0,6,34,101,31,10,0,2,3,0,,,-,field,Sri Lanka,1,Bay Oval,2016,01,New Zealand_Sri Lanka_2016-01-07,New Zealand,New Zealand,Sri Lanka,182
14,MJ Guptill,KMDN Kulasekara,KS Williamson,1,0,1,35,100,32,11,0,3,3,0,,,-,field,Sri Lanka,1,Bay Oval,2016,01,New Zealand_Sri Lanka_2016-01-07,New Zealand,New Zealand,Sri Lanka,182
15,KS Williamson,KMDN Kulasekara,MJ Guptill,4,0,4,39,96,7,5,0,4,3,0,,,-,field,Sri Lanka,1,Bay Oval,2016,01,New Zealand_Sri Lanka_2016-01-07,New Zealand,New Zealand,Sri Lanka,182
