,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,E Lewis,GF Linde,ADS Fletcher,0,0,0,0,166,0,1,0,1,1,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
1,E Lewis,GF Linde,ADS Fletcher,6,0,6,6,160,6,2,0,2,1,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
2,E Lewis,GF Linde,ADS Fletcher,0,0,0,6,160,6,3,0,3,1,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
3,E Lewis,GF Linde,ADS Fletcher,0,0,0,6,160,6,4,0,4,1,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
4,E Lewis,GF Linde,ADS Fletcher,1,0,1,7,159,7,5,0,5,1,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
5,ADS Fletcher,GF Linde,E Lewis,0,0,0,7,159,0,1,0,6,1,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
6,E Lewis,L Ngidi,ADS Fletcher,0,1,1,8,158,7,6,0,1,2,noballs,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
7,E Lewis,L Ngidi,ADS Fletcher,0,0,0,8,158,7,7,0,2,2,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
8,E Lewis,L Ngidi,ADS Fletcher,0,1,1,9,157,7,8,0,3,2,wides,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
9,E Lewis,L Ngidi,ADS Fletcher,4,0,4,13,153,11,9,0,4,2,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
10,E Lewis,L Ngidi,ADS Fletcher,0,2,2,15,151,11,10,0,5,2,legbyes,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
11,E Lewis,L Ngidi,ADS Fletcher,4,0,4,19,147,15,11,0,6,2,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
12,E Lewis,L Ngidi,ADS Fletcher,0,0,0,19,147,15,12,0,7,2,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
13,E Lewis,L Ngidi,ADS Fletcher,1,0,1,20,146,16,13,0,8,2,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
14,E Lewis,K Rabada,ADS Fletcher,0,0,0,20,146,16,14,0,1,3,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
15,E Lewis,K Rabada,ADS Fletcher,1,0,1,21,145,17,15,0,2,3,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
16,ADS Fletcher,K Rabada,E Lewis,0,0,0,21,145,0,2,0,3,3,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
17,ADS Fletcher,K Rabada,E Lewis,6,0,6,27,139,6,3,0,4,3,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
18,ADS Fletcher,K Rabada,E Lewis,0,0,0,27,139,6,4,0,5,3,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
19,ADS Fletcher,K Rabada,E Lewis,0,0,0,27,139,6,5,0,6,3,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
20,E Lewis,A Nortje,ADS Fletcher,4,0,4,31,135,21,16,0,1,4,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
21,E Lewis,A Nortje,ADS Fletcher,0,0,0,31,135,21,17,1,2,4,-,bowled,E Lewis,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
22,CH Gayle,A Nortje,ADS Fletcher,2,0,2,33,133,2,1,1,3,4,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
23,CH Gayle,A Nortje,ADS Fletcher,0,0,0,33,133,2,2,1,4,4,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
24,CH Gayle,A Nortje,ADS Fletcher,4,0,4,37,129,6,3,1,5,4,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
25,CH Gayle,A Nortje,ADS Fletcher,1,0,1,38,128,7,4,1,6,4,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
26,CH Gayle,K Rabada,ADS Fletcher,1,0,1,39,127,8,5,1,1,5,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
27,ADS Fletcher,K Rabada,CH Gayle,1,0,1,40,126,7,6,1,2,5,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
28,CH Gayle,K Rabada,ADS Fletcher,0,0,0,40,126,8,6,2,3,5,-,caught,CH Gayle,GF Linde,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
29,N Pooran,K Rabada,ADS Fletcher,0,0,0,40,126,0,1,2,4,5,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
30,N Pooran,K Rabada,ADS Fletcher,1,0,1,41,125,1,2,2,5,5,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
31,ADS Fletcher,K Rabada,N Pooran,0,0,0,41,125,7,7,2,6,5,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
32,N Pooran,L Ngidi,ADS Fletcher,0,0,0,41,125,1,3,2,1,6,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
33,N Pooran,L Ngidi,ADS Fletcher,4,0,4,45,121,5,4,2,2,6,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
34,N Pooran,L Ngidi,ADS Fletcher,1,0,1,46,120,6,5,2,3,6,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
35,ADS Fletcher,L Ngidi,N Pooran,0,0,0,46,120,7,8,2,4,6,-,0,,,,field,West Indies,2,"National Cricket Stadium, St George's, Grenada",2021,06,South Africa_West Indies_2021-06-27,South Africa,West Indies,South Africa,150
