,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,SD Hope,UT Yadav,D Ramdin,0,0,0,0,166,0,1,0,1,1,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
1,SD Hope,UT Yadav,D Ramdin,4,0,4,4,162,4,2,0,2,1,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
2,SD Hope,UT Yadav,D Ramdin,0,0,0,4,162,4,3,0,3,1,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
3,SD Hope,UT Yadav,D Ramdin,0,0,0,4,162,4,4,0,4,1,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
4,SD Hope,UT Yadav,D Ramdin,4,0,4,8,158,8,5,0,5,1,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
5,SD Hope,UT Yadav,D Ramdin,0,0,0,8,158,8,6,0,6,1,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
6,D Ramdin,KK Ahmed,SD Hope,0,1,1,9,157,0,1,0,1,2,wides,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
7,D Ramdin,KK Ahmed,SD Hope,0,0,0,9,157,0,2,0,2,2,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
8,D Ramdin,KK Ahmed,SD Hope,1,0,1,10,156,1,3,0,3,2,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
9,SD Hope,KK Ahmed,D Ramdin,1,0,1,11,155,9,7,0,4,2,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
10,D Ramdin,KK Ahmed,SD Hope,0,0,0,11,155,1,4,0,5,2,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
11,D Ramdin,KK Ahmed,SD Hope,1,0,1,12,154,2,5,0,6,2,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
12,SD Hope,KK Ahmed,D Ramdin,4,0,4,16,150,13,8,0,7,2,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
13,D Ramdin,UT Yadav,SD Hope,0,0,0,16,150,2,6,1,1,3,-,caught,D Ramdin,KD Karthik,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
14,SO Hetmyer,UT Yadav,SD Hope,0,0,0,16,150,0,1,1,2,3,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
15,SO Hetmyer,UT Yadav,SD Hope,4,0,4,20,146,4,2,1,3,3,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
16,SO Hetmyer,UT Yadav,SD Hope,0,0,0,20,146,4,3,1,4,3,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
17,SO Hetmyer,UT Yadav,SD Hope,1,0,1,21,145,5,4,1,5,3,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
18,SD Hope,UT Yadav,SO Hetmyer,1,0,1,22,144,14,9,1,6,3,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
19,SD Hope,KK Ahmed,SO Hetmyer,0,0,0,22,144,14,10,2,1,4,-,run out,SD Hope,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
20,KA Pollard,KK Ahmed,SO Hetmyer,0,0,0,22,144,0,1,2,2,4,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
21,KA Pollard,KK Ahmed,SO Hetmyer,0,0,0,22,144,0,2,2,3,4,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
22,KA Pollard,KK Ahmed,SO Hetmyer,0,0,0,22,144,0,3,2,4,4,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
23,KA Pollard,KK Ahmed,SO Hetmyer,0,0,0,22,144,0,4,2,5,4,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
24,KA Pollard,KK Ahmed,SO Hetmyer,0,0,0,22,144,0,5,2,6,4,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
25,SO Hetmyer,JJ Bumrah,KA Pollard,1,0,1,23,143,6,5,2,1,5,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
26,KA Pollard,JJ Bumrah,SO Hetmyer,1,0,1,24,142,1,6,2,2,5,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
27,SO Hetmyer,JJ Bumrah,KA Pollard,4,0,4,28,138,10,6,2,3,5,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
28,SO Hetmyer,JJ Bumrah,KA Pollard,0,0,0,28,138,10,7,3,4,5,-,caught,SO Hetmyer,KD Karthik,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
29,KA Pollard,JJ Bumrah,DM Bravo,1,0,1,29,137,2,7,3,5,5,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
30,DM Bravo,JJ Bumrah,KA Pollard,0,0,0,29,137,0,1,3,6,5,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
31,KA Pollard,KK Ahmed,DM Bravo,2,0,2,31,135,4,8,3,1,6,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
32,KA Pollard,KK Ahmed,DM Bravo,0,0,0,31,135,4,9,3,2,6,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
33,KA Pollard,KK Ahmed,DM Bravo,0,0,0,31,135,4,10,3,3,6,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
34,KA Pollard,KK Ahmed,DM Bravo,0,0,0,31,135,4,11,3,4,6,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
35,KA Pollard,KK Ahmed,DM Bravo,0,0,0,31,135,4,12,3,5,6,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
36,KA Pollard,KK Ahmed,DM Bravo,0,0,0,31,135,4,13,3,6,6,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
37,DM Bravo,JJ Bumrah,KA Pollard,1,0,1,32,134,1,2,3,1,7,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
38,KA Pollard,JJ Bumrah,DM Bravo,0,0,0,32,134,4,14,3,2,7,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
39,KA Pollard,JJ Bumrah,DM Bravo,1,0,1,33,133,5,15,3,3,7,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
40,DM Bravo,JJ Bumrah,KA Pollard,0,0,0,33,133,1,3,3,4,7,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
41,DM Bravo,JJ Bumrah,KA Pollard,1,0,1,34,132,2,4,3,5,7,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
42,KA Pollard,JJ Bumrah,DM Bravo,0,0,0,34,132,5,16,3,6,7,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
43,DM Bravo,KH Pandya,KA Pollard,1,0,1,35,131,3,5,3,1,8,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
44,KA Pollard,KH Pandya,DM Bravo,0,0,0,35,131,5,17,3,2,8,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
45,KA Pollard,KH Pandya,DM Bravo,0,1,1,36,130,5,18,3,3,8,wides,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
46,KA Pollard,KH Pandya,DM Bravo,0,1,1,37,129,5,19,3,4,8,wides,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
47,KA Pollard,KH Pandya,DM Bravo,6,0,6,43,123,11,20,3,5,8,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
48,KA Pollard,KH Pandya,DM Bravo,0,0,0,43,123,11,21,3,6,8,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
49,KA Pollard,KH Pandya,DM Bravo,1,0,1,44,122,12,22,3,7,8,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
50,DM Bravo,KH Pandya,KA Pollard,0,0,0,44,122,3,6,3,8,8,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
51,KA Pollard,Kuldeep Yadav,DM Bravo,1,0,1,45,121,13,23,3,1,9,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
52,DM Bravo,Kuldeep Yadav,KA Pollard,0,0,0,45,121,3,7,3,2,9,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
53,DM Bravo,Kuldeep Yadav,KA Pollard,1,0,1,46,120,4,8,3,3,9,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
54,KA Pollard,Kuldeep Yadav,DM Bravo,0,0,0,46,120,13,24,3,4,9,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
55,KA Pollard,Kuldeep Yadav,DM Bravo,0,0,0,46,120,13,25,3,5,9,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
56,KA Pollard,Kuldeep Yadav,DM Bravo,1,0,1,47,119,14,26,3,6,9,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
57,KA Pollard,KH Pandya,DM Bravo,0,0,0,47,119,14,27,3,1,10,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
58,KA Pollard,KH Pandya,DM Bravo,0,0,0,47,119,14,28,4,2,10,-,caught,KA Pollard,MK Pandey,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
59,R Powell,KH Pandya,DM Bravo,0,0,0,47,119,0,1,4,3,10,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
60,R Powell,KH Pandya,DM Bravo,0,0,0,47,119,0,2,4,4,10,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
61,R Powell,KH Pandya,DM Bravo,1,0,1,48,118,1,3,4,5,10,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
62,DM Bravo,KH Pandya,R Powell,1,0,1,49,117,5,9,4,6,10,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
63,DM Bravo,Kuldeep Yadav,R Powell,0,0,0,49,117,5,10,5,1,11,-,caught,DM Bravo,S Dhawan,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
64,CR Brathwaite,Kuldeep Yadav,R Powell,1,0,1,50,116,1,1,5,2,11,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
65,R Powell,Kuldeep Yadav,CR Brathwaite,0,0,0,50,116,1,4,5,3,11,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
66,R Powell,Kuldeep Yadav,CR Brathwaite,1,0,1,51,115,2,5,5,4,11,-,0,,,,field,India,1,Eden Gardens,2018,11,West Indies_India_2018-11-04,India,West Indies,India,109
