,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,MDKJ Perera,FA Allen,WIA Fernando,,0,1,1,1,195,0,1,0,1,noballs,0,0,,,field,West Indies,1,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-06,West Indies,Sri Lanka,West Indies,155
1,MDKJ Perera,FA Allen,WIA Fernando,,0,0,0,1,195,0,2,0,2,-,0,0,,,field,West Indies,1,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-06,West Indies,Sri Lanka,West Indies,155
2,MDKJ Perera,FA Allen,WIA Fernando,,1,0,1,2,194,1,3,0,3,-,0,0,,,field,West Indies,1,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-06,West Indies,Sri Lanka,West Indies,155
3,WIA Fernando,FA Allen,MDKJ Perera,,1,0,1,3,193,1,1,0,4,-,0,0,,,field,West Indies,1,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-06,West Indies,Sri Lanka,West Indies,155
4,MDKJ Perera,FA Allen,WIA Fernando,,1,0,1,4,192,2,4,0,5,-,0,0,,,field,West Indies,1,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-06,West Indies,Sri Lanka,West Indies,155
5,WIA Fernando,FA Allen,MDKJ Perera,"{'by': 'West Indies', 'umpire': 'RR Wimalasiri', 'batter': 'WIA Fernando', 'decision': 'struck down'}",0,0,0,4,192,1,2,0,6,-,0,0,,,field,West Indies,1,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-06,West Indies,Sri Lanka,West Indies,155
6,WIA Fernando,FA Allen,MDKJ Perera,,1,0,1,5,191,2,3,0,7,-,0,0,,,field,West Indies,1,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-06,West Indies,Sri Lanka,West Indies,155
7,WIA Fernando,SS Cottrell,MDKJ Perera,,0,0,0,5,191,2,4,0,1,-,1,0,,,field,West Indies,1,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-06,West Indies,Sri Lanka,West Indies,155
8,WIA Fernando,SS Cottrell,MDKJ Perera,,0,0,0,5,191,2,5,0,2,-,1,0,,,field,West Indies,1,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-06,West Indies,Sri Lanka,West Indies,155
9,WIA Fernando,SS Cottrell,MDKJ Perera,,0,1,1,6,190,2,6,0,3,wides,1,0,,,field,West Indies,1,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-06,West Indies,Sri Lanka,West Indies,155
10,WIA Fernando,SS Cottrell,MDKJ Perera,,4,0,4,10,186,6,7,0,4,-,1,0,,,field,West Indies,1,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-06,West Indies,Sri Lanka,West Indies,155
11,WIA Fernando,SS Cottrell,MDKJ Perera,,1,0,1,11,185,7,8,0,5,-,1,0,,,field,West Indies,1,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-06,West Indies,Sri Lanka,West Indies,155
12,MDKJ Perera,SS Cottrell,WIA Fernando,,0,1,1,12,184,2,5,0,6,wides,1,0,,,field,West Indies,1,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-06,West Indies,Sri Lanka,West Indies,155
13,MDKJ Perera,SS Cottrell,WIA Fernando,,1,0,1,13,183,3,6,0,7,-,1,0,,,field,West Indies,1,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-06,West Indies,Sri Lanka,West Indies,155
14,WIA Fernando,SS Cottrell,MDKJ Perera,,2,0,2,15,181,9,9,0,8,-,1,0,,,field,West Indies,1,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-06,West Indies,Sri Lanka,West Indies,155
15,MDKJ Perera,O Thomas,WIA Fernando,,1,0,1,16,180,4,7,0,1,-,2,0,,,field,West Indies,1,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-06,West Indies,Sri Lanka,West Indies,155
16,WIA Fernando,O Thomas,MDKJ Perera,,0,0,0,16,180,9,10,0,2,-,2,0,,,field,West Indies,1,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-06,West Indies,Sri Lanka,West Indies,155
17,WIA Fernando,O Thomas,MDKJ Perera,,0,0,0,16,180,9,11,1,3,-,2,bowled,WIA Fernando,,field,West Indies,1,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-06,West Indies,Sri Lanka,West Indies,155
18,GSNFG Jayasuriya,O Thomas,MDKJ Perera,,0,0,0,16,180,0,1,1,4,-,2,0,,,field,West Indies,1,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-06,West Indies,Sri Lanka,West Indies,155
19,GSNFG Jayasuriya,O Thomas,MDKJ Perera,,0,0,0,16,180,0,2,1,5,-,2,0,,,field,West Indies,1,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-06,West Indies,Sri Lanka,West Indies,155
20,GSNFG Jayasuriya,O Thomas,MDKJ Perera,,1,0,1,17,179,1,3,1,6,-,2,0,,,field,West Indies,1,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-06,West Indies,Sri Lanka,West Indies,155
21,GSNFG Jayasuriya,AD Russell,MDKJ Perera,,0,0,0,17,179,1,4,1,1,-,3,0,,,field,West Indies,1,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-06,West Indies,Sri Lanka,West Indies,155
22,GSNFG Jayasuriya,AD Russell,MDKJ Perera,,1,0,1,18,178,2,5,1,2,-,3,0,,,field,West Indies,1,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-06,West Indies,Sri Lanka,West Indies,155
23,MDKJ Perera,AD Russell,GSNFG Jayasuriya,,4,0,4,22,174,8,8,1,3,-,3,0,,,field,West Indies,1,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-06,West Indies,Sri Lanka,West Indies,155
24,MDKJ Perera,AD Russell,GSNFG Jayasuriya,,1,0,1,23,173,9,9,1,4,-,3,0,,,field,West Indies,1,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-06,West Indies,Sri Lanka,West Indies,155
25,GSNFG Jayasuriya,AD Russell,MDKJ Perera,,0,0,0,23,173,2,6,1,5,-,3,0,,,field,West Indies,1,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-06,West Indies,Sri Lanka,West Indies,155
26,GSNFG Jayasuriya,AD Russell,MDKJ Perera,,4,0,4,27,169,6,7,1,6,-,3,0,,,field,West Indies,1,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-06,West Indies,Sri Lanka,West Indies,155
27,MDKJ Perera,O Thomas,GSNFG Jayasuriya,,1,0,1,28,168,10,10,1,1,-,4,0,,,field,West Indies,1,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-06,West Indies,Sri Lanka,West Indies,155
28,GSNFG Jayasuriya,O Thomas,MDKJ Perera,,0,0,0,28,168,6,8,1,2,-,4,0,,,field,West Indies,1,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-06,West Indies,Sri Lanka,West Indies,155
29,GSNFG Jayasuriya,O Thomas,MDKJ Perera,,0,0,0,28,168,6,9,1,3,-,4,0,,,field,West Indies,1,Pallekele International Cricket Stadium,2020,03,Sri Lanka_West Indies_2020-03-06,West Indies,Sri Lanka,West Indies,155
