,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,DA Warner,Mohammad Irfan,AJ Finch,1,0,1,1,149,1,1,0,1,1,0,,,-,,bat,Pakistan,2,Manuka Oval,2019,11,Australia_Pakistan_2019-11-05,Australia,Australia,Pakistan,151
1,AJ Finch,Mohammad Irfan,DA Warner,1,0,1,2,148,1,1,0,2,1,0,,,-,,bat,Pakistan,2,Manuka Oval,2019,11,Australia_Pakistan_2019-11-05,Australia,Australia,Pakistan,151
2,DA Warner,Mohammad Irfan,AJ Finch,0,0,0,2,148,1,2,0,3,1,0,,,-,,bat,Pakistan,2,Manuka Oval,2019,11,Australia_Pakistan_2019-11-05,Australia,Australia,Pakistan,151
3,DA Warner,Mohammad Irfan,AJ Finch,2,0,2,4,146,3,3,0,4,1,0,,,-,,bat,Pakistan,2,Manuka Oval,2019,11,Australia_Pakistan_2019-11-05,Australia,Australia,Pakistan,151
4,DA Warner,Mohammad Irfan,AJ Finch,1,0,1,5,145,4,4,0,5,1,0,,,-,,bat,Pakistan,2,Manuka Oval,2019,11,Australia_Pakistan_2019-11-05,Australia,Australia,Pakistan,151
5,AJ Finch,Mohammad Irfan,DA Warner,4,0,4,9,141,5,2,0,6,1,0,,,-,,bat,Pakistan,2,Manuka Oval,2019,11,Australia_Pakistan_2019-11-05,Australia,Australia,Pakistan,151
6,DA Warner,Imad Wasim,AJ Finch,0,0,0,9,141,4,5,0,1,2,0,,,-,,bat,Pakistan,2,Manuka Oval,2019,11,Australia_Pakistan_2019-11-05,Australia,Australia,Pakistan,151
7,DA Warner,Imad Wasim,AJ Finch,4,0,4,13,137,8,6,0,2,2,0,,,-,,bat,Pakistan,2,Manuka Oval,2019,11,Australia_Pakistan_2019-11-05,Australia,Australia,Pakistan,151
8,DA Warner,Imad Wasim,AJ Finch,4,0,4,17,133,12,7,0,3,2,0,,,-,,bat,Pakistan,2,Manuka Oval,2019,11,Australia_Pakistan_2019-11-05,Australia,Australia,Pakistan,151
9,DA Warner,Imad Wasim,AJ Finch,0,0,0,17,133,12,8,0,4,2,0,,,-,,bat,Pakistan,2,Manuka Oval,2019,11,Australia_Pakistan_2019-11-05,Australia,Australia,Pakistan,151
10,DA Warner,Imad Wasim,AJ Finch,4,0,4,21,129,16,9,0,5,2,0,,,-,,bat,Pakistan,2,Manuka Oval,2019,11,Australia_Pakistan_2019-11-05,Australia,Australia,Pakistan,151
11,DA Warner,Imad Wasim,AJ Finch,4,0,4,25,125,20,10,0,6,2,0,,,-,,bat,Pakistan,2,Manuka Oval,2019,11,Australia_Pakistan_2019-11-05,Australia,Australia,Pakistan,151
12,AJ Finch,Mohammad Amir,DA Warner,0,0,0,25,125,5,3,0,1,3,0,,,-,,bat,Pakistan,2,Manuka Oval,2019,11,Australia_Pakistan_2019-11-05,Australia,Australia,Pakistan,151
13,AJ Finch,Mohammad Amir,DA Warner,0,0,0,25,125,5,4,0,2,3,0,,,-,,bat,Pakistan,2,Manuka Oval,2019,11,Australia_Pakistan_2019-11-05,Australia,Australia,Pakistan,151
14,AJ Finch,Mohammad Amir,DA Warner,4,0,4,29,121,9,5,0,3,3,0,,,-,,bat,Pakistan,2,Manuka Oval,2019,11,Australia_Pakistan_2019-11-05,Australia,Australia,Pakistan,151
15,AJ Finch,Mohammad Amir,DA Warner,0,0,0,29,121,9,6,0,4,3,0,,,-,,bat,Pakistan,2,Manuka Oval,2019,11,Australia_Pakistan_2019-11-05,Australia,Australia,Pakistan,151
16,AJ Finch,Mohammad Amir,DA Warner,1,0,1,30,120,10,7,0,5,3,0,,,-,,bat,Pakistan,2,Manuka Oval,2019,11,Australia_Pakistan_2019-11-05,Australia,Australia,Pakistan,151
17,DA Warner,Mohammad Amir,AJ Finch,0,0,0,30,120,20,11,1,6,3,bowled,DA Warner,,-,,bat,Pakistan,2,Manuka Oval,2019,11,Australia_Pakistan_2019-11-05,Australia,Australia,Pakistan,151
18,AJ Finch,Imad Wasim,SPD Smith,1,0,1,31,119,11,8,1,1,4,0,,,-,,bat,Pakistan,2,Manuka Oval,2019,11,Australia_Pakistan_2019-11-05,Australia,Australia,Pakistan,151
19,SPD Smith,Imad Wasim,AJ Finch,1,0,1,32,118,1,1,1,2,4,0,,,-,,bat,Pakistan,2,Manuka Oval,2019,11,Australia_Pakistan_2019-11-05,Australia,Australia,Pakistan,151
20,AJ Finch,Imad Wasim,SPD Smith,0,0,0,32,118,11,9,1,3,4,0,,,-,,bat,Pakistan,2,Manuka Oval,2019,11,Australia_Pakistan_2019-11-05,Australia,Australia,Pakistan,151
21,AJ Finch,Imad Wasim,SPD Smith,1,0,1,33,117,12,10,1,4,4,0,,,-,,bat,Pakistan,2,Manuka Oval,2019,11,Australia_Pakistan_2019-11-05,Australia,Australia,Pakistan,151
22,SPD Smith,Imad Wasim,AJ Finch,1,0,1,34,116,2,2,1,5,4,0,,,-,,bat,Pakistan,2,Manuka Oval,2019,11,Australia_Pakistan_2019-11-05,Australia,Australia,Pakistan,151
23,AJ Finch,Imad Wasim,SPD Smith,4,0,4,38,112,16,11,1,6,4,0,,,-,,bat,Pakistan,2,Manuka Oval,2019,11,Australia_Pakistan_2019-11-05,Australia,Australia,Pakistan,151
24,SPD Smith,Mohammad Amir,AJ Finch,0,0,0,38,112,2,3,1,1,5,0,,,-,,bat,Pakistan,2,Manuka Oval,2019,11,Australia_Pakistan_2019-11-05,Australia,Australia,Pakistan,151
