,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,G Gambhir,Mohammad Irfan,AM Rahane,1,0,1,1,132,1,1,0,1,1,0,,,-,field,Pakistan,1,"Sardar Patel Stadium, Motera",2012,12,India_Pakistan_2012-12-28,India,India,Pakistan,192
1,AM Rahane,Mohammad Irfan,G Gambhir,0,0,0,1,132,0,1,0,2,1,0,,,-,field,Pakistan,1,"Sardar Patel Stadium, Motera",2012,12,India_Pakistan_2012-12-28,India,India,Pakistan,192
2,AM Rahane,Mohammad Irfan,G Gambhir,4,0,4,5,128,4,2,0,3,1,0,,,-,field,Pakistan,1,"Sardar Patel Stadium, Motera",2012,12,India_Pakistan_2012-12-28,India,India,Pakistan,192
3,AM Rahane,Mohammad Irfan,G Gambhir,0,0,0,5,128,4,3,0,4,1,0,,,-,field,Pakistan,1,"Sardar Patel Stadium, Motera",2012,12,India_Pakistan_2012-12-28,India,India,Pakistan,192
4,AM Rahane,Mohammad Irfan,G Gambhir,1,0,1,6,127,5,4,0,5,1,0,,,-,field,Pakistan,1,"Sardar Patel Stadium, Motera",2012,12,India_Pakistan_2012-12-28,India,India,Pakistan,192
5,G Gambhir,Mohammad Irfan,AM Rahane,1,0,1,7,126,2,2,0,6,1,0,,,-,field,Pakistan,1,"Sardar Patel Stadium, Motera",2012,12,India_Pakistan_2012-12-28,India,India,Pakistan,192
6,G Gambhir,Sohail Tanvir,AM Rahane,4,0,4,11,122,6,3,0,1,2,0,,,-,field,Pakistan,1,"Sardar Patel Stadium, Motera",2012,12,India_Pakistan_2012-12-28,India,India,Pakistan,192
7,G Gambhir,Sohail Tanvir,AM Rahane,1,0,1,12,121,7,4,0,2,2,0,,,-,field,Pakistan,1,"Sardar Patel Stadium, Motera",2012,12,India_Pakistan_2012-12-28,India,India,Pakistan,192
8,AM Rahane,Sohail Tanvir,G Gambhir,4,0,4,16,117,9,5,0,3,2,0,,,-,field,Pakistan,1,"Sardar Patel Stadium, Motera",2012,12,India_Pakistan_2012-12-28,India,India,Pakistan,192
9,AM Rahane,Sohail Tanvir,G Gambhir,0,0,0,16,117,9,6,0,4,2,0,,,-,field,Pakistan,1,"Sardar Patel Stadium, Motera",2012,12,India_Pakistan_2012-12-28,India,India,Pakistan,192
10,AM Rahane,Sohail Tanvir,G Gambhir,0,0,0,16,117,9,7,0,5,2,0,,,-,field,Pakistan,1,"Sardar Patel Stadium, Motera",2012,12,India_Pakistan_2012-12-28,India,India,Pakistan,192
11,AM Rahane,Sohail Tanvir,G Gambhir,1,0,1,17,116,10,8,0,6,2,0,,,-,field,Pakistan,1,"Sardar Patel Stadium, Motera",2012,12,India_Pakistan_2012-12-28,India,India,Pakistan,192
12,AM Rahane,Mohammad Irfan,G Gambhir,0,0,0,17,116,10,9,0,1,3,0,,,-,field,Pakistan,1,"Sardar Patel Stadium, Motera",2012,12,India_Pakistan_2012-12-28,India,India,Pakistan,192
13,AM Rahane,Mohammad Irfan,G Gambhir,0,0,0,17,116,10,10,0,2,3,0,,,-,field,Pakistan,1,"Sardar Patel Stadium, Motera",2012,12,India_Pakistan_2012-12-28,India,India,Pakistan,192
14,AM Rahane,Mohammad Irfan,G Gambhir,1,0,1,18,115,11,11,0,3,3,0,,,-,field,Pakistan,1,"Sardar Patel Stadium, Motera",2012,12,India_Pakistan_2012-12-28,India,India,Pakistan,192
15,G Gambhir,Mohammad Irfan,AM Rahane,1,0,1,19,114,8,5,0,4,3,0,,,-,field,Pakistan,1,"Sardar Patel Stadium, Motera",2012,12,India_Pakistan_2012-12-28,India,India,Pakistan,192
16,AM Rahane,Mohammad Irfan,G Gambhir,1,0,1,20,113,12,12,0,5,3,0,,,-,field,Pakistan,1,"Sardar Patel Stadium, Motera",2012,12,India_Pakistan_2012-12-28,India,India,Pakistan,192
17,G Gambhir,Mohammad Irfan,AM Rahane,0,0,0,20,113,8,6,0,6,3,0,,,-,field,Pakistan,1,"Sardar Patel Stadium, Motera",2012,12,India_Pakistan_2012-12-28,India,India,Pakistan,192
18,AM Rahane,Sohail Tanvir,G Gambhir,1,0,1,21,112,13,13,0,1,4,0,,,-,field,Pakistan,1,"Sardar Patel Stadium, Motera",2012,12,India_Pakistan_2012-12-28,India,India,Pakistan,192
