,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,P Nissanka,Fazalhaq Farooqi,BKG Mendis,,1,0,1,1,208,1,1,0,1,0,,,0,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
1,BKG Mendis,Fazalhaq Farooqi,P Nissanka,,2,0,2,3,206,2,1,0,2,0,,,0,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
2,BKG Mendis,Fazalhaq Farooqi,P Nissanka,,0,0,0,3,206,2,2,0,3,0,,,0,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
3,BKG Mendis,Fazalhaq Farooqi,P Nissanka,,0,0,0,3,206,2,3,0,4,0,,,0,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
4,BKG Mendis,Fazalhaq Farooqi,P Nissanka,"{'by': 'Afghanistan', 'umpire': 'Ahsan Raza', 'batter': 'BKG Mendis', 'decision': 'upheld'}",0,0,0,3,206,2,4,1,5,lbw,BKG Mendis,,0,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
5,KIC Asalanka,Fazalhaq Farooqi,P Nissanka,,0,0,0,3,206,0,1,2,6,lbw,KIC Asalanka,,0,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
6,P Nissanka,Naveen-ul-Haq,MD Gunathilaka,,0,0,0,3,206,1,2,2,1,0,,,1,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
7,P Nissanka,Naveen-ul-Haq,MD Gunathilaka,,0,0,0,3,206,1,3,2,2,0,,,1,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
8,P Nissanka,Naveen-ul-Haq,MD Gunathilaka,,0,0,0,3,206,1,4,2,3,0,,,1,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
9,P Nissanka,Naveen-ul-Haq,MD Gunathilaka,,0,0,0,3,206,1,5,2,4,0,,,1,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
10,P Nissanka,Naveen-ul-Haq,MD Gunathilaka,,2,0,2,5,204,3,6,2,5,0,,,1,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
11,P Nissanka,Naveen-ul-Haq,MD Gunathilaka,"{'by': 'Sri Lanka', 'umpire': 'AK Chaudhary', 'batter': 'P Nissanka', 'decision': 'struck down'}",0,0,0,5,204,3,7,3,6,caught,P Nissanka,Rahmanullah Gurbaz,1,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
12,MD Gunathilaka,Fazalhaq Farooqi,PBB Rajapaksa,,0,0,0,5,204,0,1,3,1,0,,,2,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
13,MD Gunathilaka,Fazalhaq Farooqi,PBB Rajapaksa,,0,0,0,5,204,0,2,3,2,0,,,2,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
14,MD Gunathilaka,Fazalhaq Farooqi,PBB Rajapaksa,,0,0,0,5,204,0,3,3,3,0,,,2,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
15,MD Gunathilaka,Fazalhaq Farooqi,PBB Rajapaksa,,0,0,0,5,204,0,4,3,4,0,,,2,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
16,MD Gunathilaka,Fazalhaq Farooqi,PBB Rajapaksa,,0,0,0,5,204,0,5,3,5,0,,,2,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
17,MD Gunathilaka,Fazalhaq Farooqi,PBB Rajapaksa,,0,0,0,5,204,0,6,3,6,0,,,2,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
18,PBB Rajapaksa,Naveen-ul-Haq,MD Gunathilaka,,1,0,1,6,203,1,1,3,1,0,,,3,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
19,MD Gunathilaka,Naveen-ul-Haq,PBB Rajapaksa,,1,0,1,7,202,1,7,3,2,0,,,3,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
20,PBB Rajapaksa,Naveen-ul-Haq,MD Gunathilaka,,6,0,6,13,196,7,2,3,3,0,,,3,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
21,PBB Rajapaksa,Naveen-ul-Haq,MD Gunathilaka,,0,0,0,13,196,7,3,3,4,0,,,3,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
22,PBB Rajapaksa,Naveen-ul-Haq,MD Gunathilaka,,1,0,1,14,195,8,4,3,5,0,,,3,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
23,MD Gunathilaka,Naveen-ul-Haq,PBB Rajapaksa,,4,0,4,18,191,5,8,3,6,0,,,3,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
24,PBB Rajapaksa,Mujeeb Ur Rahman,MD Gunathilaka,,0,0,0,18,191,8,5,3,1,0,,,4,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
25,PBB Rajapaksa,Mujeeb Ur Rahman,MD Gunathilaka,,1,0,1,19,190,9,6,3,2,0,,,4,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
26,MD Gunathilaka,Mujeeb Ur Rahman,PBB Rajapaksa,,0,0,0,19,190,5,9,3,3,0,,,4,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
27,MD Gunathilaka,Mujeeb Ur Rahman,PBB Rajapaksa,,1,0,1,20,189,6,10,3,4,0,,,4,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
28,PBB Rajapaksa,Mujeeb Ur Rahman,MD Gunathilaka,,0,0,0,20,189,9,7,3,5,0,,,4,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
29,PBB Rajapaksa,Mujeeb Ur Rahman,MD Gunathilaka,,1,0,1,21,188,10,8,3,6,0,,,4,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
30,PBB Rajapaksa,Azmatullah Omarzai,MD Gunathilaka,,0,1,1,22,187,10,9,3,1,0,,,5,wides,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
31,PBB Rajapaksa,Azmatullah Omarzai,MD Gunathilaka,,1,0,1,23,186,11,10,3,2,0,,,5,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
32,MD Gunathilaka,Azmatullah Omarzai,PBB Rajapaksa,,4,0,4,27,182,10,11,3,3,0,,,5,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
33,MD Gunathilaka,Azmatullah Omarzai,PBB Rajapaksa,,0,1,1,28,181,10,12,3,4,0,,,5,wides,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
34,MD Gunathilaka,Azmatullah Omarzai,PBB Rajapaksa,,4,0,4,32,177,14,13,3,5,0,,,5,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
35,MD Gunathilaka,Azmatullah Omarzai,PBB Rajapaksa,,1,0,1,33,176,15,14,3,6,0,,,5,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
36,PBB Rajapaksa,Azmatullah Omarzai,MD Gunathilaka,,4,0,4,37,172,15,11,3,7,0,,,5,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
37,PBB Rajapaksa,Azmatullah Omarzai,MD Gunathilaka,,4,0,4,41,168,19,12,3,8,0,,,5,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
38,MD Gunathilaka,Mohammad Nabi,PBB Rajapaksa,,1,0,1,42,167,16,15,3,1,0,,,6,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
39,PBB Rajapaksa,Mohammad Nabi,MD Gunathilaka,,0,1,1,43,166,19,13,3,2,0,,,6,wides,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
40,PBB Rajapaksa,Mohammad Nabi,MD Gunathilaka,,0,0,0,43,166,19,14,3,3,0,,,6,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
41,PBB Rajapaksa,Mohammad Nabi,MD Gunathilaka,,1,0,1,44,165,20,15,3,4,0,,,6,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
42,MD Gunathilaka,Mohammad Nabi,PBB Rajapaksa,,1,0,1,45,164,17,16,3,5,0,,,6,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
43,PBB Rajapaksa,Mohammad Nabi,MD Gunathilaka,,4,0,4,49,160,24,16,3,6,0,,,6,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
44,PBB Rajapaksa,Mohammad Nabi,MD Gunathilaka,"{'by': 'Afghanistan', 'umpire': 'Ahsan Raza', 'batter': 'PBB Rajapaksa', 'decision': 'struck down'}",0,0,0,49,160,24,17,3,7,0,,,6,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
45,MD Gunathilaka,Mujeeb Ur Rahman,PBB Rajapaksa,,0,0,0,49,160,17,17,3,1,0,,,7,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
46,MD Gunathilaka,Mujeeb Ur Rahman,PBB Rajapaksa,,0,0,0,49,160,17,18,4,2,caught,MD Gunathilaka,Karim Janat,7,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
47,PWH de Silva,Mujeeb Ur Rahman,PBB Rajapaksa,,0,0,0,49,160,0,1,4,3,0,,,7,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
48,PWH de Silva,Mujeeb Ur Rahman,PBB Rajapaksa,,0,0,0,49,160,0,2,4,4,0,,,7,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
49,PWH de Silva,Mujeeb Ur Rahman,PBB Rajapaksa,,1,0,1,50,159,1,3,4,5,0,,,7,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
50,PBB Rajapaksa,Mujeeb Ur Rahman,PWH de Silva,,4,0,4,54,155,28,18,4,6,0,,,7,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
51,PWH de Silva,Rashid Khan,PBB Rajapaksa,,0,0,0,54,155,1,4,4,1,0,,,8,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
52,PWH de Silva,Rashid Khan,PBB Rajapaksa,,1,0,1,55,154,2,5,4,2,0,,,8,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
53,PBB Rajapaksa,Rashid Khan,PWH de Silva,,0,1,1,56,153,28,19,4,3,0,,,8,wides,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
54,PBB Rajapaksa,Rashid Khan,PWH de Silva,,2,0,2,58,151,30,20,4,4,0,,,8,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
55,PBB Rajapaksa,Rashid Khan,PWH de Silva,,1,0,1,59,150,31,21,4,5,0,,,8,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
56,PWH de Silva,Rashid Khan,PBB Rajapaksa,,0,0,0,59,150,2,6,4,6,0,,,8,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
57,PWH de Silva,Rashid Khan,PBB Rajapaksa,,0,0,0,59,150,2,7,4,7,0,,,8,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
58,PBB Rajapaksa,Mujeeb Ur Rahman,PWH de Silva,,1,0,1,60,149,32,22,4,1,0,,,9,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
59,PWH de Silva,Mujeeb Ur Rahman,PBB Rajapaksa,,0,0,0,60,149,2,8,5,2,caught,PWH de Silva,Mohammad Nabi,9,-,field,Afghanistan,1,Dubai International Cricket Stadium,2022,08,Sri Lanka_Afghanistan_2022-08-27,Afghanistan,Sri Lanka,Afghanistan,105
