,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,JJ Roy,KA Maharaj,JC Buttler,1,0,1,1,190,1,1,0,1,1,0,,,-,,field,England,2,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,England,South Africa,101
1,JC Buttler,KA Maharaj,JJ Roy,1,0,1,2,189,1,1,0,2,1,0,,,-,,field,England,2,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,England,South Africa,101
2,JJ Roy,KA Maharaj,JC Buttler,0,0,0,2,189,1,2,0,3,1,0,,,-,,field,England,2,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,England,South Africa,101
3,JJ Roy,KA Maharaj,JC Buttler,1,0,1,3,188,2,3,0,4,1,0,,,-,,field,England,2,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,England,South Africa,101
4,JC Buttler,KA Maharaj,JJ Roy,1,0,1,4,187,2,2,0,5,1,0,,,-,,field,England,2,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,England,South Africa,101
5,JJ Roy,KA Maharaj,JC Buttler,1,0,1,5,186,3,4,0,6,1,0,,,-,,field,England,2,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,England,South Africa,101
6,JJ Roy,A Nortje,JC Buttler,0,0,0,5,186,3,5,0,1,2,0,,,-,,field,England,2,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,England,South Africa,101
7,JJ Roy,A Nortje,JC Buttler,1,0,1,6,185,4,6,0,2,2,0,,,-,,field,England,2,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,England,South Africa,101
8,JC Buttler,A Nortje,JJ Roy,1,0,1,7,184,3,3,0,3,2,0,,,-,,field,England,2,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,England,South Africa,101
9,JJ Roy,A Nortje,JC Buttler,5,0,5,12,179,9,7,0,4,2,0,,,-,,field,England,2,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,England,South Africa,101
10,JC Buttler,A Nortje,JJ Roy,1,0,1,13,178,4,4,0,5,2,0,,,-,,field,England,2,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,England,South Africa,101
11,JJ Roy,A Nortje,JC Buttler,2,0,2,15,176,11,8,0,6,2,0,,,-,,field,England,2,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,England,South Africa,101
12,JC Buttler,L Ngidi,JJ Roy,4,0,4,19,172,8,5,0,1,3,0,,,-,,field,England,2,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,England,South Africa,101
