,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,G Gambhir,B Lee,V Sehwag,0,0,0,0,143,0,1,0,1,1,-,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
1,G Gambhir,B Lee,V Sehwag,0,0,0,0,143,0,2,0,2,1,-,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
2,G Gambhir,B Lee,V Sehwag,4,0,4,4,139,4,3,0,3,1,-,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
3,G Gambhir,B Lee,V Sehwag,1,0,1,5,138,5,4,0,4,1,-,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
4,V Sehwag,B Lee,G Gambhir,0,0,0,5,138,0,1,0,5,1,-,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
5,V Sehwag,B Lee,G Gambhir,0,0,0,5,138,0,2,0,6,1,-,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
6,G Gambhir,NW Bracken,V Sehwag,1,0,1,6,137,6,5,0,1,2,-,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
7,V Sehwag,NW Bracken,G Gambhir,0,1,1,7,136,0,3,0,2,2,legbyes,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
8,G Gambhir,NW Bracken,V Sehwag,0,0,0,7,136,6,6,0,3,2,-,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
9,G Gambhir,NW Bracken,V Sehwag,0,0,0,7,136,6,7,0,4,2,-,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
10,G Gambhir,NW Bracken,V Sehwag,1,0,1,8,135,7,8,0,5,2,-,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
11,V Sehwag,NW Bracken,G Gambhir,1,0,1,9,134,1,4,0,6,2,-,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
12,V Sehwag,B Lee,G Gambhir,0,0,0,9,134,1,5,0,1,3,-,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
13,V Sehwag,B Lee,G Gambhir,0,0,0,9,134,1,6,0,2,3,-,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
14,V Sehwag,B Lee,G Gambhir,0,0,0,9,134,1,7,0,3,3,-,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
15,V Sehwag,B Lee,G Gambhir,1,0,1,10,133,2,8,0,4,3,-,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
16,G Gambhir,B Lee,V Sehwag,0,0,0,10,133,7,9,0,5,3,-,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
17,G Gambhir,B Lee,V Sehwag,0,0,0,10,133,7,10,0,6,3,-,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
18,V Sehwag,NW Bracken,G Gambhir,1,0,1,11,132,3,9,0,1,4,-,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
19,G Gambhir,NW Bracken,V Sehwag,0,0,0,11,132,7,11,0,2,4,-,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
20,G Gambhir,NW Bracken,V Sehwag,4,0,4,15,128,11,12,0,3,4,-,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
21,G Gambhir,NW Bracken,V Sehwag,0,0,0,15,128,11,13,0,4,4,-,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
22,G Gambhir,NW Bracken,V Sehwag,4,0,4,19,124,15,14,0,5,4,-,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
23,G Gambhir,NW Bracken,V Sehwag,0,0,0,19,124,15,15,0,6,4,-,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
24,V Sehwag,SR Clark,G Gambhir,1,0,1,20,123,4,10,0,1,5,-,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
25,G Gambhir,SR Clark,V Sehwag,1,0,1,21,122,16,16,0,2,5,-,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
26,V Sehwag,SR Clark,G Gambhir,1,0,1,22,121,5,11,0,3,5,-,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
27,G Gambhir,SR Clark,V Sehwag,0,0,0,22,121,16,17,0,4,5,-,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
28,G Gambhir,SR Clark,V Sehwag,0,0,0,22,121,16,18,0,5,5,-,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
29,G Gambhir,SR Clark,V Sehwag,4,0,4,26,117,20,19,0,6,5,-,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
30,V Sehwag,MG Johnson,G Gambhir,4,0,4,30,113,9,12,0,1,6,-,0,,,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
31,V Sehwag,MG Johnson,G Gambhir,0,0,0,30,113,9,13,1,2,6,-,caught,V Sehwag,AC Gilchrist,bat,India,1,Kingsmead,2007,09,Australia_India_2007-09-22,India,India,Australia,188
