,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,review,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,ADS Fletcher,TG Southee,BA King,0,1,1,1,,0,1,0,wides,0.0,0,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,,Right arm Medium
1,ADS Fletcher,TG Southee,BA King,0,1,1,2,,0,2,0,wides,0.0,0,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,,Right arm Medium
2,ADS Fletcher,TG Southee,BA King,0,0,0,2,,0,3,0,-,1.0,0,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,,Right arm Medium
3,ADS Fletcher,TG Southee,BA King,0,0,0,2,,0,4,0,-,2.0,0,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,,Right arm Medium
4,ADS Fletcher,TG Southee,BA King,4,0,4,6,,4,5,0,-,3.0,0,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,,Right arm Medium
5,ADS Fletcher,TG Southee,BA King,1,0,1,7,,5,6,0,-,4.0,0,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,,Right arm Medium
6,BA King,TG Southee,ADS Fletcher,0,0,0,7,,0,1,0,-,5.0,0,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,,Right hand Bat,Right arm Medium
7,BA King,TG Southee,ADS Fletcher,0,1,1,8,,0,2,0,wides,5.0,0,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,,Right hand Bat,Right arm Medium
8,BA King,TG Southee,ADS Fletcher,0,0,0,8,,0,3,0,-,6.0,0,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,,Right hand Bat,Right arm Medium
9,ADS Fletcher,KA Jamieson,BA King,0,0,0,8,,5,7,0,-,1.0,1,0,,,,,field,New Zealand,1,Eden Park,2020,11,West Indies_New Zealand_2020-11-27,New Zealand,West Indies,New Zealand,False,180,Right hand Bat,,Right arm Fast
