,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,PD Salt,MW Forde,JC Buttler,1,0,1,1,221,1,1,0,1,1,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,England,West Indies,267
1,JC Buttler,MW Forde,PD Salt,0,0,0,1,221,0,1,0,2,1,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,England,West Indies,267
2,JC Buttler,MW Forde,PD Salt,1,0,1,2,220,1,2,0,3,1,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,England,West Indies,267
3,PD Salt,MW Forde,JC Buttler,0,0,0,2,220,1,2,0,4,1,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,England,West Indies,267
4,PD Salt,MW Forde,JC Buttler,6,0,6,8,214,7,3,0,5,1,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,England,West Indies,267
5,PD Salt,MW Forde,JC Buttler,4,0,4,12,210,11,4,0,6,1,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,England,West Indies,267
6,JC Buttler,AJ Hosein,PD Salt,0,0,0,12,210,1,3,0,1,2,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,England,West Indies,267
7,JC Buttler,AJ Hosein,PD Salt,0,0,0,12,210,1,4,0,2,2,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,England,West Indies,267
8,JC Buttler,AJ Hosein,PD Salt,0,0,0,12,210,1,5,0,3,2,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,England,West Indies,267
9,JC Buttler,AJ Hosein,PD Salt,1,0,1,13,209,2,6,0,4,2,-,0,,,,field,West Indies,1,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-19,England,England,West Indies,267
