,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,MD Gunathilaka,MA Starc,BKG Mendis,0,0,0,0,0,1,1,0,,,1,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
1,MD Gunathilaka,MA Starc,BKG Mendis,1,0,1,1,1,2,2,0,,,1,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
2,BKG Mendis,MA Starc,MD Gunathilaka,0,0,0,1,0,1,3,0,,,1,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
3,BKG Mendis,MA Starc,MD Gunathilaka,0,0,0,1,0,2,4,0,,,1,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
4,BKG Mendis,MA Starc,MD Gunathilaka,0,0,0,1,0,3,5,caught,BKG Mendis,AJ Turner,1,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
5,PBB Rajapaksa,MA Starc,MD Gunathilaka,0,0,0,1,0,1,6,0,,,1,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
6,MD Gunathilaka,KW Richardson,PBB Rajapaksa,1,0,1,2,2,3,1,0,,,2,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
7,PBB Rajapaksa,KW Richardson,MD Gunathilaka,0,0,0,2,0,2,2,0,,,2,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
8,PBB Rajapaksa,KW Richardson,MD Gunathilaka,1,0,1,3,1,3,3,0,,,2,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
9,MD Gunathilaka,KW Richardson,PBB Rajapaksa,0,0,0,3,2,4,4,0,,,2,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
10,MD Gunathilaka,KW Richardson,PBB Rajapaksa,0,0,0,3,2,5,5,0,,,2,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
11,MD Gunathilaka,KW Richardson,PBB Rajapaksa,1,0,1,4,3,6,6,0,,,2,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
12,MD Gunathilaka,MA Starc,PBB Rajapaksa,0,0,0,4,3,7,1,0,,,3,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
13,MD Gunathilaka,MA Starc,PBB Rajapaksa,4,0,4,8,7,8,2,0,,,3,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
14,MD Gunathilaka,MA Starc,PBB Rajapaksa,4,0,4,12,11,9,3,0,,,3,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
15,MD Gunathilaka,MA Starc,PBB Rajapaksa,0,0,0,12,11,10,4,0,,,3,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
16,MD Gunathilaka,MA Starc,PBB Rajapaksa,0,0,0,12,11,11,5,0,,,3,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
17,MD Gunathilaka,MA Starc,PBB Rajapaksa,0,0,0,12,11,12,6,0,,,3,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
18,PBB Rajapaksa,PJ Cummins,MD Gunathilaka,0,0,0,12,1,4,1,0,,,4,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
19,PBB Rajapaksa,PJ Cummins,MD Gunathilaka,1,0,1,13,2,5,2,0,,,4,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
20,MD Gunathilaka,PJ Cummins,PBB Rajapaksa,0,0,0,13,11,13,3,caught,MD Gunathilaka,DA Warner,4,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
21,PBB Rajapaksa,PJ Cummins,MDKJ Perera,0,0,0,13,2,6,4,bowled,PBB Rajapaksa,,4,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
22,BOP Fernando,PJ Cummins,MDKJ Perera,1,0,1,14,1,1,5,0,,,4,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
23,MDKJ Perera,PJ Cummins,BOP Fernando,0,0,0,14,0,1,6,0,,,4,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
24,BOP Fernando,KW Richardson,MDKJ Perera,0,0,0,14,1,2,1,0,,,5,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
25,BOP Fernando,KW Richardson,MDKJ Perera,0,0,0,14,1,3,2,0,,,5,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
26,BOP Fernando,KW Richardson,MDKJ Perera,0,0,0,14,1,4,3,0,,,5,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
27,BOP Fernando,KW Richardson,MDKJ Perera,0,1,1,15,1,5,4,0,,,5,wides,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
28,BOP Fernando,KW Richardson,MDKJ Perera,0,0,0,15,1,6,5,0,,,5,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
29,BOP Fernando,KW Richardson,MDKJ Perera,2,0,2,17,3,7,6,0,,,5,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
30,BOP Fernando,KW Richardson,MDKJ Perera,0,0,0,17,3,8,7,0,,,5,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
31,MDKJ Perera,PJ Cummins,BOP Fernando,1,0,1,18,1,2,1,0,,,6,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
32,BOP Fernando,PJ Cummins,MDKJ Perera,4,0,4,22,7,9,2,0,,,6,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
33,BOP Fernando,PJ Cummins,MDKJ Perera,2,0,2,24,9,10,3,0,,,6,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
34,BOP Fernando,PJ Cummins,MDKJ Perera,0,0,0,24,9,11,4,0,,,6,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
35,BOP Fernando,PJ Cummins,MDKJ Perera,1,0,1,25,10,12,5,0,,,6,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
36,MDKJ Perera,PJ Cummins,BOP Fernando,4,0,4,29,5,3,6,0,,,6,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
37,BOP Fernando,A Zampa,MDKJ Perera,0,1,1,30,10,13,1,0,,,7,legbyes,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
38,MDKJ Perera,A Zampa,BOP Fernando,2,0,2,32,7,4,2,0,,,7,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
39,MDKJ Perera,A Zampa,BOP Fernando,1,0,1,33,8,5,3,0,,,7,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
40,BOP Fernando,A Zampa,MDKJ Perera,1,0,1,34,11,14,4,0,,,7,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
41,MDKJ Perera,A Zampa,BOP Fernando,1,0,1,35,9,6,5,0,,,7,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
42,BOP Fernando,A Zampa,MDKJ Perera,0,3,3,38,11,15,6,0,,,7,legbyes,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
43,BOP Fernando,AC Agar,MDKJ Perera,0,0,0,38,11,16,1,0,,,8,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
44,BOP Fernando,AC Agar,MDKJ Perera,1,0,1,39,12,17,2,0,,,8,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
45,MDKJ Perera,AC Agar,BOP Fernando,1,0,1,40,10,7,3,0,,,8,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
46,BOP Fernando,AC Agar,MDKJ Perera,0,0,0,40,12,18,4,0,,,8,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
47,BOP Fernando,AC Agar,MDKJ Perera,0,0,0,40,12,19,5,0,,,8,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
48,BOP Fernando,AC Agar,MDKJ Perera,0,0,0,40,12,20,6,0,,,8,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
49,MDKJ Perera,A Zampa,BOP Fernando,0,0,0,40,10,8,1,0,,,9,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
50,MDKJ Perera,A Zampa,BOP Fernando,2,0,2,42,12,9,2,0,,,9,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
51,MDKJ Perera,A Zampa,BOP Fernando,0,0,0,42,12,10,3,0,,,9,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
52,MDKJ Perera,A Zampa,BOP Fernando,1,0,1,43,13,11,4,0,,,9,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
53,BOP Fernando,A Zampa,MDKJ Perera,1,0,1,44,13,21,5,0,,,9,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
54,MDKJ Perera,A Zampa,BOP Fernando,1,0,1,45,14,12,6,0,,,9,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
55,MDKJ Perera,AC Agar,BOP Fernando,1,0,1,46,15,13,1,0,,,10,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
56,BOP Fernando,AC Agar,MDKJ Perera,0,0,0,46,13,22,2,bowled,BOP Fernando,,10,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
57,MD Shanaka,AC Agar,MDKJ Perera,1,0,1,47,1,1,3,0,,,10,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
58,MDKJ Perera,AC Agar,MD Shanaka,0,0,0,47,15,14,4,0,,,10,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
59,MDKJ Perera,AC Agar,MD Shanaka,1,0,1,48,16,15,5,0,,,10,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
60,MD Shanaka,AC Agar,MDKJ Perera,1,0,1,49,2,2,6,0,,,10,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
61,MD Shanaka,MA Starc,MDKJ Perera,0,0,0,49,2,3,1,0,,,11,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
62,MD Shanaka,MA Starc,MDKJ Perera,0,1,1,50,2,4,2,0,,,11,legbyes,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
63,MDKJ Perera,MA Starc,MD Shanaka,0,0,0,50,16,16,3,bowled,MDKJ Perera,,11,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
64,PWH de Silva,MA Starc,MD Shanaka,1,0,1,51,1,1,4,0,,,11,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
65,MD Shanaka,MA Starc,PWH de Silva,4,0,4,55,6,5,5,0,,,11,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
66,MD Shanaka,MA Starc,PWH de Silva,0,0,0,55,6,6,6,0,,,11,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
67,PWH de Silva,AC Agar,MD Shanaka,1,0,1,56,2,2,1,0,,,12,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
68,MD Shanaka,AC Agar,PWH de Silva,1,0,1,57,7,7,2,0,,,12,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
69,PWH de Silva,AC Agar,MD Shanaka,0,0,0,57,2,3,3,0,,,12,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
70,PWH de Silva,AC Agar,MD Shanaka,0,0,0,57,2,4,4,0,,,12,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
71,PWH de Silva,AC Agar,MD Shanaka,0,0,0,57,2,5,5,0,,,12,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
72,PWH de Silva,AC Agar,MD Shanaka,0,0,0,57,2,6,6,0,,,12,-,,field,Sri Lanka,2,Adelaide Oval,2019-10-27,Sri Lanka,Australia
