,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,Mukhtar Ahmed,T Panyangara,Ahmed Shehzad,4,0,4,4,168,4,1,0,1,1,-,0,,,bat,Zimbabwe,2,Gaddafi Stadium,2015,05,Pakistan_Zimbabwe_2015-05-22,Pakistan,Pakistan,Zimbabwe,173
1,Mukhtar Ahmed,T Panyangara,Ahmed Shehzad,0,0,0,4,168,4,2,0,2,1,-,0,,,bat,Zimbabwe,2,Gaddafi Stadium,2015,05,Pakistan_Zimbabwe_2015-05-22,Pakistan,Pakistan,Zimbabwe,173
2,Mukhtar Ahmed,T Panyangara,Ahmed Shehzad,2,0,2,6,166,6,3,0,3,1,-,0,,,bat,Zimbabwe,2,Gaddafi Stadium,2015,05,Pakistan_Zimbabwe_2015-05-22,Pakistan,Pakistan,Zimbabwe,173
3,Mukhtar Ahmed,T Panyangara,Ahmed Shehzad,4,0,4,10,162,10,4,0,4,1,-,0,,,bat,Zimbabwe,2,Gaddafi Stadium,2015,05,Pakistan_Zimbabwe_2015-05-22,Pakistan,Pakistan,Zimbabwe,173
4,Mukhtar Ahmed,T Panyangara,Ahmed Shehzad,0,0,0,10,162,10,5,0,5,1,-,0,,,bat,Zimbabwe,2,Gaddafi Stadium,2015,05,Pakistan_Zimbabwe_2015-05-22,Pakistan,Pakistan,Zimbabwe,173
5,Mukhtar Ahmed,T Panyangara,Ahmed Shehzad,1,0,1,11,161,11,6,0,6,1,-,0,,,bat,Zimbabwe,2,Gaddafi Stadium,2015,05,Pakistan_Zimbabwe_2015-05-22,Pakistan,Pakistan,Zimbabwe,173
6,Mukhtar Ahmed,BV Vitori,Ahmed Shehzad,1,0,1,12,160,12,7,0,1,2,-,0,,,bat,Zimbabwe,2,Gaddafi Stadium,2015,05,Pakistan_Zimbabwe_2015-05-22,Pakistan,Pakistan,Zimbabwe,173
7,Ahmed Shehzad,BV Vitori,Mukhtar Ahmed,0,0,0,12,160,0,1,0,2,2,-,0,,,bat,Zimbabwe,2,Gaddafi Stadium,2015,05,Pakistan_Zimbabwe_2015-05-22,Pakistan,Pakistan,Zimbabwe,173
8,Ahmed Shehzad,BV Vitori,Mukhtar Ahmed,1,0,1,13,159,1,2,0,3,2,-,0,,,bat,Zimbabwe,2,Gaddafi Stadium,2015,05,Pakistan_Zimbabwe_2015-05-22,Pakistan,Pakistan,Zimbabwe,173
9,Mukhtar Ahmed,BV Vitori,Ahmed Shehzad,0,0,0,13,159,12,8,0,4,2,-,0,,,bat,Zimbabwe,2,Gaddafi Stadium,2015,05,Pakistan_Zimbabwe_2015-05-22,Pakistan,Pakistan,Zimbabwe,173
10,Mukhtar Ahmed,BV Vitori,Ahmed Shehzad,2,0,2,15,157,14,9,0,5,2,-,0,,,bat,Zimbabwe,2,Gaddafi Stadium,2015,05,Pakistan_Zimbabwe_2015-05-22,Pakistan,Pakistan,Zimbabwe,173
11,Mukhtar Ahmed,BV Vitori,Ahmed Shehzad,0,0,0,15,157,14,10,0,6,2,-,0,,,bat,Zimbabwe,2,Gaddafi Stadium,2015,05,Pakistan_Zimbabwe_2015-05-22,Pakistan,Pakistan,Zimbabwe,173
12,Ahmed Shehzad,CB Mpofu,Mukhtar Ahmed,0,4,4,19,153,1,3,0,1,3,legbyes,0,,,bat,Zimbabwe,2,Gaddafi Stadium,2015,05,Pakistan_Zimbabwe_2015-05-22,Pakistan,Pakistan,Zimbabwe,173
13,Ahmed Shehzad,CB Mpofu,Mukhtar Ahmed,0,1,1,20,152,1,4,0,2,3,legbyes,0,,,bat,Zimbabwe,2,Gaddafi Stadium,2015,05,Pakistan_Zimbabwe_2015-05-22,Pakistan,Pakistan,Zimbabwe,173
14,Mukhtar Ahmed,CB Mpofu,Ahmed Shehzad,4,0,4,24,148,18,11,0,3,3,-,0,,,bat,Zimbabwe,2,Gaddafi Stadium,2015,05,Pakistan_Zimbabwe_2015-05-22,Pakistan,Pakistan,Zimbabwe,173
15,Mukhtar Ahmed,CB Mpofu,Ahmed Shehzad,4,0,4,28,144,22,12,0,4,3,-,0,,,bat,Zimbabwe,2,Gaddafi Stadium,2015,05,Pakistan_Zimbabwe_2015-05-22,Pakistan,Pakistan,Zimbabwe,173
16,Mukhtar Ahmed,CB Mpofu,Ahmed Shehzad,4,0,4,32,140,26,13,0,5,3,-,0,,,bat,Zimbabwe,2,Gaddafi Stadium,2015,05,Pakistan_Zimbabwe_2015-05-22,Pakistan,Pakistan,Zimbabwe,173
17,Mukhtar Ahmed,CB Mpofu,Ahmed Shehzad,4,0,4,36,136,30,14,0,6,3,-,0,,,bat,Zimbabwe,2,Gaddafi Stadium,2015,05,Pakistan_Zimbabwe_2015-05-22,Pakistan,Pakistan,Zimbabwe,173
