,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,DA Warner,AJ Hosein,JP Inglis,0,0,0,0,,0,1,0,1,0,0,,,-,,field,West Indies,1,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,Australia,West Indies,True,241
1,DA Warner,AJ Hosein,JP Inglis,6,0,6,6,,6,2,0,2,0,0,,,-,,field,West Indies,1,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,Australia,West Indies,True,241
2,DA Warner,AJ Hosein,JP Inglis,4,0,4,10,,10,3,0,3,0,0,,,-,,field,West Indies,1,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,Australia,West Indies,True,241
3,DA Warner,AJ Hosein,JP Inglis,0,0,0,10,,10,4,0,4,0,0,,,-,,field,West Indies,1,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,Australia,West Indies,True,241
4,DA Warner,AJ Hosein,JP Inglis,0,0,0,10,,10,5,0,5,0,0,,,-,,field,West Indies,1,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,Australia,West Indies,True,241
5,DA Warner,AJ Hosein,JP Inglis,0,0,0,10,,10,6,0,6,0,0,,,-,,field,West Indies,1,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,Australia,West Indies,True,241
6,JP Inglis,JO Holder,DA Warner,0,0,0,10,,0,1,0,1,1,0,,,-,,field,West Indies,1,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,Australia,West Indies,True,241
7,JP Inglis,JO Holder,DA Warner,0,0,0,10,,0,2,0,2,1,0,,,-,,field,West Indies,1,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,Australia,West Indies,True,241
8,JP Inglis,JO Holder,DA Warner,0,0,0,10,,0,3,0,3,1,0,,,-,,field,West Indies,1,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,Australia,West Indies,True,241
9,JP Inglis,JO Holder,DA Warner,4,0,4,14,,4,4,0,4,1,0,,,-,,field,West Indies,1,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,Australia,West Indies,True,241
10,JP Inglis,JO Holder,DA Warner,0,0,0,14,,4,5,0,5,1,0,,,-,,field,West Indies,1,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,Australia,West Indies,True,241
11,JP Inglis,JO Holder,DA Warner,0,0,0,14,,4,6,1,6,1,caught,JP Inglis,J Charles,-,,field,West Indies,1,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,Australia,West Indies,True,241
12,DA Warner,AS Joseph,MR Marsh,0,0,0,14,,10,7,1,1,2,0,,,-,,field,West Indies,1,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,Australia,West Indies,True,241
13,DA Warner,AS Joseph,MR Marsh,0,1,1,15,,10,8,1,2,2,0,,,wides,,field,West Indies,1,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,Australia,West Indies,True,241
14,DA Warner,AS Joseph,MR Marsh,0,0,0,15,,10,9,1,3,2,0,,,-,,field,West Indies,1,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,Australia,West Indies,True,241
15,DA Warner,AS Joseph,MR Marsh,0,1,1,16,,10,10,1,4,2,0,,,legbyes,,field,West Indies,1,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,Australia,West Indies,True,241
16,MR Marsh,AS Joseph,DA Warner,4,0,4,20,,4,1,1,5,2,0,,,-,,field,West Indies,1,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,Australia,West Indies,True,241
17,MR Marsh,AS Joseph,DA Warner,1,0,1,21,,5,2,1,6,2,0,,,-,,field,West Indies,1,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,Australia,West Indies,True,241
18,DA Warner,AS Joseph,MR Marsh,0,2,2,23,,10,11,1,7,2,0,,,legbyes,,field,West Indies,1,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,Australia,West Indies,True,241
19,MR Marsh,AD Russell,DA Warner,0,0,0,23,,5,3,1,1,3,0,,,-,,field,West Indies,1,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,Australia,West Indies,True,241
20,MR Marsh,AD Russell,DA Warner,4,0,4,27,,9,4,1,2,3,0,,,-,,field,West Indies,1,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,Australia,West Indies,True,241
21,MR Marsh,AD Russell,DA Warner,2,0,2,29,,11,5,1,3,3,0,,,-,,field,West Indies,1,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,Australia,West Indies,True,241
