,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,MJ Guptill,Mohammad Amir,C Munro,0,4,4,4,197,0,1,0,1,legbyes,1,0,,,bat,Pakistan,2,Eden Park,2018,01,Pakistan_New Zealand_2018-01-25,Pakistan,New Zealand,Pakistan,153
1,MJ Guptill,Mohammad Amir,C Munro,0,0,0,4,197,0,2,0,2,-,1,0,,,bat,Pakistan,2,Eden Park,2018,01,Pakistan_New Zealand_2018-01-25,Pakistan,New Zealand,Pakistan,153
2,MJ Guptill,Mohammad Amir,C Munro,0,0,0,4,197,0,3,0,3,-,1,0,,,bat,Pakistan,2,Eden Park,2018,01,Pakistan_New Zealand_2018-01-25,Pakistan,New Zealand,Pakistan,153
3,MJ Guptill,Mohammad Amir,C Munro,0,0,0,4,197,0,4,0,4,-,1,0,,,bat,Pakistan,2,Eden Park,2018,01,Pakistan_New Zealand_2018-01-25,Pakistan,New Zealand,Pakistan,153
4,MJ Guptill,Mohammad Amir,C Munro,0,0,0,4,197,0,5,0,5,-,1,0,,,bat,Pakistan,2,Eden Park,2018,01,Pakistan_New Zealand_2018-01-25,Pakistan,New Zealand,Pakistan,153
5,MJ Guptill,Mohammad Amir,C Munro,1,0,1,5,196,1,6,0,6,-,1,0,,,bat,Pakistan,2,Eden Park,2018,01,Pakistan_New Zealand_2018-01-25,Pakistan,New Zealand,Pakistan,153
6,MJ Guptill,Rumman Raees,C Munro,0,0,0,5,196,1,7,0,1,-,2,0,,,bat,Pakistan,2,Eden Park,2018,01,Pakistan_New Zealand_2018-01-25,Pakistan,New Zealand,Pakistan,153
7,MJ Guptill,Rumman Raees,C Munro,2,0,2,7,194,3,8,0,2,-,2,0,,,bat,Pakistan,2,Eden Park,2018,01,Pakistan_New Zealand_2018-01-25,Pakistan,New Zealand,Pakistan,153
8,MJ Guptill,Rumman Raees,C Munro,0,0,0,7,194,3,9,0,3,-,2,0,,,bat,Pakistan,2,Eden Park,2018,01,Pakistan_New Zealand_2018-01-25,Pakistan,New Zealand,Pakistan,153
9,MJ Guptill,Rumman Raees,C Munro,0,1,1,8,193,3,10,0,4,wides,2,0,,,bat,Pakistan,2,Eden Park,2018,01,Pakistan_New Zealand_2018-01-25,Pakistan,New Zealand,Pakistan,153
10,MJ Guptill,Rumman Raees,C Munro,1,0,1,9,192,4,11,0,5,-,2,0,,,bat,Pakistan,2,Eden Park,2018,01,Pakistan_New Zealand_2018-01-25,Pakistan,New Zealand,Pakistan,153
11,C Munro,Rumman Raees,MJ Guptill,1,1,2,11,190,1,1,0,6,noballs,2,0,,,bat,Pakistan,2,Eden Park,2018,01,Pakistan_New Zealand_2018-01-25,Pakistan,New Zealand,Pakistan,153
12,MJ Guptill,Rumman Raees,C Munro,4,0,4,15,186,8,12,0,7,-,2,0,,,bat,Pakistan,2,Eden Park,2018,01,Pakistan_New Zealand_2018-01-25,Pakistan,New Zealand,Pakistan,153
13,MJ Guptill,Rumman Raees,C Munro,1,0,1,16,185,9,13,0,8,-,2,0,,,bat,Pakistan,2,Eden Park,2018,01,Pakistan_New Zealand_2018-01-25,Pakistan,New Zealand,Pakistan,153
14,MJ Guptill,Mohammad Amir,C Munro,2,0,2,18,183,11,14,0,1,-,3,0,,,bat,Pakistan,2,Eden Park,2018,01,Pakistan_New Zealand_2018-01-25,Pakistan,New Zealand,Pakistan,153
15,MJ Guptill,Mohammad Amir,C Munro,0,0,0,18,183,11,15,0,2,-,3,0,,,bat,Pakistan,2,Eden Park,2018,01,Pakistan_New Zealand_2018-01-25,Pakistan,New Zealand,Pakistan,153
16,MJ Guptill,Mohammad Amir,C Munro,6,0,6,24,177,17,16,0,3,-,3,0,,,bat,Pakistan,2,Eden Park,2018,01,Pakistan_New Zealand_2018-01-25,Pakistan,New Zealand,Pakistan,153
17,MJ Guptill,Mohammad Amir,C Munro,0,0,0,24,177,17,17,0,4,-,3,0,,,bat,Pakistan,2,Eden Park,2018,01,Pakistan_New Zealand_2018-01-25,Pakistan,New Zealand,Pakistan,153
18,MJ Guptill,Mohammad Amir,C Munro,1,0,1,25,176,18,18,0,5,-,3,0,,,bat,Pakistan,2,Eden Park,2018,01,Pakistan_New Zealand_2018-01-25,Pakistan,New Zealand,Pakistan,153
19,C Munro,Mohammad Amir,MJ Guptill,0,0,0,25,176,1,2,1,6,-,3,lbw,C Munro,,bat,Pakistan,2,Eden Park,2018,01,Pakistan_New Zealand_2018-01-25,Pakistan,New Zealand,Pakistan,153
20,MJ Guptill,Rumman Raees,KS Williamson,2,0,2,27,174,20,19,1,1,-,4,0,,,bat,Pakistan,2,Eden Park,2018,01,Pakistan_New Zealand_2018-01-25,Pakistan,New Zealand,Pakistan,153
21,MJ Guptill,Rumman Raees,KS Williamson,1,0,1,28,173,21,20,1,2,-,4,0,,,bat,Pakistan,2,Eden Park,2018,01,Pakistan_New Zealand_2018-01-25,Pakistan,New Zealand,Pakistan,153
22,KS Williamson,Rumman Raees,MJ Guptill,0,0,0,28,173,0,1,2,3,-,4,caught,KS Williamson,Haris Sohail,bat,Pakistan,2,Eden Park,2018,01,Pakistan_New Zealand_2018-01-25,Pakistan,New Zealand,Pakistan,153
23,TC Bruce,Rumman Raees,MJ Guptill,1,0,1,29,172,1,1,2,4,-,4,0,,,bat,Pakistan,2,Eden Park,2018,01,Pakistan_New Zealand_2018-01-25,Pakistan,New Zealand,Pakistan,153
