,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,Hazratullah,Nasum Ahmed,Rahmanullah Gurbaz,0,0,0,0,115,0,1,0,1,1,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
1,Hazratullah,Nasum Ahmed,Rahmanullah Gurbaz,0,0,0,0,115,0,2,0,2,1,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
2,Hazratullah,Nasum Ahmed,Rahmanullah Gurbaz,1,0,1,1,114,1,3,0,3,1,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
3,Rahmanullah Gurbaz,Nasum Ahmed,Hazratullah,2,0,2,3,112,2,1,0,4,1,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
4,Rahmanullah Gurbaz,Nasum Ahmed,Hazratullah,1,0,1,4,111,3,2,0,5,1,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
5,Hazratullah,Nasum Ahmed,Rahmanullah Gurbaz,0,0,0,4,111,1,4,0,6,1,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
6,Rahmanullah Gurbaz,Mahedi Hasan,Hazratullah,0,0,0,4,111,3,3,0,1,2,"{'by': 'Afghanistan', 'umpire': 'Gazi Sohel', 'batter': 'Rahmanullah Gurbaz', 'decision': 'upheld'}",0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
7,Rahmanullah Gurbaz,Mahedi Hasan,Hazratullah,0,0,0,4,111,3,4,0,2,2,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
8,Rahmanullah Gurbaz,Mahedi Hasan,Hazratullah,0,0,0,4,111,3,5,1,3,2,,caught,Rahmanullah Gurbaz,Mahmudullah,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
9,Hazratullah,Mahedi Hasan,Usman Ghani,0,0,0,4,111,1,5,1,4,2,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
10,Hazratullah,Mahedi Hasan,Usman Ghani,4,0,4,8,107,5,6,1,5,2,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
11,Hazratullah,Mahedi Hasan,Usman Ghani,0,0,0,8,107,5,7,1,6,2,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
12,Usman Ghani,Nasum Ahmed,Hazratullah,0,0,0,8,107,0,1,1,1,3,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
13,Usman Ghani,Nasum Ahmed,Hazratullah,1,0,1,9,106,1,2,1,2,3,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
14,Hazratullah,Nasum Ahmed,Usman Ghani,0,0,0,9,106,5,8,1,3,3,,0,,,-,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-05,Afghanistan,Afghanistan,Bangladesh,121
