,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,AC Gilchrist,A Flintoff,ML Hayden,0,0,0,0,201,0,1,0,1,-,1,0,,,bat,Australia,1,Sydney Cricket Ground,2007,01,Australia_England_2007-01-09,Australia,Australia,England
1,AC Gilchrist,A Flintoff,ML Hayden,0,1,1,1,200,0,2,0,2,wides,1,0,,,bat,Australia,1,Sydney Cricket Ground,2007,01,Australia_England_2007-01-09,Australia,Australia,England
2,AC Gilchrist,A Flintoff,ML Hayden,4,0,4,5,196,4,3,0,3,-,1,0,,,bat,Australia,1,Sydney Cricket Ground,2007,01,Australia_England_2007-01-09,Australia,Australia,England
3,AC Gilchrist,A Flintoff,ML Hayden,0,0,0,5,196,4,4,0,4,-,1,0,,,bat,Australia,1,Sydney Cricket Ground,2007,01,Australia_England_2007-01-09,Australia,Australia,England
4,AC Gilchrist,A Flintoff,ML Hayden,0,1,1,6,195,4,5,0,5,wides,1,0,,,bat,Australia,1,Sydney Cricket Ground,2007,01,Australia_England_2007-01-09,Australia,Australia,England
5,AC Gilchrist,A Flintoff,ML Hayden,0,0,0,6,195,4,6,0,6,-,1,0,,,bat,Australia,1,Sydney Cricket Ground,2007,01,Australia_England_2007-01-09,Australia,Australia,England
6,AC Gilchrist,A Flintoff,ML Hayden,0,0,0,6,195,4,7,0,7,-,1,0,,,bat,Australia,1,Sydney Cricket Ground,2007,01,Australia_England_2007-01-09,Australia,Australia,England
7,AC Gilchrist,A Flintoff,ML Hayden,0,0,0,6,195,4,8,0,8,-,1,0,,,bat,Australia,1,Sydney Cricket Ground,2007,01,Australia_England_2007-01-09,Australia,Australia,England
8,ML Hayden,JM Anderson,AC Gilchrist,4,0,4,10,191,4,1,0,1,-,2,0,,,bat,Australia,1,Sydney Cricket Ground,2007,01,Australia_England_2007-01-09,Australia,Australia,England
9,ML Hayden,JM Anderson,AC Gilchrist,0,0,0,10,191,4,2,0,2,-,2,0,,,bat,Australia,1,Sydney Cricket Ground,2007,01,Australia_England_2007-01-09,Australia,Australia,England
10,ML Hayden,JM Anderson,AC Gilchrist,4,0,4,14,187,8,3,0,3,-,2,0,,,bat,Australia,1,Sydney Cricket Ground,2007,01,Australia_England_2007-01-09,Australia,Australia,England
11,ML Hayden,JM Anderson,AC Gilchrist,2,0,2,16,185,10,4,0,4,-,2,0,,,bat,Australia,1,Sydney Cricket Ground,2007,01,Australia_England_2007-01-09,Australia,Australia,England
12,ML Hayden,JM Anderson,AC Gilchrist,4,0,4,20,181,14,5,0,5,-,2,0,,,bat,Australia,1,Sydney Cricket Ground,2007,01,Australia_England_2007-01-09,Australia,Australia,England
13,ML Hayden,JM Anderson,AC Gilchrist,0,0,0,20,181,14,6,0,6,-,2,0,,,bat,Australia,1,Sydney Cricket Ground,2007,01,Australia_England_2007-01-09,Australia,Australia,England
14,AC Gilchrist,A Flintoff,ML Hayden,0,0,0,20,181,4,9,0,1,-,3,0,,,bat,Australia,1,Sydney Cricket Ground,2007,01,Australia_England_2007-01-09,Australia,Australia,England
15,AC Gilchrist,A Flintoff,ML Hayden,0,0,0,20,181,4,10,0,2,-,3,0,,,bat,Australia,1,Sydney Cricket Ground,2007,01,Australia_England_2007-01-09,Australia,Australia,England
16,AC Gilchrist,A Flintoff,ML Hayden,2,0,2,22,179,6,11,0,3,-,3,0,,,bat,Australia,1,Sydney Cricket Ground,2007,01,Australia_England_2007-01-09,Australia,Australia,England
