,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,replacements,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
10,HK Matthews,K Kavindi,SR Taylor,1,0,1,8,,1,4,0,-,4.0,1,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Right hand Bat,Right arm Medium
11,SR Taylor,K Kavindi,HK Matthews,0,0,0,8,,5,7,0,-,5.0,1,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Right hand Bat,Right arm Medium
12,SR Taylor,K Kavindi,HK Matthews,1,0,1,9,,6,8,0,-,6.0,1,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Right hand Bat,Right arm Medium
13,SR Taylor,BMSM Kumari,HK Matthews,0,0,0,9,,6,9,0,-,1.0,2,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Right hand Bat,Left arm Orthodox
14,Q Joseph,BMSM Kumari,HK Matthews,0,1,1,10,,0,0,0,wides,1.0,2,"{'role': [{'in': 'Q Joseph', 'out': 'SR Taylor', 'reason': 'injury', 'role': 'batter'}]}",0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Left hand Bat,Right hand Bat,Left arm Orthodox
15,Q Joseph,BMSM Kumari,HK Matthews,0,0,0,10,,0,1,0,-,2.0,2,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Left hand Bat,Right hand Bat,Left arm Orthodox
16,Q Joseph,BMSM Kumari,HK Matthews,0,0,0,10,,0,2,0,-,3.0,2,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Left hand Bat,Right hand Bat,Left arm Orthodox
17,Q Joseph,BMSM Kumari,HK Matthews,0,0,0,10,,0,3,0,-,4.0,2,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Left hand Bat,Right hand Bat,Left arm Orthodox
18,Q Joseph,BMSM Kumari,HK Matthews,0,0,0,10,,0,4,0,-,5.0,2,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Left hand Bat,Right hand Bat,Left arm Orthodox
19,Q Joseph,BMSM Kumari,HK Matthews,0,0,0,10,,0,5,0,-,6.0,2,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Left hand Bat,Right hand Bat,Left arm Orthodox
