,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,AJ Finch,B Kumar,C Green,6,0,6,6,6,1,1,1,0,,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
1,AJ Finch,B Kumar,C Green,0,0,0,6,6,2,2,1,0,,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
2,AJ Finch,B Kumar,C Green,0,0,0,6,6,3,3,1,0,,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
3,AJ Finch,B Kumar,C Green,0,0,0,6,6,4,4,1,0,,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
4,AJ Finch,B Kumar,C Green,2,0,2,8,8,5,5,1,0,,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
5,AJ Finch,B Kumar,C Green,0,0,0,8,8,6,6,1,0,,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
6,C Green,UT Yadav,AJ Finch,4,0,4,12,4,1,1,2,0,,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
7,C Green,UT Yadav,AJ Finch,4,0,4,16,8,2,2,2,0,,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
8,C Green,UT Yadav,AJ Finch,4,0,4,20,12,3,3,2,0,,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
9,C Green,UT Yadav,AJ Finch,4,0,4,24,16,4,4,2,0,,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
10,C Green,UT Yadav,AJ Finch,0,0,0,24,16,5,5,2,0,,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
11,C Green,UT Yadav,AJ Finch,0,0,0,24,16,6,6,2,0,,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
12,AJ Finch,B Kumar,C Green,2,0,2,26,10,7,1,3,0,,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
13,AJ Finch,B Kumar,C Green,0,0,0,26,10,8,2,3,0,,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
14,AJ Finch,B Kumar,C Green,4,0,4,30,14,9,3,3,0,,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
15,AJ Finch,B Kumar,C Green,4,0,4,34,18,10,4,3,0,,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
16,AJ Finch,B Kumar,C Green,0,0,0,34,18,11,5,3,0,,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
17,AJ Finch,B Kumar,C Green,4,0,4,38,22,12,6,3,0,,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
18,C Green,AR Patel,AJ Finch,0,0,0,38,16,7,1,4,0,,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
19,C Green,AR Patel,AJ Finch,1,0,1,39,17,8,2,4,0,,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
20,AJ Finch,AR Patel,C Green,0,0,0,39,22,13,3,4,bowled,AJ Finch,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
21,SPD Smith,AR Patel,C Green,0,0,0,39,0,1,4,4,0,,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
22,SPD Smith,AR Patel,C Green,1,0,1,40,1,2,5,4,0,,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
23,C Green,AR Patel,SPD Smith,0,0,0,40,17,9,6,4,0,,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
24,SPD Smith,YS Chahal,C Green,1,0,1,41,2,3,1,5,0,,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
25,C Green,YS Chahal,SPD Smith,0,0,0,41,17,10,2,5,0,,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
26,C Green,YS Chahal,SPD Smith,0,0,0,41,17,11,3,5,0,,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
27,C Green,YS Chahal,SPD Smith,1,0,1,42,18,12,4,5,0,,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
28,SPD Smith,YS Chahal,C Green,0,1,1,43,2,4,5,5,0,,,wides,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
29,SPD Smith,YS Chahal,C Green,1,0,1,44,3,5,6,5,0,,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
30,C Green,YS Chahal,SPD Smith,4,0,4,48,22,13,7,5,0,,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
31,SPD Smith,HV Patel,C Green,1,0,1,49,4,6,1,6,0,,,-,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
32,C Green,HV Patel,SPD Smith,0,1,1,50,22,14,2,6,0,,,legbyes,,field,Australia,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022-09-20,Australia,Australia,India
