,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
18,Saim Ayub,Azmatullah Omarzai,Abdullah Shafique,,4,0,4,21,103,15,8,1,1,4,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
19,Saim Ayub,Azmatullah Omarzai,Abdullah Shafique,,1,0,1,22,102,16,9,1,2,4,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
20,Abdullah Shafique,Azmatullah Omarzai,Saim Ayub,,0,0,0,22,102,0,1,1,3,4,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
21,Abdullah Shafique,Azmatullah Omarzai,Saim Ayub,"{'by': 'Pakistan', 'umpire': 'Bismillah Shinwari', 'batter': 'Abdullah Shafique', 'decision': 'struck down', 'umpires_call': True}",0,0,0,22,102,0,2,2,4,4,lbw,Abdullah Shafique,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
22,Tayyab Tahir,Azmatullah Omarzai,Saim Ayub,,0,0,0,22,102,0,1,2,5,4,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
23,Tayyab Tahir,Azmatullah Omarzai,Saim Ayub,,2,0,2,24,100,2,2,2,6,4,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
24,Saim Ayub,Mujeeb Ur Rahman,Tayyab Tahir,,0,0,0,24,100,16,10,2,1,5,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
25,Saim Ayub,Mujeeb Ur Rahman,Tayyab Tahir,,0,0,0,24,100,16,11,2,2,5,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
26,Saim Ayub,Mujeeb Ur Rahman,Tayyab Tahir,,0,0,0,24,100,16,12,2,3,5,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
27,Saim Ayub,Mujeeb Ur Rahman,Tayyab Tahir,,0,0,0,24,100,16,13,2,4,5,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
28,Saim Ayub,Mujeeb Ur Rahman,Tayyab Tahir,,1,0,1,25,99,17,14,2,5,5,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
29,Tayyab Tahir,Mujeeb Ur Rahman,Saim Ayub,,1,0,1,26,98,3,3,2,6,5,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
30,Tayyab Tahir,Naveen-ul-Haq,Saim Ayub,,4,0,4,30,94,7,4,2,1,6,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
31,Tayyab Tahir,Naveen-ul-Haq,Saim Ayub,,0,0,0,30,94,7,5,2,2,6,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
32,Tayyab Tahir,Naveen-ul-Haq,Saim Ayub,,4,0,4,34,90,11,6,2,3,6,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
33,Tayyab Tahir,Naveen-ul-Haq,Saim Ayub,,4,0,4,38,86,15,7,2,4,6,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
34,Tayyab Tahir,Naveen-ul-Haq,Saim Ayub,,1,0,1,39,85,16,8,2,5,6,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
35,Saim Ayub,Naveen-ul-Haq,Tayyab Tahir,,0,0,0,39,85,17,15,3,6,6,bowled,Saim Ayub,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
36,Tayyab Tahir,Rashid Khan,Azam Khan,,0,0,0,39,85,16,9,4,1,7,caught and bowled,Tayyab Tahir,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
37,Imad Wasim,Rashid Khan,Azam Khan,,0,0,0,39,85,0,1,4,2,7,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
38,Imad Wasim,Rashid Khan,Azam Khan,,0,0,0,39,85,0,2,4,3,7,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
39,Imad Wasim,Rashid Khan,Azam Khan,,0,0,0,39,85,0,3,4,4,7,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
40,Imad Wasim,Rashid Khan,Azam Khan,,1,0,1,40,84,1,4,4,5,7,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
41,Azam Khan,Rashid Khan,Imad Wasim,,0,0,0,40,84,0,1,4,6,7,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
42,Imad Wasim,Mujeeb Ur Rahman,Azam Khan,,1,0,1,41,83,2,5,4,1,8,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
43,Azam Khan,Mujeeb Ur Rahman,Imad Wasim,,0,0,0,41,83,0,2,5,2,8,caught,Azam Khan,Gulbadin Naib,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
44,Shadab Khan,Mujeeb Ur Rahman,Imad Wasim,,0,0,0,41,83,0,1,5,3,8,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
45,Shadab Khan,Mujeeb Ur Rahman,Imad Wasim,,1,0,1,42,82,1,2,5,4,8,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
46,Imad Wasim,Mujeeb Ur Rahman,Shadab Khan,,1,0,1,43,81,3,6,5,5,8,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
47,Shadab Khan,Mujeeb Ur Rahman,Imad Wasim,,1,0,1,44,80,2,3,5,6,8,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
48,Shadab Khan,Rashid Khan,Imad Wasim,,1,0,1,45,79,3,4,5,1,9,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
49,Imad Wasim,Rashid Khan,Shadab Khan,,0,0,0,45,79,3,7,5,2,9,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
50,Imad Wasim,Rashid Khan,Shadab Khan,,1,0,1,46,78,4,8,5,3,9,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
51,Shadab Khan,Rashid Khan,Imad Wasim,,2,0,2,48,76,5,5,5,4,9,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
52,Shadab Khan,Rashid Khan,Imad Wasim,,1,0,1,49,75,6,6,5,5,9,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
53,Imad Wasim,Rashid Khan,Shadab Khan,,1,0,1,50,74,5,9,5,6,9,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
54,Imad Wasim,Mujeeb Ur Rahman,Shadab Khan,,0,0,0,50,74,5,10,5,1,10,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
55,Imad Wasim,Mujeeb Ur Rahman,Shadab Khan,,1,0,1,51,73,6,11,5,2,10,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
56,Shadab Khan,Mujeeb Ur Rahman,Imad Wasim,,0,0,0,51,73,6,7,5,3,10,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
57,Shadab Khan,Mujeeb Ur Rahman,Imad Wasim,,0,0,0,51,73,6,8,5,4,10,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
58,Shadab Khan,Mujeeb Ur Rahman,Imad Wasim,,0,0,0,51,73,6,9,5,5,10,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
59,Shadab Khan,Mujeeb Ur Rahman,Imad Wasim,,0,0,0,51,73,6,10,5,6,10,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
60,Imad Wasim,Azmatullah Omarzai,Shadab Khan,,1,0,1,52,72,7,12,5,1,11,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
61,Shadab Khan,Azmatullah Omarzai,Imad Wasim,,0,0,0,52,72,6,11,5,2,11,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
62,Shadab Khan,Azmatullah Omarzai,Imad Wasim,,2,0,2,54,70,8,12,5,3,11,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
63,Shadab Khan,Azmatullah Omarzai,Imad Wasim,,1,0,1,55,69,9,13,5,4,11,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
64,Imad Wasim,Azmatullah Omarzai,Shadab Khan,,1,0,1,56,68,8,13,5,5,11,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
65,Shadab Khan,Azmatullah Omarzai,Imad Wasim,,1,0,1,57,67,10,14,5,6,11,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
66,Shadab Khan,Mohammad Nabi,Imad Wasim,,1,0,1,58,66,11,15,5,1,12,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
67,Imad Wasim,Mohammad Nabi,Shadab Khan,,0,0,0,58,66,8,14,5,2,12,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
68,Imad Wasim,Mohammad Nabi,Shadab Khan,,0,0,0,58,66,8,15,5,3,12,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
69,Imad Wasim,Mohammad Nabi,Shadab Khan,,1,0,1,59,65,9,16,5,4,12,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
70,Shadab Khan,Mohammad Nabi,Imad Wasim,,0,0,0,59,65,11,16,5,5,12,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
71,Shadab Khan,Mohammad Nabi,Imad Wasim,,1,0,1,60,64,12,17,5,6,12,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
72,Shadab Khan,Mujeeb Ur Rahman,Imad Wasim,,0,0,0,60,64,12,18,6,1,13,caught,Shadab Khan,Azmatullah Omarzai,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
73,Faheem Ashraf,Mujeeb Ur Rahman,Imad Wasim,,0,0,0,60,64,0,1,6,2,13,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
74,Faheem Ashraf,Mujeeb Ur Rahman,Imad Wasim,,0,1,1,61,63,0,2,6,3,13,0,,,legbyes,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
75,Imad Wasim,Mujeeb Ur Rahman,Faheem Ashraf,,1,0,1,62,62,10,17,6,4,13,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
76,Faheem Ashraf,Mujeeb Ur Rahman,Imad Wasim,"{'by': 'Pakistan', 'umpire': 'Ahmed Shah Pakteen', 'batter': 'Faheem Ashraf', 'decision': 'upheld'}",0,0,0,62,62,0,3,6,5,13,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
77,Faheem Ashraf,Mujeeb Ur Rahman,Imad Wasim,,1,0,1,63,61,1,4,6,6,13,0,,,-,bat,Pakistan,1,Sharjah Cricket Stadium,2023,03,Pakistan_Afghanistan_2023-03-24,Afghanistan,Pakistan,Afghanistan
